check,target,observed,status
unique href values,fresh H06 HTML,1710,PASS
external href values,fresh H06 HTML,2,INFORMATION
internal href values,fresh H06 HTML,1708,PASS
missing internal targets,fresh H06 HTML,0,PASS
invalid internal fragments,fresh H06 HTML,0,PASS
DEV-015 fragment,_build/nathealth/notebooks/preregistration_deviations.html#dev-015,exactly one,PASS
DEV-030 fragment,_build/nathealth/notebooks/preregistration_deviations.html#dev-030,exactly one,PASS
DEV-031 fragment,_build/nathealth/notebooks/preregistration_deviations.html#dev-031,exactly one,PASS
DEV-032 fragment,_build/nathealth/notebooks/preregistration_deviations.html#dev-032,exactly one,PASS
active navigation,fresh H06 HTML,H06 results active,PASS
country-coded sites,fresh H06 HTML,9 of 9 present,PASS
embedded execution or hook error,fresh H06 HTML,0,PASS
unresolved cross-reference marker,fresh H06 HTML,0,PASS
held H06 daily target,_build/nathealth/notebooks/hypotheses/H06_daily.html,pre-existing and unchanged,HELD_NOT_INSPECTED

