"page","image","png_sha256","source_body_row"
"table_s2_part_01.html",1,"4810b5c456e5ab65deb183b47b9725aa3b233592195977b5d69f6748a864ce3a",2
"table_s2_part_01.html",2,"c9638d653aeb0ea7e6ae2b67b7bbfb76479c8b7a6eb01d7dacbdbb97e917f3fb",3
"table_s2_part_01.html",3,"f29540238521705dd9a5da82f691a92a9fb90df3d8d1be9c4121edc10a304ece",4
"table_s2_part_01.html",4,"d8fe9a8ebe403229ff1f49f283478518d38378fb608632a4bc0c076c0a76dbb7",5
"table_s2_part_01.html",5,"d28d6a996cfb2a1d448e06302ba78418f421c95a8ee54fc373be72ea400726a0",6
"table_s2_part_01.html",6,"6b612f9ab1059e562433a3282211ddbb93d1e67723b5a280ebee133fcd333878",8
"table_s2_part_01.html",7,"88d3593f9558b02e243d9dd1d157772127575ec3ceb87366cdfcdd486b416093",9
"table_s2_part_02.html",1,"43826a4ceb1920fcf0c38c6d3fd322ba1130a1bfc76143c645e7f4c5f523863d",11
"table_s2_part_02.html",2,"2a3e088bb6e09fc7a06660f9a7f495cc25d21d1fde98fd9b29376853f21ee793",13
"table_s2_part_02.html",3,"caf9771fdb384793a1ee48db1e0c854125cba37713f3f8bfe7b6bcb4cbadc13b",14
"table_s2_part_02.html",4,"2d1e9f2110a54b88cd9255732d6dff0b31f07a9f43f6128d3b10a2e17ead6f08",15
"table_s2_part_02.html",5,"9b924723a0ba026f7ffc777b8f99981220625e57886e8fbef559954c7d61f829",17
"table_s2_part_03.html",1,"ef576e4cf9ba7e2188475aa0e0e49a22afbea07fa12204a123c6b95eb4602788",19
"table_s2_part_03.html",2,"3316dca7ebfce2c4ae79254777a4de91f1ff3a407e5bbd00f54973331dfe9107",20
"table_s2_part_03.html",3,"ffae192a539a6f6df89683f08e0f5911e770b0b7b82c0cfc28e663741b6f155f",21
"table_s2_part_03.html",4,"eca42ff18f6fa50bec94518f8d061562726a50e75d8db890fbdc443b1c7f7f1e",22
"table_s2_part_03.html",5,"6b68a01659af436ff3e2d16c71152b06b7dfbb9f9b693d712154bf99e51a9cea",23
