"id","level","text"
"sec-purpose",2,"Purpose and scope"
"sec-map",2,"Analysis path"
"sec-measurement",2,"Measurement and outcome construction"
"recommendation-windows-and-valid-comparisons",3,"Recommendation windows and valid comparisons"
"temporal-alignment-and-day-ownership",3,"Temporal alignment and day ownership"
"sec-samples",2,"Exact samples and privacy"
"main-samples",3,"Main samples"
"exploratory-eligibility",3,"Exploratory eligibility"
"anonymous-participant-display",3,"Anonymous participant display"
"sec-models",2,"Model implementation"
"main-likelihood-and-repeated-observations",3,"Main likelihood and repeated observations"
"reporting-averages-and-uncertainty",3,"Reporting averages and uncertainty"
"exploratory-within--and-between-participant-questions",3,"Exploratory within- and between-participant questions"
"sec-diagnostics",2,"Model checks and sensitivity interpretation"
"sec-multiplicity",2,"Multiple testing and site-reference contrasts"
"separate-testing-families",3,"Separate testing families"
"departure-from-the-equal-site-work-free-effect",3,"Departure from the equal-site Free-minus-Work effect"
"sec-provenance",2,"Reproducibility and provenance"
"from-calculation-to-display",3,"From calculation to display"
"sec-limits",2,"Interpretation limits"
