"path","line","level","id","text","blank_before","blank_after","recognized_current","prospective_id","recognized_prospective"
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",40,2,"sec-purpose","Purpose and scope",TRUE,TRUE,TRUE,"sec-purpose",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",46,2,"sec-map","Analysis path",TRUE,TRUE,TRUE,"sec-map",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",68,2,"sec-measurement","Measurement and outcome construction",TRUE,TRUE,TRUE,"sec-measurement",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",70,3,"","Recommendation windows and valid comparisons",TRUE,TRUE,TRUE,"recommendation-windows-and-valid-comparisons",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",84,3,"","Temporal alignment and day ownership",TRUE,TRUE,TRUE,"temporal-alignment-and-day-ownership",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",98,2,"sec-samples","Exact samples and privacy",TRUE,TRUE,TRUE,"sec-samples",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",100,3,"","Main samples",TRUE,TRUE,TRUE,"main-samples",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",112,3,"","Exploratory eligibility",TRUE,TRUE,TRUE,"exploratory-eligibility",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",133,3,"","Anonymous participant display",TRUE,TRUE,TRUE,"anonymous-participant-display",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",156,2,"sec-models","Model implementation",TRUE,TRUE,TRUE,"sec-models",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",158,3,"","Main likelihood and repeated observations",TRUE,TRUE,TRUE,"main-likelihood-and-repeated-observations",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",187,3,"","Reporting averages and uncertainty",TRUE,TRUE,TRUE,"reporting-averages-and-uncertainty",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",193,3,"","Exploratory within- and between-participant questions",TRUE,TRUE,TRUE,"exploratory-within--and-between-participant-questions",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",221,2,"sec-diagnostics","Model checks and sensitivity interpretation",TRUE,TRUE,TRUE,"sec-diagnostics",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",258,2,"sec-multiplicity","Multiple testing and site-reference contrasts",TRUE,TRUE,TRUE,"sec-multiplicity",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",260,3,"","Separate testing families",TRUE,TRUE,TRUE,"separate-testing-families",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",272,3,"departure-from-the-equal-site-work-free-effect","Departure from the equal-site Free-minus-Work effect",TRUE,TRUE,TRUE,"departure-from-the-equal-site-work-free-effect",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",295,2,"sec-provenance","Reproducibility and provenance",TRUE,TRUE,TRUE,"sec-provenance",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",297,3,"","From calculation to display",TRUE,TRUE,TRUE,"from-calculation-to-display",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",329,2,"sec-limits","Interpretation limits",TRUE,TRUE,TRUE,"sec-limits",TRUE
