.model_row_id,site,participant_key,local_date,value,response_value,photoperiod_hours,photoperiod_centered_hours,latitude_deg,absolute_latitude_10deg_centered
BAUA::BAUA_S001::2025-06-11,BAUA,BAUA::BAUA_S001,2025-06-11,64,1.0666666666666667,18.13485554655393,4.246530551635873,51.498204,1.3409768196470289
BAUA::BAUA_S001::2025-06-12,BAUA,BAUA::BAUA_S001,2025-06-12,78,1.3,18.15373947189914,4.265414476981084,51.498204,1.3409768196470289
BAUA::BAUA_S001::2025-06-13,BAUA,BAUA::BAUA_S001,2025-06-13,100,1.6666666666666667,18.170627665254806,4.282302670336749,51.498204,1.3409768196470289
BAUA::BAUA_S001::2025-06-14,BAUA,BAUA::BAUA_S001,2025-06-14,21,0.35,18.18549463795291,4.297169643034854,51.498204,1.3409768196470289
BAUA::BAUA_S001::2025-06-15,BAUA,BAUA::BAUA_S001,2025-06-15,169,2.816666666666667,18.198317792680527,4.309992797762471,51.498204,1.3409768196470289
BAUA::BAUA_S001::2025-06-16,BAUA,BAUA::BAUA_S001,2025-06-16,62,1.0333333333333334,18.20907755719291,4.320752562274853,51.498204,1.3409768196470289
BAUA::BAUA_S002::2025-06-11,BAUA,BAUA::BAUA_S002,2025-06-11,94,1.5666666666666667,18.13485554655393,4.246530551635873,51.498204,1.3409768196470289
BAUA::BAUA_S002::2025-06-12,BAUA,BAUA::BAUA_S002,2025-06-12,104,1.7333333333333334,18.15373947189914,4.265414476981084,51.498204,1.3409768196470289
BAUA::BAUA_S002::2025-06-13,BAUA,BAUA::BAUA_S002,2025-06-13,166,2.7666666666666666,18.170627665254806,4.282302670336749,51.498204,1.3409768196470289
BAUA::BAUA_S002::2025-06-14,BAUA,BAUA::BAUA_S002,2025-06-14,184,3.066666666666667,18.18549463795291,4.297169643034854,51.498204,1.3409768196470289
BAUA::BAUA_S002::2025-06-15,BAUA,BAUA::BAUA_S002,2025-06-15,69,1.15,18.198317792680527,4.309992797762471,51.498204,1.3409768196470289
BAUA::BAUA_S002::2025-06-16,BAUA,BAUA::BAUA_S002,2025-06-16,44,0.7333333333333333,18.20907755719291,4.320752562274853,51.498204,1.3409768196470289
BAUA::BAUA_S003::2025-06-11,BAUA,BAUA::BAUA_S003,2025-06-11,232,3.8666666666666667,18.13485554655393,4.246530551635873,51.498204,1.3409768196470289
BAUA::BAUA_S003::2025-06-12,BAUA,BAUA::BAUA_S003,2025-06-12,132,2.2,18.15373947189914,4.265414476981084,51.498204,1.3409768196470289
BAUA::BAUA_S003::2025-06-13,BAUA,BAUA::BAUA_S003,2025-06-13,256,4.266666666666667,18.170627665254806,4.282302670336749,51.498204,1.3409768196470289
BAUA::BAUA_S003::2025-06-14,BAUA,BAUA::BAUA_S003,2025-06-14,263,4.383333333333334,18.18549463795291,4.297169643034854,51.498204,1.3409768196470289
BAUA::BAUA_S003::2025-06-15,BAUA,BAUA::BAUA_S003,2025-06-15,207,3.45,18.198317792680527,4.309992797762471,51.498204,1.3409768196470289
BAUA::BAUA_S003::2025-06-16,BAUA,BAUA::BAUA_S003,2025-06-16,441,7.35,18.20907755719291,4.320752562274853,51.498204,1.3409768196470289
BAUA::BAUA_S004::2025-06-11,BAUA,BAUA::BAUA_S004,2025-06-11,69,1.15,18.13485554655393,4.246530551635873,51.498204,1.3409768196470289
BAUA::BAUA_S004::2025-06-12,BAUA,BAUA::BAUA_S004,2025-06-12,71,1.1833333333333333,18.15373947189914,4.265414476981084,51.498204,1.3409768196470289
BAUA::BAUA_S004::2025-06-13,BAUA,BAUA::BAUA_S004,2025-06-13,89,1.4833333333333334,18.170627665254806,4.282302670336749,51.498204,1.3409768196470289
