"id","pass","detail"
"COMPLETE_BASE_VERIFICATION",TRUE,""
"T2_ALL_NONBODY_CELLS",TRUE,""
"CELL_TEXT_1_thead_1_1",TRUE,""
"CELL_TEXT_1_thead_2_1",TRUE,""
"CELL_TEXT_1_thead_2_2",TRUE,""
"CELL_TEXT_1_thead_2_3",TRUE,""
"CELL_TEXT_1_thead_2_4",TRUE,""
"CELL_TEXT_1_thead_3_1",TRUE,""
"CELL_TEXT_1_thead_3_2",TRUE,""
"CELL_TEXT_1_thead_3_3",TRUE,""
"CELL_TEXT_1_thead_3_4",TRUE,""
"CELL_TEXT_1_thead_3_5",TRUE,""
"CELL_TEXT_1_tbody_1_1",TRUE,""
"CELL_TEXT_1_tbody_1_2",TRUE,""
"CELL_TEXT_1_tbody_1_3",TRUE,""
"CELL_TEXT_1_tbody_1_4",TRUE,""
"CELL_TEXT_1_tbody_1_5",TRUE,""
"CELL_TEXT_1_tbody_1_6",TRUE,""
"CELL_TEXT_1_tbody_1_7",TRUE,""
"CELL_TEXT_1_tbody_2_1",TRUE,""
"CELL_TEXT_1_tbody_2_2",TRUE,""
"CELL_TEXT_1_tbody_2_3",TRUE,""
"CELL_TEXT_1_tbody_2_4",TRUE,""
"CELL_TEXT_1_tbody_2_5",TRUE,""
"CELL_TEXT_1_tbody_2_6",TRUE,""
"CELL_TEXT_1_tbody_2_7",TRUE,""
"CELL_TEXT_1_tbody_3_1",TRUE,""
"CELL_TEXT_1_tbody_3_2",TRUE,""
"CELL_TEXT_1_tbody_3_3",TRUE,""
"CELL_TEXT_1_tbody_3_4",TRUE,""
"CELL_TEXT_1_tbody_3_5",TRUE,""
"CELL_TEXT_1_tbody_3_6",TRUE,""
"CELL_TEXT_1_tbody_3_7",TRUE,""
"CELL_TEXT_1_tfoot_1_1",TRUE,""
"CELL_TEXT_1_tfoot_2_1",TRUE,""
"CELL_TEXT_1_tfoot_3_1",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_1_1",TRUE,""
"CELL_TEXT_2_thead_1_1",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_1",TRUE,""
"CELL_TEXT_2_thead_2_1",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_2",TRUE,""
"CELL_TEXT_2_thead_2_2",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_3",TRUE,""
"CELL_TEXT_2_thead_2_3",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_4",TRUE,""
"CELL_TEXT_2_thead_2_4",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_5",TRUE,""
"CELL_TEXT_2_thead_2_5",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_6",TRUE,""
"CELL_TEXT_2_thead_2_6",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_7",TRUE,""
"CELL_TEXT_2_thead_2_7",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_8",TRUE,""
"CELL_TEXT_2_thead_2_8",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_9",TRUE,""
"CELL_TEXT_2_thead_2_9",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_10",TRUE,""
"CELL_TEXT_2_thead_2_10",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_11",TRUE,""
"CELL_TEXT_2_thead_2_11",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_12",TRUE,""
"CELL_TEXT_2_thead_2_12",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_13",TRUE,""
"CELL_TEXT_2_thead_2_13",TRUE,""
"SOURCE_CELL_EXISTS_2_thead_2_14",TRUE,""
"CELL_TEXT_2_thead_2_14",TRUE,""
"SOURCE_CELL_EXISTS_2_tbody_1_1",TRUE,""
"CELL_TEXT_2_tbody_1_1",TRUE,""
"SOURCE_CELL_EXISTS_2_tbody_2_1",TRUE,""
"CELL_TEXT_2_tbody_2_1",TRUE,""
"SOURCE_CELL_EXISTS_2_tbody_2_2",TRUE,""
"CELL_TEXT_2_tbody_2_2",TRUE,""
"SOURCE_CELL_EXISTS_2_tbody_2_3",TRUE,""
"CELL_TEXT_2_tbody_2_3",TRUE,""
"SOURCE_CELL_EXISTS_2_tbody_2_4",TRUE,""
"CELL_TEXT_2_tbody_2_4",TRUE,""
"SOURCE_CELL_EXISTS_2_tbody_2_5",TRUE,""
"CELL_TEXT_2_tbody_2_5",TRUE,""
"SOURCE_CELL_EXISTS_2_tbody_2_6",TRUE,""
"CELL_TEXT_2_tbody_2_6",TRUE,""
"SOURCE_CELL_EXISTS_2_tbody_2_7",TRUE,""
"CELL_TEXT_2_tbody_2_7",TRUE,""
"SOURCE_CELL_EXISTS_2_tbody_2_8",TRUE,""
"CELL_TEXT_2_tbody_2_8",TRUE,""
