"check","observed","expected","status"
"complete preflight passed once","21/21","21/21","PASS"
"scientific-scope checker passed once","PASS; invocation=1","PASS; invocation=1","PASS"
"sole retry failed at reader-manifest gate","retry 1; exit 1; helper 0; browser 0","retry 1; exit 1; helper 0; browser 0","PASS"
"reader-manifest failure reproduced","87/106; mismatch=19","87/106; mismatch=19","PASS"
"reader-manifest mismatch path set exact","_build/nathealth/notebooks/hypotheses/H09.html|_quarto-nathealth.yml|artifacts/06_model_data/H09/H09_base_bundle_audit.csv|artifacts/06_model_data/H09/H09_input_audit.csv|artifacts/10_figures/H09/H09_diagnostics_chest.pdf|artifacts/10_figures/H09/H09_diagnostics_chest.png|artifacts/10_figures/H09/H09_diagnostics_near_eye.pdf|artifacts/10_figures/H09/H09_diagnostics_near_eye.png|artifacts/10_figures/H09/H09_paired_placement_effects.pdf|artifacts/10_figures/H09/H09_paired_placement_effects.png|artifacts/10_figures/H09/H09_primary_effects.pdf|artifacts/10_figures/H09/H09_primary_effects.png|artifacts/12_manifests/H09/H09_figure_manifest.csv|audit/decisions/figure_readability_and_layout.md|audit/hypotheses/H09/H09_stage1_gate_and_stage2_transition.md|config/metric_display_registry.csv|notebooks/hypotheses/H09.qmd|scripts/hypotheses/H09/h09_contract.R|scripts/hypotheses/H09/run_h09_stage2.R","_build/nathealth/notebooks/hypotheses/H09.html|_quarto-nathealth.yml|artifacts/06_model_data/H09/H09_base_bundle_audit.csv|artifacts/06_model_data/H09/H09_input_audit.csv|artifacts/10_figures/H09/H09_diagnostics_chest.pdf|artifacts/10_figures/H09/H09_diagnostics_chest.png|artifacts/10_figures/H09/H09_diagnostics_near_eye.pdf|artifacts/10_figures/H09/H09_diagnostics_near_eye.png|artifacts/10_figures/H09/H09_paired_placement_effects.pdf|artifacts/10_figures/H09/H09_paired_placement_effects.png|artifacts/10_figures/H09/H09_primary_effects.pdf|artifacts/10_figures/H09/H09_primary_effects.png|artifacts/12_manifests/H09/H09_figure_manifest.csv|audit/decisions/figure_readability_and_layout.md|audit/hypotheses/H09/H09_stage1_gate_and_stage2_transition.md|config/metric_display_registry.csv|notebooks/hypotheses/H09.qmd|scripts/hypotheses/H09/h09_contract.R|scripts/hypotheses/H09/run_h09_stage2.R","PASS"
"Stage 3 manifest remained historical and byte-identical","0103aad8bf3b2424358fc139b85b95564054745b180a80d1e12c27ff72e1bef2/24678","0103aad8bf3b2424358fc139b85b95564054745b180a80d1e12c27ff72e1bef2/24678","PASS"
"authorized source postimages remained exact","3/3","3/3","PASS"
"build remained unchanged","851","all unchanged","PASS"
"build remained symlink-free","0","0","PASS"
"protected scope remained unchanged","545","all unchanged","PASS"
"historical source-side support tree remained unchanged","16","all unchanged","PASS"
"order-57 failure history remained 45/45 exact","45/45","45/45","PASS"
"semantic directory remained empty after execution failure","0","0","PASS"
"helper, tests, result, profile, semantic code, handoff, lock, and manifests exact","17/17","17/17","PASS"
"Sass cache remained unchanged","22f60821f5020edfa0900fc872503bbe993388c7f5acb86c059bc53dcd606853/36864","22f60821f5020edfa0900fc872503bbe993388c7f5acb86c059bc53dcd606853/36864","PASS"
"no task process, helper, additional retry, or browser QA remained","3/3","3/3","PASS"
