"path","sha256","bytes","role","observed_from","current_or_preimage_sha256","current_or_preimage_bytes","status"
"audit/report_harmonization/owner_orders/57a_h09_companion_input_provenance_repair_and_retry.md","9615f4d7d78051a1deea1d3f48807b855889b39ff8b2ea1cdac78b3fc8bbe560",11853,"controlling order","live project file","9615f4d7d78051a1deea1d3f48807b855889b39ff8b2ea1cdac78b3fc8bbe560",11853,"PASS"
"audit/report_harmonization/report018_h09_order57_stopped_independent_acceptance.md","497f20015921c576dcf210b686c3156e3320f1677424d4f938fdc097e633d998",4670,"independent stop acceptance","live project file","497f20015921c576dcf210b686c3156e3320f1677424d4f938fdc097e633d998",4670,"PASS"
"audit/report_harmonization/report018_h09_order57_stopped_independent_acceptance_manifest.csv","dc59c40745e4fc8ced3465cedce556245d1b48802e9e5d6d05fd959f7d849b9b",4829,"independent acceptance seal","live project file","dc59c40745e4fc8ced3465cedce556245d1b48802e9e5d6d05fd959f7d849b9b",4829,"PASS"
"scripts/report_harmonization/check_report018_h09_order57_stop_and_scientific_scope.R","4671036544a7ad9104eec432c829788f9cbb0486b5dd4ee06841552e5d3bef37",24526,"independent scientific-scope checker","live project file","4671036544a7ad9104eec432c829788f9cbb0486b5dd4ee06841552e5d3bef37",24526,"PASS"
"audit/report_harmonization/report018_h09_order57_scientific_scope_audit.csv","7c1f13045eaa7d7067f3feb8ef995c85387500eb83c9a390205ab4823e1a00a9",2122,"scientific-scope audit","live project file","7c1f13045eaa7d7067f3feb8ef995c85387500eb83c9a390205ab4823e1a00a9",2122,"PASS"
"audit/report_harmonization/report018_h09_order57_gap_frame_identity.csv","4160844ee97a1dae6b22f9aadeb69cde36b27f2be9afcca65bc924e1dde443f2",16527,"40-frame identity audit","live project file","4160844ee97a1dae6b22f9aadeb69cde36b27f2be9afcca65bc924e1dde443f2",16527,"PASS"
"audit/report_harmonization/report018_h09_order57_input_transition_audit.csv","fe4903b825f90abc7d037f3e8745a4e378fe2468c06a8225f80a11dec0632fb8",1164,"three-input transition audit","live project file","fe4903b825f90abc7d037f3e8745a4e378fe2468c06a8225f80a11dec0632fb8",1164,"PASS"
"audit/report_harmonization/report018_h09_order57_registry_transition_audit.csv","2c3c35ce4446290b4b2f13c64d48859b4869124c99ba5c721d12ee0ddf82696d",1023,"registry transition audit","live project file","2c3c35ce4446290b4b2f13c64d48859b4869124c99ba5c721d12ee0ddf82696d",1023,"PASS"
"audit/report_harmonization/report018_h09_order57_scientific_identity_audit.csv","32572f5b0509dcf761e01827ffd90b1f1055d4e5d565278963beeec8fcbfb453",19612,"scientific identity classification","live project file","32572f5b0509dcf761e01827ffd90b1f1055d4e5d565278963beeec8fcbfb453",19612,"PASS"
"audit/report_harmonization/report018_h09_order57_stopped_manifest_independent_audit.csv","7870571860e0553dcd144e730f59ac2f8682e4216082ffd4142c1d398e804d0d",12433,"stopped manifest replay","live project file","7870571860e0553dcd144e730f59ac2f8682e4216082ffd4142c1d398e804d0d",12433,"PASS"
"audit/report_harmonization/owner_orders/57_h09_companion_report018_render.md","677f81e850a24114363f5ab72433c684dcdf5829f11d09eb4ead9c2e9a655c5c",9912,"original order","live project file","677f81e850a24114363f5ab72433c684dcdf5829f11d09eb4ead9c2e9a655c5c",9912,"PASS"
"audit/report_harmonization/report018_h09_companion_release.md","f567e2a5b9b33816bdf355a957f438a1d9cf1520db305074f9577e6d3be113c7",9391,"original companion release","live project file","f567e2a5b9b33816bdf355a957f438a1d9cf1520db305074f9577e6d3be113c7",9391,"PASS"
"audit/report_harmonization/report018_h09_companion_release_manifest.csv","0bffe33d1bd30ed70a2002bb3a1c479d4cae2a3b68ab581857c456a40b31dd57",3807,"original release seal","live project file","0bffe33d1bd30ed70a2002bb3a1c479d4cae2a3b68ab581857c456a40b31dd57",3807,"PASS"
"audit/report_harmonization/report018_h09_order57_dispatch_manifest.csv","4ce5a7819b3f1aa002ebbf97dfb2cb0b635528feeacffda30890dc2fd80e9fd0",1548,"original dispatch seal","live project file","4ce5a7819b3f1aa002ebbf97dfb2cb0b635528feeacffda30890dc2fd80e9fd0",1548,"PASS"
"audit/hypotheses/H09/report018_order57_companion_render/ORDER57_FAIL_CLOSED.md","4ff6379f491e77cbf9861cddaf7d9bdb3c091f96b7d6b96cd9a755c59252d563",3854,"owner stopped record","live project file","4ff6379f491e77cbf9861cddaf7d9bdb3c091f96b7d6b96cd9a755c59252d563",3854,"PASS"
"audit/hypotheses/H09/report018_order57_companion_render/verify_order57_h09_companion_failure.R","92226688ee3212469ae3b7aa3580fcc8686f2d62a42c1c189ab61944f1ebcb35",15553,"owner failure verifier","live project file","92226688ee3212469ae3b7aa3580fcc8686f2d62a42c1c189ab61944f1ebcb35",15553,"PASS"
"audit/hypotheses/H09/report018_order57_companion_render/order57_failure_verification.csv","f91c681e6393d5febf8d19c180b3ec744776fae7b12e7a61a900e28fd0477aae",1788,"owner failure verification","live project file","f91c681e6393d5febf8d19c180b3ec744776fae7b12e7a61a900e28fd0477aae",1788,"PASS"
"audit/hypotheses/H09/report018_order57_companion_render/order57_fail_closed_evidence_manifest.csv","d8c6399a6c964ad96de7155e5a588809d5f7dd64638d206068782dc0906abc37",8842,"owner 45-row seal","live project file","d8c6399a6c964ad96de7155e5a588809d5f7dd64638d206068782dc0906abc37",8842,"PASS"
"scripts/hypotheses/H09/h09_contract.R","458dc3c08f0cd74acecc790d30226d930839b3f8f252a3018085e35611de3cd1",16374,"contract preimage","external byte-identical preimage","458dc3c08f0cd74acecc790d30226d930839b3f8f252a3018085e35611de3cd1",16374,"PASS"
"artifacts/06_model_data/H09/H09_input_audit.csv","be258bf523eadc318cf8926298e83275f64b38f5c5c4d1cc499f7841c0c2cafb",4253,"input audit preimage","external byte-identical preimage","be258bf523eadc318cf8926298e83275f64b38f5c5c4d1cc499f7841c0c2cafb",4253,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation.qmd","7563a933289b1c4a2275eead58ae8cfaa6492fb0a27b7202f4a9be516eb88a46",47901,"companion source preimage","external byte-identical preimage","7563a933289b1c4a2275eead58ae8cfaa6492fb0a27b7202f4a9be516eb88a46",47901,"PASS"
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.qmd","4640129c38a5aabd874549ff8d5ebc74b736a16fe6f900f4654b1573b2b69f5c",43562,"stale build source","live project file","4640129c38a5aabd874549ff8d5ebc74b736a16fe6f900f4654b1573b2b69f5c",43562,"PASS"
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,"held canonical companion HTML","live project file","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,"PASS"
