"domain","check","observed","expected","status","r_version","digest_version"
"evidence","required evidence present","46","46","PASS","4.6.1","0.6.39"
"preflight","complete order-specific preflight","21/21","21/21","PASS","4.6.1","0.6.39"
"authority","dispatch, independent acceptance, and owner stop","49/30/45","49/30/45","PASS","4.6.1","0.6.39"
"source repair","postimages and reversals exact","3/3","3/3","PASS","4.6.1","0.6.39"
"source repair","durable preimages exact","3","3","PASS","4.6.1","0.6.39"
"source repair","all current input identities","16/11","16/11","PASS","4.6.1","0.6.39"
"scientific scope","checker ran once and reproduced invariant scope","1/0/PASS","1/0/PASS","PASS","4.6.1","0.6.39"
"execution","sole retry failed at Stage 3 manifest assertion","1/1/0/0/0","1/1/0/0/0","PASS","4.6.1","0.6.39"
"failure","frozen Stage 3 manifest failure reproduced exactly","108/106/87/19","108/106/87/19","PASS","4.6.1","0.6.39"
"preservation","build remained unchanged and symlink-free","851/851","851/851","PASS","4.6.1","0.6.39"
"preservation","non-matrix protected scope remained unchanged","545/545","all non-matrix protected rows unchanged","PASS","4.6.1","0.6.39"
"preservation","historical source-side support remained unchanged","16/16","16/16","PASS","4.6.1","0.6.39"
"preservation","complete order-57 failure history exact","45/45","45/45","PASS","4.6.1","0.6.39"
"preservation","frozen endpoints, failure capture, semantic, and teardown","17/16/0/1/3","17/16/0/1/3","PASS","4.6.1","0.6.39"
"environment","external semantic directory retained and empty","TRUE/0","TRUE/0","PASS","4.6.1","0.6.39"
"environment","Sass cache remained unchanged","22f60821f5020edfa0900fc872503bbe993388c7f5acb86c059bc53dcd606853/36864","22f60821f5020edfa0900fc872503bbe993388c7f5acb86c059bc53dcd606853/36864","PASS","4.6.1","0.6.39"
"boundary","conditional actions correctly withheld","additional retry 0; helper 0; browser QA 0","additional retry 0; helper 0; browser QA 0","PASS","4.6.1","0.6.39"
