"path","artifact_class","artifact_type","sha256","bytes","producer","r_version","written_utc","current_sha256","current_bytes","path_exists","status"
"audit/hypotheses/H09/01_audit_and_plan.html","H09_audit_report","html","aa833ff2c8aabaf9cecf9cb71872c2e06d9f9e29e62283f74fa62e8f679c79c3",1698669,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","aa833ff2c8aabaf9cecf9cb71872c2e06d9f9e29e62283f74fa62e8f679c79c3",1698669,TRUE,"PASS"
"audit/hypotheses/H09/01_audit_and_plan.qmd","H09_audit_report","qmd","e6ff16937c01e37b5e7b0b43269c7860344bbd4abd11b2c060f53c52fbe7a892",83062,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","e6ff16937c01e37b5e7b0b43269c7860344bbd4abd11b2c060f53c52fbe7a892",83062,TRUE,"PASS"
"audit/hypotheses/H09/02_implementation_and_v0_comparison.html","H09_audit_report","html","955387638b350596e0296cc7ede954d3c8920b430af161b8f919fe1c637af3ef",14054288,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","955387638b350596e0296cc7ede954d3c8920b430af161b8f919fe1c637af3ef",14054288,TRUE,"PASS"
"audit/hypotheses/H09/02_implementation_and_v0_comparison.qmd","H09_audit_report","qmd","d05c1f69bf3a55f78bb56f7b970a711f45675b988e6351fec205adf919fcc412",43767,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","d05c1f69bf3a55f78bb56f7b970a711f45675b988e6351fec205adf919fcc412",43767,TRUE,"PASS"
"audit/hypotheses/H09/H09_stage1_gate_and_stage2_transition.md","H09_audit_report","md","616ea14964da0b2e80210bd124750c75664e81568b7d6db1ddd83d3639a8270d",4639,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","f13862886a47dbb7bbbfe62b4292bc567b14bc4b5e9427e7c285315e7d9acaff",4635,TRUE,"FAIL"
"audit/hypotheses/H09/H09_stage2_gate_and_stage3_transition.md","H09_audit_report","md","49ae7fa6d0a06948a26cd5e46a37e99a86e8d4b2ab0a1a4e280dbf564112bf57",2247,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","49ae7fa6d0a06948a26cd5e46a37e99a86e8d4b2ab0a1a4e280dbf564112bf57",2247,TRUE,"PASS"
"audit/hypotheses/H09/H09_stage3_gate_and_stage4_transition.md","H09_audit_report","md","ad6c4d045e63aad5a6d57691ee297e740a0f91f26bc3b7cc4caef306cd9d0ba3",1409,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","ad6c4d045e63aad5a6d57691ee297e740a0f91f26bc3b7cc4caef306cd9d0ba3",1409,TRUE,"PASS"
"scripts/hypotheses/H09/build_h09_stage3_manifest.R","H09_code","r","81a2c488ef399350489c27897729a9e0ea5879ebb5fc09f7c7afd6d8189c79c5",6987,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","81a2c488ef399350489c27897729a9e0ea5879ebb5fc09f7c7afd6d8189c79c5",6987,TRUE,"PASS"
"scripts/hypotheses/H09/finalize_h09_figure_qa.R","H09_code","r","8898f49aa1d39bbc52db292309144fb9267adee3cfed65a4144099ef17720f4c",1792,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","8898f49aa1d39bbc52db292309144fb9267adee3cfed65a4144099ef17720f4c",1792,TRUE,"PASS"
"scripts/hypotheses/H09/h09_contract.R","H09_code","r","13cd364b9136488d117f48a9cf3c65ab79e2408568cf0f8e600c1ef9214708ae",16293,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","866b0f8736c8a25f50a3f1ce6e38c5d33d4666d4bf06031f0021ee1cb6d0b701",16374,TRUE,"FAIL"
"scripts/hypotheses/H09/h09_modeling.R","H09_code","r","503e13bd955d4b0dc3fc1ee449eca31e681ad88cf029f70f6ab603dd523f8dc8",40104,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","503e13bd955d4b0dc3fc1ee449eca31e681ad88cf029f70f6ab603dd523f8dc8",40104,TRUE,"PASS"
"scripts/hypotheses/H09/run_h09_stage2.R","H09_code","r","49a7b9e76775b5bf91f9468481755732a79c205c37411ccf6997676e6a4f2cfb",90288,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","4711057eacebdfc7ee9295d9f895e8ab73f60c0f7a51d0b03ea61459b7ac611c",92080,TRUE,"FAIL"
"artifacts/10_figures/H09/H09_diagnostics_chest.pdf","H09_figure","pdf","614b46f3cb2026ea1f6c7350959482ce4473c114b0c90ec066a176f73c635596",695820,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","1f8dd115d2e249f23acaa7560c8df432418f129c97f733cea5177f675997f09c",696614,TRUE,"FAIL"
"artifacts/10_figures/H09/H09_diagnostics_chest.png","H09_figure","png","e82b32d5d69a73e45a7d93e8b1bb8357dc3104e67c5f128eba4f3f5538961a75",2626860,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","dcced15b55b9f4abd912f1fbad0ccd3eaddcbabe820b41591350601df29f0f1a",2874977,TRUE,"FAIL"
"artifacts/10_figures/H09/H09_diagnostics_near_eye.pdf","H09_figure","pdf","a01d7184d3fc68bf33375f950c9ba422ac7f86f803cd214064ddf86d003ca5ac",627893,"scripts/hypotheses/H09/build_h09_stage3_manifest.R","4.6.1","2026-08-10 14:26:13 UTC","e63794d0eaad64d0fe8fd65f31e9e4a8162a6dbf50f047a1af2caf18f78f3db5",628572,TRUE,"FAIL"
