"path","sha256","bytes","role","observed_from","observed_sha256","observed_bytes","status"
"audit/report_harmonization/report018_h09_order57_stopped_independent_acceptance.md","497f20015921c576dcf210b686c3156e3320f1677424d4f938fdc097e633d998",4670,"independent acceptance","live project file","497f20015921c576dcf210b686c3156e3320f1677424d4f938fdc097e633d998",4670,"PASS"
"scripts/report_harmonization/check_report018_h09_order57_stop_and_scientific_scope.R","4671036544a7ad9104eec432c829788f9cbb0486b5dd4ee06841552e5d3bef37",24526,"independent R checker","live project file","4671036544a7ad9104eec432c829788f9cbb0486b5dd4ee06841552e5d3bef37",24526,"PASS"
"audit/report_harmonization/report018_h09_order57_stopped_manifest_independent_audit.csv","7870571860e0553dcd144e730f59ac2f8682e4216082ffd4142c1d398e804d0d",12433,"stopped manifest replay","live project file","7870571860e0553dcd144e730f59ac2f8682e4216082ffd4142c1d398e804d0d",12433,"PASS"
"audit/report_harmonization/report018_h09_order57_gap_frame_identity.csv","4160844ee97a1dae6b22f9aadeb69cde36b27f2be9afcca65bc924e1dde443f2",16527,"40-frame identity audit","live project file","4160844ee97a1dae6b22f9aadeb69cde36b27f2be9afcca65bc924e1dde443f2",16527,"PASS"
"audit/report_harmonization/report018_h09_order57_registry_transition_audit.csv","2c3c35ce4446290b4b2f13c64d48859b4869124c99ba5c721d12ee0ddf82696d",1023,"registry transition audit","live project file","2c3c35ce4446290b4b2f13c64d48859b4869124c99ba5c721d12ee0ddf82696d",1023,"PASS"
"audit/report_harmonization/report018_h09_order57_input_transition_audit.csv","fe4903b825f90abc7d037f3e8745a4e378fe2468c06a8225f80a11dec0632fb8",1164,"three-input transition audit","live project file","fe4903b825f90abc7d037f3e8745a4e378fe2468c06a8225f80a11dec0632fb8",1164,"PASS"
"audit/report_harmonization/report018_h09_order57_scientific_identity_audit.csv","32572f5b0509dcf761e01827ffd90b1f1055d4e5d565278963beeec8fcbfb453",19612,"scientific identity classification","live project file","32572f5b0509dcf761e01827ffd90b1f1055d4e5d565278963beeec8fcbfb453",19612,"PASS"
"audit/report_harmonization/report018_h09_order57_scientific_scope_audit.csv","7c1f13045eaa7d7067f3feb8ef995c85387500eb83c9a390205ab4823e1a00a9",2122,"20-domain disposition","live project file","7c1f13045eaa7d7067f3feb8ef995c85387500eb83c9a390205ab4823e1a00a9",2122,"PASS"
"audit/hypotheses/H09/report018_order57_companion_render/ORDER57_FAIL_CLOSED.md","4ff6379f491e77cbf9861cddaf7d9bdb3c091f96b7d6b96cd9a755c59252d563",3854,"owner stopped record","live project file","4ff6379f491e77cbf9861cddaf7d9bdb3c091f96b7d6b96cd9a755c59252d563",3854,"PASS"
"audit/hypotheses/H09/report018_order57_companion_render/verify_order57_h09_companion_failure.R","92226688ee3212469ae3b7aa3580fcc8686f2d62a42c1c189ab61944f1ebcb35",15553,"owner failure verifier","live project file","92226688ee3212469ae3b7aa3580fcc8686f2d62a42c1c189ab61944f1ebcb35",15553,"PASS"
"audit/hypotheses/H09/report018_order57_companion_render/order57_failure_verification.csv","f91c681e6393d5febf8d19c180b3ec744776fae7b12e7a61a900e28fd0477aae",1788,"owner failure verification","live project file","f91c681e6393d5febf8d19c180b3ec744776fae7b12e7a61a900e28fd0477aae",1788,"PASS"
"audit/hypotheses/H09/report018_order57_companion_render/order57_fail_closed_evidence_manifest.csv","d8c6399a6c964ad96de7155e5a588809d5f7dd64638d206068782dc0906abc37",8842,"owner 45-row seal","live project file","d8c6399a6c964ad96de7155e5a588809d5f7dd64638d206068782dc0906abc37",8842,"PASS"
"audit/report_harmonization/report018_h09_order56b_result_independent_acceptance.md","4748b3b18e6ca0589e00e629490cca97aa72507589be6165e1893640d08b5288",4049,"accepted result prerequisite","live project file","4748b3b18e6ca0589e00e629490cca97aa72507589be6165e1893640d08b5288",4049,"PASS"
