"domain","check","observed","expected","status"
"authority","order, acceptance, seals, and checker","5","5","PASS"
"authority","49-row dispatch reproduced","49/49","49/49 exact unique non-circular","PASS"
"authority","30-row stopped-state acceptance seal","30/30","30/30 exact unique non-circular","PASS"
"history","complete order-57 failed history","45/45/46","45/45 sealed rows plus one non-circular seal file","PASS"
"source repair","three exact postimages","3","3","PASS"
"source repair","exact reversal to three preimages","3","3","PASS"
"source repair","all input-audit rows and result roles current","16/11","16/11","PASS"
"history","historical excluded shared drift record","91d9781466273385338432c7d86c68f35ae65ba828e547659d0cf69720b5b5b9/1266","91d9781466273385338432c7d86c68f35ae65ba828e547659d0cf69720b5b5b9/1266","PASS"
"scientific scope","unchanged durable scope checker","PASS/20/40/32492/57/8/8/7","PASS/20/40/32492/57/8/8/7","PASS"
"scientific scope","checker outputs reproduce dispatch identities","49","49","PASS"
"source","chunks, endpoints, Mermaid, links, and prohibited calls","22/22/19/1/1/23/22/0","22/22/19/1/1/23/22/0","PASS"
"manifest","historical preparation manifest","113/19","113/19 exact accepted path set","PASS"
"history","historical source-side support","16","16","PASS"
"build","build files and symlinks","851/0","851/0","PASS"
"protected","complete H09 protected inventory","545","all present regular nonsymlink files","PASS"
"helper","unchanged confined non-circular helper","c7a320367e0115aee221a3a6ba5228a9a27ba55f734bd07881455b3159cebf56/3","c7a320367e0115aee221a3a6ba5228a9a27ba55f734bd07881455b3159cebf56/3","PASS"
"helper","prospective helper inventory","495/0","495/0 before render, then 496 after one target-owned figure","PASS"
"profile","result and companion adjacency","41/42","single adjacent entries","PASS"
"process","no competing task process","1","1","PASS"
"environment","fresh external semantic directory","TRUE/0","TRUE/0","PASS"
"environment","authoritative software versions","4.6.1/0.6.39/1.2.1/1.9.37","4.6.1/0.6.39/1.2.1/1.9.37","PASS"
