"case","n","one_active","use_zero","normalization_error","objective_error","pmf_error","mean_error","variance_error","cdf_minimum_increment","cdf_terminal_error","zero_restriction_exact","one_restriction_exact"
1,1,FALSE,FALSE,0,1.33226762955019e-15,2.22044604925031e-16,4.16333634234434e-17,2.77555756156289e-17,0.119202922022118,0,TRUE,TRUE
2,2,FALSE,FALSE,1.33226762955019e-15,1.4210854715202e-14,3.33066907387547e-16,4.16333634234434e-17,6.93889390390723e-18,0.0273335347940493,1.33226762955019e-15,TRUE,TRUE
3,12,FALSE,FALSE,4.44089209850063e-16,1.56319401867222e-13,1.52655665885959e-15,1.11022302462516e-16,2.77555756156289e-17,3.1475275120374e-05,4.44089209850063e-16,TRUE,TRUE
4,1,FALSE,FALSE,2.22044604925031e-16,2.66453525910038e-15,6.66133814775094e-16,2.22044604925031e-16,8.32667268468867e-17,0.377540668798145,2.22044604925031e-16,TRUE,TRUE
5,2,FALSE,FALSE,0,4.88498130835069e-15,2.22044604925031e-16,0,2.77555756156289e-17,0.17191242062175,0,TRUE,TRUE
6,12,FALSE,FALSE,1.33226762955019e-15,4.76063632959267e-13,1.56819002228303e-15,6.66133814775094e-16,4.85722573273506e-17,0.00256492488502991,1.33226762955019e-15,TRUE,TRUE
7,1,TRUE,FALSE,0,2.22044604925031e-16,1.66533453693773e-16,5.55111512312578e-17,5.55111512312578e-17,0.392272493143493,0,TRUE,TRUE
8,2,TRUE,FALSE,8.88178419700125e-16,4.44089209850063e-15,2.22044604925031e-16,1.11022302462516e-16,1.11022302462516e-16,0.126775065568396,8.88178419700125e-16,TRUE,TRUE
9,12,TRUE,FALSE,2.22044604925031e-16,9.9475983006414e-14,1.02695629777827e-15,1.11022302462516e-16,5.55111512312578e-17,0.000135772157686009,2.22044604925031e-16,TRUE,TRUE
10,1,TRUE,FALSE,1.11022302462516e-16,2.44249065417534e-15,6.66133814775094e-16,1.11022302462516e-16,0,0.260493427058572,1.11022302462516e-16,TRUE,TRUE
11,2,TRUE,FALSE,0,1.77635683940025e-15,1.52655665885959e-16,0,5.55111512312578e-17,0.118615183217884,0,TRUE,TRUE
12,12,TRUE,FALSE,8.88178419700125e-16,4.33431068813661e-13,1.06858966120171e-15,4.44089209850063e-16,1.38777878078145e-16,0.00176973271667982,8.88178419700125e-16,TRUE,TRUE
13,1,FALSE,TRUE,0,1.33226762955019e-15,2.22044604925031e-16,2.77555756156289e-17,1.38777878078145e-17,0.0894331968635605,0,TRUE,TRUE
14,2,FALSE,TRUE,8.88178419700125e-16,7.99360577730113e-15,2.22044604925031e-16,2.77555756156289e-17,6.93889390390723e-18,0.0205072607008713,8.88178419700125e-16,TRUE,TRUE
15,12,FALSE,TRUE,2.22044604925031e-16,1.35003119794419e-13,1.13797860024079e-15,8.32667268468867e-17,2.42861286636753e-17,2.36146432353035e-05,2.22044604925031e-16,TRUE,TRUE
16,1,FALSE,TRUE,2.22044604925031e-16,2.22044604925031e-15,5.55111512312578e-16,1.66533453693773e-16,2.77555756156289e-17,0.46700640355617,2.22044604925031e-16,TRUE,TRUE
17,2,FALSE,TRUE,0,1.33226762955019e-15,1.66533453693773e-16,5.55111512312578e-17,0,0.308549342380323,0,TRUE,TRUE
18,12,FALSE,TRUE,1.11022302462516e-15,3.26849658449646e-13,1.17961196366423e-15,4.9960036108132e-16,1.38777878078145e-17,0.00737519908201445,1.11022302462516e-15,TRUE,TRUE
19,1,TRUE,TRUE,0,2.22044604925031e-16,2.22044604925031e-16,5.55111512312578e-17,5.55111512312578e-17,0.319005650816961,0,TRUE,TRUE
20,2,TRUE,TRUE,6.66133814775094e-16,5.32907051820075e-15,2.22044604925031e-16,5.55111512312578e-17,8.32667268468867e-17,0.103096605053609,6.66133814775094e-16,TRUE,TRUE
21,12,TRUE,TRUE,0,2.8421709430404e-14,8.88178419700125e-16,1.11022302462516e-16,5.55111512312578e-17,0.000110413261909748,0,TRUE,TRUE
22,1,TRUE,TRUE,1.11022302462516e-16,0,4.44089209850063e-16,1.11022302462516e-16,0,0.398615045133165,1.11022302462516e-16,TRUE,TRUE
23,2,TRUE,TRUE,0,2.22044604925031e-15,1.66533453693773e-16,0,0,0.230757763056356,0,TRUE,TRUE
24,12,TRUE,TRUE,8.88178419700125e-16,4.68958205601666e-13,9.0205620750794e-16,4.44089209850063e-16,2.77555756156289e-17,0.00551576104208054,8.88178419700125e-16,TRUE,TRUE
