position,old,new,reason
Results person-level paragraph reference,"Each additional decade of age was associated with higher near-eye brightest-10-hour mean, time above 1,000 lx and daily dose, with ratios from 1.27 to 1.31. These cross-sectional associations may reflect cohort, occupation, behaviour or other confounding, not ageing itself. Neither near-eye metric associations with biological sex nor near-eye age-by-site or sex-by-site interactions met the FDR criterion. In a separate daily-pattern analysis, near-eye and chest profiles differed by biological sex (FDR-adjusted p = 0.028 and 0.029), but the difference did not meet the FDR criterion after restriction to records with complete immediate-setting data and adjustment. This attenuation is compatible with immediate-setting patterning, but restriction and adjustment cannot be disentangled as mechanisms. Gender was recorded separately but not analysed; its category matched biological sex in all but one case. Supplementary Tables S10, S14 and S15, and Supplementary Figures S16 and S17, give the complete results.","Each additional decade of age was associated with higher near-eye brightest-10-hour mean, time above 1,000 lx and daily dose, with ratios from 1.27 to 1.31. These cross-sectional associations may reflect cohort, occupation, behaviour or other confounding, not ageing itself. Neither near-eye metric associations with biological sex nor near-eye age-by-site or sex-by-site interactions met the FDR criterion. In a separate daily-pattern analysis, near-eye and chest profiles differed by biological sex (FDR-adjusted p = 0.028 and 0.029), but the difference did not meet the FDR criterion after restriction to records with complete immediate-setting data and adjustment. This attenuation is compatible with immediate-setting patterning, but restriction and adjustment cannot be disentangled as mechanisms. Gender was recorded separately but not analysed; its category matched biological sex in all but one case. Supplementary Tables S10, S14 and S15, and Supplementary Figures S17 and S18, give the complete results.",
Word block 739,Supplementary Figure S16 and Table S14. Age and biological sex,Supplementary Figure S17 and Table S14. Age and biological sex,
Word block 742,"Supplementary Figure S16. Participant age distributions, the 11 main associations retained after FDR adjustment, and descriptive site-specific estimates for two retained age-by-site interactions in the complementary chest analysis. The site-specific interaction estimates are descriptive model contrasts, not independent site tests. Biological sex, coded Female or Male, was analysed; gender was recorded separately and was not analysed.","Supplementary Figure S17. Participant age distributions, the 11 main associations retained after FDR adjustment, and descriptive site-specific estimates for two retained age-by-site interactions in the complementary chest analysis. The site-specific interaction estimates are descriptive model contrasts, not independent site tests. Biological sex, coded Female or Male, was analysed; gender was recorded separately and was not analysed.",
Word block 751,Supplementary Figure S17 and Table S15. Biological-sex-specific daily curves,Supplementary Figure S18 and Table S15. Biological-sex-specific daily curves,
Word block 754,"Supplementary Figure S17. Near-eye biological-sex-specific fitted melanopic equivalent daylight illuminance curves and Female-to-Male shifted-value ratio. Ribbons and contrast intervals are participant-cluster-robust 95% confidence intervals at the displayed clock times. Grey shading gives site-average civil-night context with each site weighted equally and is not a model covariate. Biological sex, coded Female or Male, was analysed; gender was recorded separately and was not analysed.","Supplementary Figure S18. Near-eye biological-sex-specific fitted melanopic equivalent daylight illuminance curves and Female-to-Male shifted-value ratio. Ribbons and contrast intervals are participant-cluster-robust 95% confidence intervals at the displayed clock times. Grey shading gives site-average civil-night context with each site weighted equally and is not a model covariate. Biological sex, coded Female or Male, was analysed; gender was recorded separately and was not analysed.",
S15 split captions,"Supplementary Figure S15. Chronotype and timing of personal light exposure. A, Study-site-adjusted associations of sleep-timing-based corrected midsleep on Free days and questionnaire-based morningness-eveningness with the analysed timing metrics. Points are estimates and bars are 95% confidence intervals; the two chronotype instruments remain separate. B, Observed participant-day timing values across chronotype and country-coded study sites for the samples used in the corresponding models. Each point represents one participant-day in a fitted sample. The observed panel is descriptive and does not replace the adjusted models or estimate independent site effects. Near-eye estimates provide ocular-exposure evidence; chest estimates, where shown, are complementary non-ocular evidence.","Supplementary Figure S15. Chronotype and timing of personal light exposure. Study-site-adjusted associations of sleep-timing-based corrected midsleep on Free days and questionnaire-based morningness-eveningness with the analysed timing metrics. Points are estimates and bars are 95% confidence intervals; the two chronotype instruments remain separate. Near-eye estimates provide ocular-exposure evidence; chest estimates, where shown, are complementary non-ocular evidence.

Supplementary Figure S16. Observed timing across chronotype and study sites. Observed participant-day timing values across chronotype and country-coded study sites for the samples used in the corresponding models. Each point represents one participant-day in a fitted sample. This figure is descriptive and does not replace the adjusted models or estimate independent site effects. Near-eye estimates provide ocular-exposure evidence; chest estimates, where shown, are complementary non-ocular evidence.",
S15 heading,Supplementary Figure S15 and Table S13. Chronotype and timing,Supplementary Figure S15. Adjusted chronotype associations,
Results chronotype paragraph reference,Each hour later in corrected midsleep on free days (MCTQ questionnaire) was associated with first exposure above 250 lx occurring 0.381 h later (95% CI 0.146 to 0.616; FDR-adjusted p = 0.003). Each 10-point shift towards greater morning preference (MEQ questionnaire) was separately associated with first exposure above 250 lx occurring 0.444 h earlier (0.189 to 0.699 h earlier; FDR-adjusted p = 0.001). The brightest- and darkest-10-hour midpoints followed the same directions; last exposure and the longest-bright-period midpoint did not retain support. The distinct questionnaires were not combined. Supplementary Table S13 and Supplementary Figure S15 show adjusted estimates and observed timing distributions.,Each hour later in corrected midsleep on free days (MCTQ questionnaire) was associated with first exposure above 250 lx occurring 0.381 h later (95% CI 0.146 to 0.616; FDR-adjusted p = 0.003). Each 10-point shift towards greater morning preference (MEQ questionnaire) was separately associated with first exposure above 250 lx occurring 0.444 h earlier (0.189 to 0.699 h earlier; FDR-adjusted p = 0.001). The brightest- and darkest-10-hour midpoints followed the same directions; last exposure and the longest-bright-period midpoint did not retain support. The distinct questionnaires were not combined. Supplementary Table S13 and Supplementary Figure S15 show adjusted estimates; Supplementary Figure S16 shows observed timing distributions.,
Word S8 repeated heading,Supplementary Figure S8 (continued),,One uncropped appearance replaces two cropped appearances
New Word S16 heading,,Supplementary Figure S16. Observed timing across chronotype and study sites,Own numbered figure and caption
