description,asset,sha256,source_ratio,old_width_in,old_height_in,new_width_in,new_height_in,page_orientation,text_width_in,final_page,page_width_pt,page_height_pt,actual_member,source_width,source_height,source_units,actual_width_in,actual_height_in,outer_inner_extents_exact,aspect_ratio_preserved,source_payload_exact,accessible_title
Main Figure 1,word/media/rId21.svg,4304aa487b3c7f6b27b533952315fc9b790d4d00334aeb519a97d28c50d98936,1.05,4.62,4.4,6.268055555555556,5.969576719576719,portrait,6.268055555555556,6,595.303937007874,841.889763779528,word/media/rId21.svg,1134.0,1080.0,SVG viewBox units,6.268055555555556,5.969576771653544,True,True,True,Main Figure 1
"Main Table 1, part 1 of 2",word/media/image1.png,f2df0ce73bc31f889d457397596257e2e3f7f9c7610ccc0ec9659efc33a2f9b7,2.275862166585905,10.55,4.635605861767279,10.55,4.635605861767279,landscape,10.793055555555556,7,841.889763779528,595.303937007874,word/media/image1.png,2640,1160,PNG pixels,10.55,4.635605861767279,True,True,True,"Main Table 1, part 1 of 2"
"Main Table 1, part 2 of 2",word/media/image2.png,a8e5892c59138ec0b4a13f272d3d05e3f67c21bc641d1194e877399564b02a70,2.3869805917346,10.55,4.4198097112860895,10.55,4.4198097112860895,landscape,10.793055555555556,8,841.889763779528,595.303937007874,word/media/image2.png,2640,1106,PNG pixels,10.55,4.4198097112860895,True,True,True,"Main Table 1, part 2 of 2"
"Main Table 2, part 1 of 1",word/media/image3.png,a09f9f4529c226121d23a7c2a85d966e06bee6ae67ddfebe68a781f394f27870,2.2465988093649507,10.55,4.695987532808399,6.268055555555556,2.7900199757193658,portrait,6.268055555555556,10,595.303937007874,841.889763779528,word/media/image3.png,1321,588,PNG pixels,6.268055555555556,2.79001968503937,True,True,True,"Main Table 2, part 1 of 1"
Main Figure 2,word/media/rId28.svg,2f9493540f12c9c660d213ee619bc726f1e3a0e34ce52c0e59bdf6bd8102a5cd,0.7857142857142857,4.203571741032371,5.35,6.268055555555556,7.977525252525253,portrait,6.268055555555556,13,595.303937007874,841.889763779528,word/media/rId28.svg,792.0,1008.0,SVG viewBox units,6.268055555555556,7.977525153105862,True,True,True,Main Figure 2
"Main Table 3, part 1 of 4",word/media/image4.png,0ae5066b9063781a0485f1b5d3888687bfd4fc419f86eda424e2333d009b1fa6,1.8296532600985485,10.55,5.766119860017498,8.599370322463178,4.7,landscape,10.793055555555556,15,841.889763779528,595.303937007874,word/media/image4.png,2320,1268,PNG pixels,8.599370078740158,4.7,True,True,True,"Main Table 3, part 1 of 4"
"Main Table 3, part 2 of 4",word/media/image5.png,9fd4d40280b22912e5add64cd34963d986099bc2ac9ef3dd92193b492d640c3f,2.3529411764705888,10.55,4.48375,10.55,4.48375,landscape,10.793055555555556,16,841.889763779528,595.303937007874,word/media/image5.png,2320,986,PNG pixels,10.55,4.48375,True,True,True,"Main Table 3, part 2 of 4"
"Main Table 3, part 3 of 4",word/media/image6.png,8cb6bba7991cdca2ffcb60fd94c5dd2022d0fd1e592ab94a5de5f77115088d15,1.9694400472326556,10.55,5.356852580927384,10.55,5.356852580927384,landscape,10.793055555555556,17,841.889763779528,595.303937007874,word/media/image6.png,2320,1178,PNG pixels,10.55,5.356852580927384,True,True,True,"Main Table 3, part 3 of 4"
"Main Table 3, part 4 of 4",word/media/image7.png,70e68224e2b514462236563f396885d82dc7c786189dad85f58b6f274565fdc1,1.6571429258546504,10.55,6.366379046369204,9.611428969956972,5.8,landscape,10.793055555555556,18,841.889763779528,595.303937007874,word/media/image7.png,2320,1400,PNG pixels,9.611429352580927,5.8,True,True,True,"Main Table 3, part 4 of 4"
Main Figure 3,word/media/rId35.svg,012453debcd7994ab8b8437bd1b829a4935b26d97803963c6621ee2093bd72dd,0.6690265486725664,8.563540026246718,12.8,4.6831858407079645,7.0,portrait,7.368055555555555,21,595.303937007874,841.889763779528,word/media/rId35.svg,1134.0,1695.0,SVG viewBox units,4.683185695538057,7.0,True,True,True,Main Figure 3
"Supplementary Table S1, part 1 of 1",word/media/image8.png,406ac771d7810394aaa171616bc60127ce4e24479fc12b694a2edede1ce13689,1.4222223532689862,10.55,7.417968066491689,7.368055555555555,5.1806635851419705,portrait,7.368055555555555,57,595.303937007874,841.889763779528,word/media/image8.png,1792,1260,PNG pixels,7.368055555555555,5.180663823272091,True,True,True,"Supplementary Table S1, part 1 of 1"
