label,title,path,sha256,accepted_native_path,accepted_native_sha256,accepted_source_table_sha256,byte_exact_reuse,action,verification,paper,orientation,base_font,logical_exports,physical_native_parts
Table_1,Participant and measurement characteristics,deliverables/editable_tables/Table_1.docx,5d09fe9d798c78295d5e8f783e0d73aaee81e1331f0527aa8e860f3bc2d70049,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_1.docx,5d09fe9d798c78295d5e8f783e0d73aaee81e1331f0527aa8e860f3bc2d70049,00c62ea74ce921932bfdb0a183b6fb6bde354ca65cc156fad1b66a82b1cfc3e3,True,Exact accepted native export; no source or native typography edits,SHA-256 exact accepted native document; previous acceptance preserved,A4,landscape,Arial 10 pt,1,1
Table_2,Recommendation adherence,deliverables/editable_tables/Table_2.docx,75704e889145ad648f2532b3b539562c8ae840ee62f0ce864206120531b6e44f,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_2.docx,75704e889145ad648f2532b3b539562c8ae840ee62f0ce864206120531b6e44f,9d1c07af6a755ae7526c0b5a394c29d7727236d8e3052dd42fedf6521db90822,True,Exact accepted native export; no source or native typography edits,SHA-256 exact accepted native document; previous acceptance preserved,A4,landscape,Arial 10 pt,1,1
Table_3,Near-eye metrics and geographic and photoperiod context,deliverables/editable_tables/Table_3.docx,54a31ca2ebfc7c6030971312bd3aafb43f53f792e0de84aa514bdd53cab82bd3,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_3.docx,54a31ca2ebfc7c6030971312bd3aafb43f53f792e0de84aa514bdd53cab82bd3,8a56380c224726998cdba87bcf8f4b848bf95387a258d9fabfb1d5ffd8fe2118,True,Exact accepted native export; no source or native typography edits,SHA-256 exact accepted native document; previous acceptance preserved,A4,landscape,Arial 10 pt,1,1
Table_S1,Descriptive sample flow,deliverables/editable_tables/Table_S1.docx,9ece9a78981962ffb5a2e067e3937582484babe27d7afb050e953413de5ed24f,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S1.docx,9ece9a78981962ffb5a2e067e3937582484babe27d7afb050e953413de5ed24f,642fd7148a0966168af123456eb45361e6cdbef7cd44e08a39e3a5baf48af02e,True,Exact accepted native export; no source or native typography edits,SHA-256 exact accepted native document; previous acceptance preserved,A4,portrait,Arial 10 pt,1,1
Table_S2,Full near-eye metric dictionary and distributions,deliverables/editable_tables/Table_S2.docx,0c834387ff6462b737381d028f0482636c5e55ad0443234f1cb8c165dda75334,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S2.docx,0c834387ff6462b737381d028f0482636c5e55ad0443234f1cb8c165dda75334,0c3d01e460502f8bab3e19d425bb7c601e0098c153d0b1d71b6ee6a270b22837,True,Exact accepted native export; no source or native typography edits,SHA-256 exact accepted native document; previous acceptance preserved,A3,landscape,Arial 10 pt,1,1
Table_S3,Descriptive recommendation-range fractions,deliverables/editable_tables/Table_S3.docx,29d32faf828a660ff8179f95de219aef2d69a23c1a33870a20f19dfa6cb99e5d,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S3.docx,29d32faf828a660ff8179f95de219aef2d69a23c1a33870a20f19dfa6cb99e5d,ed2f9ded07c3fc8fe847fa2d0f2370bfcb06dcce67059a2c9b7243bb72bc8120,True,Exact accepted native export; no source or native typography edits,SHA-256 exact accepted native document; previous acceptance preserved,A4,landscape,Arial 10 pt,1,1
Table_S4,Exploratory cross-window recommendation-adherence associations,deliverables/editable_tables/Table_S4.docx,3900fad5fe5bfc306d99f242b8b30f2d9297a9f2351b48d469ef1d3909896c4a,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S4.docx,449372acfb60acba928d40240792575a20be572622fcdb8bac7ae619dac38f5e,99dea59c500351f4a0f160495cdef4890337e9b54eb265ebbd662e381d156308,False,Authorized redundant family-column omission; all four outcomes and complete family note retained,R4.6.1 retained cells/notes exact; every new native page inspected,A4,landscape,Arial 10 pt,1,1
Table_S5,Near-eye fitted-curve dispersion and full-model R² allocation,deliverables/editable_tables/Table_S5.docx,2c572a23620b5c6851275901842f814db5768139ef3bdf509dd35f91dc858aa0,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S5.docx,2c572a23620b5c6851275901842f814db5768139ef3bdf509dd35f91dc858aa0,28e7c83dc87b8497ca3c2d37229e57f4d7172f2a66ded901a10f7837b1b76838,True,Exact accepted native export; no source or native typography edits,SHA-256 exact accepted native document; previous acceptance preserved,A4,landscape,Arial 10 pt,1,1
Table_S6,Chest fitted-curve dispersion and full-model R² allocation,deliverables/editable_tables/Table_S6.docx,2be5f95d9d762072e22ea6c629865b733a262d8ab8e7b11e81904ae9f7106dce,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S6.docx,2be5f95d9d762072e22ea6c629865b733a262d8ab8e7b11e81904ae9f7106dce,48231c48ec21b1b9a15f907757a56ba7c1da39b8b6160a69406201157e47538e,True,Exact accepted native export; no source or native typography edits,SHA-256 exact accepted native document; previous acceptance preserved,A4,landscape,Arial 10 pt,1,1
Table_S7,Geographic and photoperiod associations,deliverables/editable_tables/Table_S7.docx,682fe317fb1a77b53483e203b05a1410e41816956fbca304b9bfd1e1878ec184,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S7.docx,9ec20d78bffd51bc6e27fe08e255cb6450a04e732e2d8da830d3d6cb4c4fe96a,1bb9a0ada306de9dc0f3be1b7f18215cf04f0b8e7c9fbc647db465453232dde0,False,Two matching-width parts before Timing; 17 exact metric rows; explicit sample line breaks,R4.6.1 retained cells/notes exact; every new native page inspected,A4,landscape,Arial 10 pt,1,2
