section,width_twips,height_twips,orientation,a4
1,11906,16838,portrait,True
2,16838,11906,landscape,True
3,11906,16838,portrait,True
4,11906,16838,portrait,True
5,11906,16838,portrait,True
6,11906,16838,portrait,True
7,11906,16838,portrait,True
8,16838,11906,landscape,True
9,11906,16838,portrait,True
10,11906,16838,portrait,True
11,11906,16838,portrait,True
12,11906,16838,portrait,True
13,16838,11906,landscape,True
14,11906,16838,portrait,True
15,11906,16838,portrait,True
16,16838,11906,landscape,True
17,11906,16838,portrait,True
18,16838,11906,landscape,True
19,11906,16838,portrait,True
20,11906,16838,portrait,True
21,16838,11906,landscape,True
22,11906,16838,portrait,True
23,11906,16838,portrait,True
24,11906,16838,portrait,True
25,16838,11906,landscape,True
26,16838,11906,landscape,True
27,11906,16838,portrait,True
28,16838,11906,landscape,True
29,11906,16838,portrait,True
30,16838,11906,landscape,True
31,11906,16838,portrait,True
32,16838,11906,landscape,True
33,11906,16838,portrait,True
34,16838,11906,landscape,True
35,11906,16838,portrait,True
36,16838,11906,landscape,True
37,11906,16838,portrait,True
