analysis_state,site,sample_id,state_display,day_type,day_type_display,weighting,estimate,standard_error,conf_low,conf_high,contrast_estimate,contrast_standard_error,contrast_conf_low,contrast_conf_high,contrast_p_value,contrast_p_adjusted,row_kind,location,site_display,contrast_type,contrast_significant,reference,state_order,site_order,Window,point,lower,upper,Site,reference_pp,Mark
"Wake outside the three hours before sleep","RISE","primary_any_valid","Daytime","Work day","Work day","",0.352016403728632,0.0349013124384004,0.283611088336187,0.420421719121076,0.0862597323538944,0.0323941912575752,0.0227682841807448,0.149751180527044,0.00774900467159204,0.0321881732512285,"site","Borås (SE)","Borås (SE)","Site minus equal-site mean",TRUE,0.265756671374737,1,1,"Daytime",35.2016403728632,28.3611088336187,42.0421719121076,"Borås (SE)",26.5756671374737,"Different from equal-site mean"
"Wake outside the three hours before sleep","THUAS","primary_any_valid","Daytime","Work day","Work day","",0.305205152111875,0.0351021764883642,0.236406150415712,0.374004153808037,0.0394484807371373,0.0325730484007434,-0.0243935209949997,0.103290482469274,0.225865765952033,0.3947056996456,"site","Delft (NL)","Delft (NL)","Site minus equal-site mean",FALSE,0.265756671374737,1,2,"Daytime",30.5205152111875,23.6406150415712,37.4004153808037,"Delft (NL)",26.5756671374737,"FDR threshold not met"
"Wake outside the three hours before sleep","BAUA","primary_any_valid","Daytime","Work day","Work day","",0.287608045686391,0.0295697846671941,0.229652332708086,0.345563758664696,0.021851374311654,0.0280789880269907,-0.033182430943579,0.0768851795668871,0.436444696864109,0.63091831050219,"site","Dortmund (DE)","Dortmund (DE)","Site minus equal-site mean",FALSE,0.265756671374737,1,3,"Daytime",28.7608045686391,22.9652332708086,34.5563758664696,"Dortmund (DE)",26.5756671374737,"FDR threshold not met"
"Wake outside the three hours before sleep","MPI","primary_any_valid","Daytime","Work day","Work day","",0.23978488451212,0.0214001821440412,0.197841298247202,0.281728470777038,-0.0259717868626177,0.0214786857716928,-0.0680692374103885,0.0161256636851532,0.226590309055807,0.3947056996456,"site","Tübingen (DE)","Tübingen (DE)","Site minus equal-site mean",FALSE,0.265756671374737,1,4,"Daytime",23.978488451212,19.7841298247202,28.1728470777038,"Tübingen (DE)",26.5756671374737,"FDR threshold not met"
"Wake outside the three hours before sleep","TUM","primary_any_valid","Daytime","Work day","Work day","",0.311945415724944,0.040528319909369,0.232511368348663,0.391379463101225,0.0461887443502065,0.0371353138963244,-0.0265951334411791,0.118972622141592,0.213574757353902,0.3947056996456,"site","Munich (DE)","Munich (DE)","Site minus equal-site mean",FALSE,0.265756671374737,1,5,"Daytime",31.1945415724944,23.2511368348663,39.1379463101225,"Munich (DE)",26.5756671374737,"FDR threshold not met"
"Wake outside the three hours before sleep","FUSPCEU","primary_any_valid","Daytime","Work day","Work day","",0.305311046305746,0.0270133859925816,0.252365782659807,0.358256309951685,0.0395543749310086,0.025893789240784,-0.0111965194041989,0.090305269266216,0.126621260704839,0.261709628773654,"site","Madrid (ES)","Madrid (ES)","Site minus equal-site mean",FALSE,0.265756671374737,1,6,"Daytime",30.5311046305746,25.2365782659807,35.8256309951685,"Madrid (ES)",26.5756671374737,"FDR threshold not met"
"Wake outside the three hours before sleep","IZTECH","primary_any_valid","Daytime","Work day","Work day","",0.191936471232205,0.0223050218475696,0.14821943173659,0.235653510727821,-0.0738202001425322,0.0221322899525365,-0.117198691344901,-0.030441708940163,0.000851745646709696,0.00418129681112033,"site","Izmir (TR)","Izmir (TR)","Site minus equal-site mean",TRUE,0.265756671374737,1,7,"Daytime",19.1936471232205,14.821943173659,23.5653510727821,"Izmir (TR)",26.5756671374737,"Different from equal-site mean"
"Wake outside the three hours before sleep","UCR","primary_any_valid","Daytime","Work day","Work day","",0.188324827941738,0.0360421688031605,0.11768347516283,0.258966180720645,-0.0774318434329997,0.0333001773024427,-0.142698991624585,-0.0121646952414139,0.0200576234210622,0.067694479046085,"site","San José (CR)","San José (CR)","Site minus equal-site mean",FALSE,0.265756671374737,1,8,"Daytime",18.8324827941738,11.768347516283,25.8966180720645,"San José (CR)",26.5756671374737,"FDR threshold not met"
"Wake outside the three hours before sleep","KNUST","primary_any_valid","Daytime","Work day","Work day","",0.209677795128986,0.0279324413955034,0.154931215993524,0.264424374264448,-0.0560788762457513,0.0265358505135103,-0.10808818755137,-0.00406956494013238,0.0345729605067247,0.0936627242200037,"site","Kumasi (GH)","Kumasi (GH)","Site minus equal-site mean",FALSE,0.265756671374737,1,9,"Daytime",20.9677795128986,15.4931215993524,26.4424374264448,"Kumasi (GH)",26.5756671374737,"FDR threshold not met"
"Pre-sleep","RISE","primary_any_valid","Pre-sleep","Work day","Work day","",0.688540675750941,0.0422916485375108,0.605650567770594,0.771430783731288,0.0687387994590674,0.0408710617915535,-0.0113670096622885,0.148844608580423,0.0925988595870535,0.20834743407087,"site","Borås (SE)","Borås (SE)","Site minus equal-site mean",FALSE,0.619801876291873,2,1,"Pre-sleep",68.8540675750941,60.5650567770594,77.1430783731288,"Borås (SE)",61.9801876291873,"FDR threshold not met"
"Pre-sleep","THUAS","primary_any_valid","Pre-sleep","Work day","Work day","",0.648328345707575,0.0576896744582205,0.535258661489623,0.761398029925528,0.0285264694157018,0.0534772800068431,-0.0762870733888746,0.133340012220278,0.593734868855761,0.745620532981653,"site","Delft (NL)","Delft (NL)","Site minus equal-site mean",FALSE,0.619801876291873,2,2,"Pre-sleep",64.8328345707575,53.5258661489623,76.1398029925528,"Delft (NL)",61.9801876291873,"FDR threshold not met"
"Pre-sleep","BAUA","primary_any_valid","Pre-sleep","Work day","Work day","",0.58455942659557,0.0413092521955169,0.503594780064074,0.665524073127065,-0.0352424496963039,0.0399985397027753,-0.113638146947939,0.043153247555331,0.378267264414503,0.600728718277709,"site","Dortmund (DE)","Dortmund (DE)","Site minus equal-site mean",FALSE,0.619801876291873,2,3,"Pre-sleep",58.455942659557,50.3594780064074,66.5524073127065,"Dortmund (DE)",61.9801876291873,"FDR threshold not met"
"Pre-sleep","MPI","primary_any_valid","Pre-sleep","Work day","Work day","",0.613774716392086,0.0335922797078529,0.547935058006099,0.679614374778073,-0.00602715989978717,0.0341832400709546,-0.0730250793137445,0.0609707595141702,0.860043216667761,0.947802728572635,"site","Tübingen (DE)","Tübingen (DE)","Site minus equal-site mean",FALSE,0.619801876291873,2,4,"Pre-sleep",61.3774716392086,54.7935058006099,67.9614374778073,"Tübingen (DE)",61.9801876291873,"FDR threshold not met"
"Pre-sleep","TUM","primary_any_valid","Pre-sleep","Work day","Work day","",0.581348113668459,0.0558302030009243,0.471922926537087,0.690773300799831,-0.0384537626234145,0.0520184604926695,-0.140408071720266,0.0635005464734373,0.459765525335317,0.63091831050219,"site","Munich (DE)","Munich (DE)","Site minus equal-site mean",FALSE,0.619801876291873,2,5,"Pre-sleep",58.1348113668459,47.1922926537087,69.0773300799831,"Munich (DE)",61.9801876291873,"FDR threshold not met"
"Pre-sleep","FUSPCEU","primary_any_valid","Pre-sleep","Work day","Work day","",0.609612651181465,0.0441395591225569,0.523100705007777,0.696124597355153,-0.0101892251104086,0.0424228185576931,-0.0933364216061644,0.0729579713853472,0.810188661006435,0.930855057326542,"site","Madrid (ES)","Madrid (ES)","Site minus equal-site mean",FALSE,0.619801876291873,2,6,"Pre-sleep",60.9612651181465,52.3100705007777,69.6124597355153,"Madrid (ES)",61.9801876291873,"FDR threshold not met"
"Pre-sleep","IZTECH","primary_any_valid","Pre-sleep","Work day","Work day","",0.553421380742132,0.0388916084657331,0.477195228848462,0.629647532635802,-0.0663804955497414,0.0383782296187535,-0.141600443392907,0.00883945229342385,0.0836947336647847,0.19650067903906,"site","Izmir (TR)","Izmir (TR)","Site minus equal-site mean",FALSE,0.619801876291873,2,7,"Pre-sleep",55.3421380742132,47.7195228848462,62.9647532635802,"Izmir (TR)",61.9801876291873,"FDR threshold not met"
"Pre-sleep","UCR","primary_any_valid","Pre-sleep","Work day","Work day","",0.569681058048983,0.070804941897566,0.430905922002302,0.708456194095663,-0.0501208182428908,0.0650521040063164,-0.177620599213825,0.0773789627280432,0.441020016777751,0.63091831050219,"site","San José (CR)","San José (CR)","Site minus equal-site mean",FALSE,0.619801876291873,2,8,"Pre-sleep",56.9681058048983,43.0905922002302,70.8456194095663,"San José (CR)",61.9801876291873,"FDR threshold not met"
"Pre-sleep","KNUST","primary_any_valid","Pre-sleep","Work day","Work day","",0.728950518539651,0.0545084188140347,0.622115980809917,0.835785056269384,0.109148642247777,0.051078270343161,0.00903707198258127,0.209260212512973,0.032606944113029,0.0936627242200037,"site","Kumasi (GH)","Kumasi (GH)","Site minus equal-site mean",FALSE,0.619801876291873,2,9,"Pre-sleep",72.8950518539651,62.2115980809917,83.5785056269384,"Kumasi (GH)",61.9801876291873,"FDR threshold not met"
"Sleep environment","RISE","primary_any_valid","Sleep","Work day","Work day","",0.961751593435164,0.00882467415394383,0.944455549918132,0.979047636952195,0.057438407035158,0.00978392320975817,0.0382622699165265,0.0766145441537895,4.33977900993589e-09,4.68696133073077e-08,"site","Borås (SE)","Borås (SE)","Site minus equal-site mean",TRUE,0.904313186400006,3,1,"Sleep",96.1751593435164,94.4455549918132,97.9047636952195,"Borås (SE)",90.4313186400006,"Different from equal-site mean"
"Sleep environment","THUAS","primary_any_valid","Sleep","Work day","Work day","",0.904492611536571,0.0186621799400619,0.867915410981044,0.941069812092098,0.000179425136565173,0.0173402343022361,-0.0338068095793036,0.034165659852434,0.991744172010782,0.997378508776002,"site","Delft (NL)","Delft (NL)","Site minus equal-site mean",FALSE,0.904313186400006,3,2,"Sleep",90.4492611536571,86.7915410981044,94.1069812092098,"Delft (NL)",90.4313186400006,"FDR threshold not met"
"Sleep environment","BAUA","primary_any_valid","Sleep","Work day","Work day","",0.904904410294301,0.0171358951521631,0.871318672953207,0.938490147635395,0.00059122389429507,0.0162383584900976,-0.0312353739143463,0.0324178217029365,0.970956164320298,0.997378508776002,"site","Dortmund (DE)","Dortmund (DE)","Site minus equal-site mean",FALSE,0.904313186400006,3,3,"Sleep",90.4904410294301,87.1318672953207,93.8490147635395,"Dortmund (DE)",90.4313186400006,"FDR threshold not met"
"Sleep environment","MPI","primary_any_valid","Sleep","Work day","Work day","",0.909840277567089,0.013138362884078,0.884089559498478,0.9355909956357,0.00552709116708323,0.0129352850486083,-0.0198256016579484,0.0308797839921149,0.669169623353611,0.803003548024333,"site","Tübingen (DE)","Tübingen (DE)","Site minus equal-site mean",FALSE,0.904313186400006,3,4,"Sleep",90.9840277567089,88.4089559498478,93.55909956357,"Tübingen (DE)",90.4313186400006,"FDR threshold not met"
"Sleep environment","TUM","primary_any_valid","Sleep","Work day","Work day","",0.765840423481139,0.0387648047420228,0.689862802319047,0.841818044643231,-0.138472762918867,0.0347711130008353,-0.206622892102876,-0.070322633734857,6.8220500070879e-05,0.000409323000425274,"site","Munich (DE)","Munich (DE)","Site minus equal-site mean",TRUE,0.904313186400006,3,5,"Sleep",76.5840423481139,68.9862802319047,84.1818044643231,"Munich (DE)",90.4313186400006,"Different from equal-site mean"
"Sleep environment","FUSPCEU","primary_any_valid","Sleep","Work day","Work day","",0.975583984979942,0.00546605152961721,0.964870720844252,0.986297249115632,0.0712707985799363,0.00782824816184138,0.0559277141206853,0.0866138830391872,8.68164592114005e-20,1.56269626580521e-18,"site","Madrid (ES)","Madrid (ES)","Site minus equal-site mean",TRUE,0.904313186400006,3,6,"Sleep",97.5583984979942,96.4870720844252,98.6297249115632,"Madrid (ES)",90.4313186400006,"Different from equal-site mean"
"Sleep environment","IZTECH","primary_any_valid","Sleep","Work day","Work day","",0.843417001263937,0.0250616822712036,0.794297006620392,0.892536995907482,-0.0608961851360684,0.0231691048384552,-0.106306796173473,-0.0154855740986636,0.0085803796139773,0.0330957499396267,"site","Izmir (TR)","Izmir (TR)","Site minus equal-site mean",TRUE,0.904313186400006,3,7,"Sleep",84.3417001263937,79.4297006620392,89.2536995907482,"Izmir (TR)",90.4313186400006,"Different from equal-site mean"
"Sleep environment","UCR","primary_any_valid","Sleep","Work day","Work day","",0.893121641061156,0.0279113465340887,0.838416407094325,0.947826875027987,-0.01119154533885,0.025225175892943,-0.0606319815927062,0.0382488909150062,0.657284296996352,0.803003548024333,"site","San José (CR)","San José (CR)","Site minus equal-site mean",FALSE,0.904313186400006,3,8,"Sleep",89.3121641061156,83.8416407094325,94.7826875027987,"San José (CR)",90.4313186400006,"FDR threshold not met"
"Sleep environment","KNUST","primary_any_valid","Sleep","Work day","Work day","",0.979866733980753,0.00582444749647453,0.968451026657819,0.991282441303688,0.0755535475807474,0.0080645425517056,0.0597473346276137,0.0913597605338811,7.34945419937233e-21,1.98435263383053e-19,"site","Kumasi (GH)","Kumasi (GH)","Site minus equal-site mean",TRUE,0.904313186400006,3,9,"Sleep",97.9866733980753,96.8451026657819,99.1282441303688,"Kumasi (GH)",90.4313186400006,"Different from equal-site mean"
