Window,Site,Site effect minus equal-site effect (95% CI),Primary FDR-adjusted p,At least 80% (95% CI),Direction retained,CI conclusion retained
"Daytime","Borås (SE)","-0.1 pp (-8.1 pp to +8.0 pp)","0.986","-0.0 pp (-8.4 pp to +8.3 pp)","Yes","Yes"
"Daytime","Delft (NL)","+3.0 pp (-5.8 pp to +11.8 pp)","0.691","+3.0 pp (-6.4 pp to +12.3 pp)","Yes","Yes"
"Daytime","Dortmund (DE)","+14.8 pp (+6.7 pp to +22.9 pp)","0.004","+14.4 pp (+6.0 pp to +22.7 pp)","Yes","Yes"
"Daytime","Tübingen (DE)","-1.8 pp (-7.0 pp to +3.3 pp)","0.691","-1.7 pp (-7.1 pp to +3.7 pp)","Yes","Yes"
"Daytime","Munich (DE)","-6.9 pp (-15.0 pp to +1.3 pp)","0.444","-6.0 pp (-14.6 pp to +2.6 pp)","Yes","Yes"
"Daytime","Madrid (ES)","-9.2 pp (-15.6 pp to -2.8 pp)","0.044","-9.2 pp (-15.6 pp to -2.7 pp)","Yes","Yes"
"Daytime","Izmir (TR)","+3.0 pp (-3.1 pp to +9.2 pp)","0.691","+2.0 pp (-4.5 pp to +8.4 pp)","Yes","Yes"
"Daytime","San José (CR)","+3.3 pp (-7.2 pp to +13.9 pp)","0.691","+3.7 pp (-7.0 pp to +14.4 pp)","Yes","Yes"
"Daytime","Kumasi (GH)","-6.2 pp (-12.2 pp to -0.2 pp)","0.285","-6.1 pp (-12.3 pp to +0.1 pp)","Yes","No"
"Pre-sleep","Borås (SE)","-6.5 pp (-17.9 pp to +5.0 pp)","0.691","-9.2 pp (-21.5 pp to +3.1 pp)","Yes","Yes"
"Pre-sleep","Delft (NL)","+2.1 pp (-11.8 pp to +16.0 pp)","0.896","-5.0 pp (-21.7 pp to +11.8 pp)","No","Yes"
"Pre-sleep","Dortmund (DE)","+2.5 pp (-9.1 pp to +14.1 pp)","0.824","+3.2 pp (-9.5 pp to +15.9 pp)","Yes","Yes"
"Pre-sleep","Tübingen (DE)","-5.2 pp (-14.5 pp to +4.1 pp)","0.691","-1.2 pp (-11.2 pp to +8.7 pp)","Yes","Yes"
"Pre-sleep","Munich (DE)","-4.5 pp (-19.0 pp to +9.9 pp)","0.691","-5.8 pp (-21.0 pp to +9.3 pp)","Yes","Yes"
"Pre-sleep","Madrid (ES)","+1.2 pp (-9.8 pp to +12.3 pp)","0.896","+4.9 pp (-6.8 pp to +16.5 pp)","Yes","Yes"
"Pre-sleep","Izmir (TR)","-4.0 pp (-15.9 pp to +8.0 pp)","0.691","+4.0 pp (-9.6 pp to +17.6 pp)","No","Yes"
"Pre-sleep","San José (CR)","+9.7 pp (-8.5 pp to +28.0 pp)","0.691","+7.5 pp (-11.7 pp to +26.7 pp)","Yes","Yes"
"Pre-sleep","Kumasi (GH)","+4.6 pp (-6.9 pp to +16.1 pp)","0.691","+1.7 pp (-10.6 pp to +14.0 pp)","Yes","Yes"
"Sleep","Borås (SE)","-3.2 pp (-12.3 pp to +5.9 pp)","0.691","-4.1 pp (-13.5 pp to +5.4 pp)","Yes","Yes"
"Sleep","Delft (NL)","-2.4 pp (-9.1 pp to +4.4 pp)","0.691","-2.9 pp (-9.6 pp to +3.7 pp)","Yes","Yes"
"Sleep","Dortmund (DE)","+2.4 pp (-3.7 pp to +8.5 pp)","0.691","+3.0 pp (-3.2 pp to +9.2 pp)","Yes","Yes"
"Sleep","Tübingen (DE)","-0.5 pp (-5.3 pp to +4.2 pp)","0.896","-0.2 pp (-4.9 pp to +4.6 pp)","Yes","Yes"
"Sleep","Munich (DE)","-3.4 pp (-13.5 pp to +6.8 pp)","0.691","-2.1 pp (-12.2 pp to +8.1 pp)","Yes","Yes"
"Sleep","Madrid (ES)","+3.4 pp (-0.0 pp to +6.8 pp)","0.285","+3.1 pp (-0.3 pp to +6.6 pp)","Yes","Yes"
"Sleep","Izmir (TR)","-2.3 pp (-9.5 pp to +4.8 pp)","0.691","-3.4 pp (-10.7 pp to +3.9 pp)","Yes","Yes"
"Sleep","San José (CR)","-0.3 pp (-11.7 pp to +11.0 pp)","0.986","+0.1 pp (-11.3 pp to +11.4 pp)","No","Yes"
"Sleep","Kumasi (GH)","+6.3 pp (+3.5 pp to +9.1 pp)","<0.001","+6.4 pp (+3.5 pp to +9.3 pp)","Yes","Yes"
