Sample,Check,Assessment,Detail
"Any valid period","overall adherence","acceptable with limitations","maximum absolute state-site-day-type adherence calibration difference 0.055"
"Any valid period","endpoint probabilities","acceptable","5 of 5 applicable state endpoint envelopes passed"
"Any valid period","actual date temporal dependence","triggered","3 state residual series reached the temporal trigger"
"Any valid period","frozen primary numerical fit","acceptable with cautions","Stored numerical status; primary model was not refitted"
"At least 80% coverage","overall adherence","acceptable with limitations","maximum absolute state-site-day-type adherence calibration difference 0.088"
"At least 80% coverage","endpoint probabilities","acceptable","5 of 5 applicable state endpoint envelopes passed"
"At least 80% coverage","actual date temporal dependence","triggered","3 state residual series reached the temporal trigger"
"At least 80% coverage","frozen primary numerical fit","acceptable with cautions","Stored numerical status; primary model was not refitted"
"Complementary chest","overall adherence","acceptable with limitations","maximum absolute state-site-day-type adherence calibration difference 0.074"
"Complementary chest","endpoint probabilities","acceptable","3 of 3 applicable state endpoint envelopes passed"
"Complementary chest","actual date temporal dependence","triggered","1 state residual series reached the temporal trigger"
"Complementary chest","frozen numerical fit","acceptable with cautions","Separate two-window eight-site chest sensitivity; not a placement comparison test"
"Any-valid temporal fallback","overall adherence","acceptable with limitations","maximum absolute state-site-day-type adherence calibration difference 0.057"
"Any-valid temporal fallback","endpoint probabilities","not acceptable","0 of 5 applicable state endpoint envelopes passed"
"Any-valid temporal fallback","actual date temporal dependence","triggered","1 state residual series reached the temporal trigger"
"Any-valid temporal fallback","temporal numerical fit","acceptable with limitations","Selected sensitivity route BB-R0 ; not a primary replacement"
"80% temporal fallback","overall adherence","acceptable","maximum absolute state-site-day-type adherence calibration difference 0.050"
"80% temporal fallback","endpoint probabilities","not acceptable","0 of 5 applicable state endpoint envelopes passed"
"80% temporal fallback","actual date temporal dependence","acceptable","0 state residual series reached the temporal trigger"
"80% temporal fallback","temporal numerical fit","acceptable with limitations","Selected sensitivity route BB-R0 ; not a primary replacement"
