analysis_state,site,sample_id,family,state_display,site_display,contrast,estimate,standard_error,conf_low,conf_high,statistic,p_value,p_adjusted_zero,p_adjusted_average,fdr_significant,state_order,site_order,reference,Window,point,lower,upper,Site,reference_pp,Mark
"Wake outside the three hours before sleep","RISE","primary_any_valid","BA-M4","Daytime","Borås (SE)","Free day minus Work day",-0.0515773650368174,0.0439862396676015,-0.137788810600663,0.0346340805270286,-1.17257954820828,0.240964454848521,0.382708251818239,0.986209715178377,FALSE,1,1,-0.0508670187703429,"Daytime",-5.15773650368174,-13.7788810600663,3.46340805270286,"Borås (SE)",-5.08670187703429,"FDR threshold not met"
"Wake outside the three hours before sleep","THUAS","primary_any_valid","BA-M4","Daytime","Delft (NL)","Free day minus Work day",-0.0212639154507018,0.0484799399724415,-0.116282851769351,0.0737550208679473,-0.438612660469243,0.660942221818992,0.849782856624418,0.690616683994313,FALSE,1,2,-0.0508670187703429,"Daytime",-2.12639154507018,-11.6282851769351,7.37550208679473,"Delft (NL)",-5.08670187703429,"FDR threshold not met"
"Wake outside the three hours before sleep","BAUA","primary_any_valid","BA-M4","Daytime","Dortmund (DE)","Free day minus Work day",0.09745596901873,0.0441166205216642,0.0109889816766475,0.183922956360812,2.20905336506618,0.027170929295499,0.0815127878864971,0.00436980143918384,TRUE,1,3,-0.0508670187703429,"Daytime",9.745596901873,1.09889816766475,18.3922956360812,"Dortmund (DE)",-5.08670187703429,"FDR threshold not met"
"Wake outside the three hours before sleep","MPI","primary_any_valid","BA-M4","Daytime","Tübingen (DE)","Free day minus Work day",-0.0691602317758963,0.0254850994314121,-0.119110108803886,-0.0192103547479065,-2.71375169486888,0.00665260098571298,0.0390577522382766,0.690616683994313,FALSE,1,4,-0.0508670187703429,"Daytime",-6.91602317758963,-11.9110108803886,-1.92103547479065,"Tübingen (DE)",-5.08670187703429,"Different from zero"
"Wake outside the three hours before sleep","TUM","primary_any_valid","BA-M4","Daytime","Munich (DE)","Free day minus Work day",-0.119469251753092,0.0444797306690976,-0.206647921906565,-0.0322905815996191,-2.68592570044705,0.00723291708116233,0.0390577522382766,0.444277326770604,FALSE,1,5,-0.0508670187703429,"Daytime",-11.9469251753092,-20.6647921906565,-3.22905815996191,"Munich (DE)",-5.08670187703429,"Different from zero"
"Wake outside the three hours before sleep","FUSPCEU","primary_any_valid","BA-M4","Daytime","Madrid (ES)","Free day minus Work day",-0.142676871522743,0.0334815419110117,-0.208299487815195,-0.0770542552302921,-4.26135904678328,2.03187489418166e-05,0.000548606221429048,0.0439931727610408,TRUE,1,6,-0.0508670187703429,"Daytime",-14.2676871522743,-20.8299487815195,-7.70542552302921,"Madrid (ES)",-5.08670187703429,"Different from zero"
"Wake outside the three hours before sleep","IZTECH","primary_any_valid","BA-M4","Daytime","Izmir (TR)","Free day minus Work day",-0.0206260852996454,0.0319784802530484,-0.0833027548759455,0.0420505842766547,-0.64499892228866,0.518927884109163,0.70055264354737,0.690616683994313,FALSE,1,7,-0.0508670187703429,"Daytime",-2.06260852996454,-8.33027548759455,4.20505842766547,"Izmir (TR)",-5.08670187703429,"FDR threshold not met"
"Wake outside the three hours before sleep","UCR","primary_any_valid","BA-M4","Daytime","San José (CR)","Free day minus Work day",-0.0175800792002425,0.0589205397069089,-0.133062214975446,0.097902056574961,-0.298369283236235,0.765421330388754,0.898538083499841,0.690616683994313,FALSE,1,8,-0.0508670187703429,"Daytime",-1.75800792002425,-13.3062214975446,9.7902056574961,"San José (CR)",-5.08670187703429,"FDR threshold not met"
"Wake outside the three hours before sleep","KNUST","primary_any_valid","BA-M4","Daytime","Kumasi (GH)","Free day minus Work day",-0.112905337912677,0.0309788641664416,-0.173622795960861,-0.0521878798644931,-3.64459256175647,0.000267815737998694,0.00361551246298237,0.284974345227772,FALSE,1,9,-0.0508670187703429,"Daytime",-11.2905337912677,-17.3622795960861,-5.21878798644931,"Kumasi (GH)",-5.08670187703429,"Different from zero"
"Pre-sleep","RISE","primary_any_valid","BA-M4","Pre-sleep","Borås (SE)","Free day minus Work day",-0.00550622616441732,0.0609409495594894,-0.124948292484689,0.113935840155854,-0.0903534684677376,0.928006332169762,0.928006332169762,0.690616683994313,FALSE,2,1,0.059179818185073,"Pre-sleep",-0.550622616441732,-12.4948292484689,11.3935840155854,"Borås (SE)",5.9179818185073,"FDR threshold not met"
