Sample,Reference,Predictor,Absolute R² contribution (pp),Relative fixed-effect weight (%)
"Any valid period","Daytime","Site","10.98","78.68"
"Any valid period","Daytime","Day type","2.98","21.32"
"Any valid period","Pre-sleep","Site","4.11","76.91"
"Any valid period","Pre-sleep","Day type","1.23","23.09"
"Any valid period","Sleep","Site","14.09","83.04"
"Any valid period","Sleep","Day type","2.88","16.96"
"At least 80% coverage","Daytime","Site","11.06","77.47"
"At least 80% coverage","Daytime","Day type","3.22","22.53"
"At least 80% coverage","Pre-sleep","Site","4.76","85.22"
"At least 80% coverage","Pre-sleep","Day type","0.83","14.78"
"At least 80% coverage","Sleep","Site","15.00","84.60"
"At least 80% coverage","Sleep","Day type","2.73","15.40"
