Sample,Window,Day type,Recommendation adherence (95% CI)
"Any valid period","Daytime","Work day","26.6% (24.5% to 28.7%)"
"Any valid period","Daytime","Free day","21.5% (19.2% to 23.8%)"
"Any valid period","Pre-sleep","Work day","62.0% (58.8% to 65.2%)"
"Any valid period","Pre-sleep","Free day","67.9% (64.2% to 71.6%)"
"Any valid period","Sleep","Work day","90.4% (88.9% to 91.9%)"
"Any valid period","Sleep","Free day","83.9% (81.4% to 86.5%)"
"At least 80% coverage","Daytime","Work day","26.9% (24.8% to 29.1%)"
"At least 80% coverage","Daytime","Free day","21.3% (18.9% to 23.6%)"
"At least 80% coverage","Pre-sleep","Work day","62.7% (59.4% to 66.0%)"
"At least 80% coverage","Pre-sleep","Free day","66.8% (62.7% to 70.9%)"
"At least 80% coverage","Sleep","Work day","90.1% (88.5% to 91.6%)"
"At least 80% coverage","Sleep","Free day","83.8% (81.3% to 86.3%)"
