view,check_id,status,detail
1440x1000,desktop_reader_flow,PASS,"Styled page loaded with one main element, complete headings and callouts, readable navigation, and no horizontal overflow."
1440x1000,representative_native_table,PASS,"The participant-support gt table was complete, aligned, readable, and followed by the intended figure."
1440x1000,age_distribution_figure,PASS,"Both sensor-position panels, nine country-coded sites, biological-sex shapes, axes, legend, caption, and source link were visible and unclipped."
1440x1000,sample_support_figure,PASS,"All metric rows, both analysis-unit groups, placement marks, percentage axis, legend, caption, and source link were visible and unclipped."
708x1000,narrow_reader_flow,PASS,"The responsive header and main content were readable with document scrollWidth equal to clientWidth."
708x1000,narrow_layout_metrics,PASS,"Viewport 708 by 1000; main width 642 pixels; zero page-level horizontal overflow."
642px,age_distribution_final_size,PASS,"The age-distribution figure rendered at the exact 642-pixel 170-mm-equivalent width with complete marks, labels, axes, legend, and caption."
642px,sample_support_final_size,PASS,"The sample-support figure rendered at the exact 642-pixel 170-mm-equivalent width with complete marks, labels, axis, legend, and caption."
720x500,percent_200_equivalent,PASS,"The 200-percent-equivalent viewport retained readable content and zero page-level horizontal overflow."
lifecycle,clean_load_and_teardown,PASS,"A fresh styled tab loaded with zero console warnings or errors; both temporary tabs closed, viewport reset, server stopped, and no listener remained on 127.0.0.1:48791."
