"domain","check_id","status","detail"
"owner_stop","owner_seal_exact","PASS","31/31 exact, unique, non-circular"
"manifest_diagnosis","exact_six_extra_rows","PASS","275 versus 269; extra=6, missing=0, common_changed=0"
"historical_evidence","exact_thirteen_file_exclusion_set","PASS","13/13 exact historical Order 59 files excluded"
"helper_transition","prospective_helper_and_exact_reverse","PASS","post=26619260; reverse=292ad333; R=4.6.1; Air=0.4.1"
"isolated_manifest","recovery_manifest_269_live_exact","PASS","269/269 live-exact; preview path set exact; helper row only changed"
"isolated_test","strict_preparation_test_pass","PASS","19 gt tables, 2 descriptive figures, 68 frozen frames; strict mode"
"semantic_dom","existing_html_semantic_contract","PASS","main=1 tables=19 figures=2 headers=1050 duplicate_ids=0 errors=0"
"fixed_identity","sources_html_profile_and_h11_exact","PASS","9/9 exact"
"visual_preflight","secure_loopback_responsive_preflight","PASS","1440x1000, 708x1000, 720x500, 642px figures; clean load and teardown"
"execution_scope","no_quarto_science_or_html_mutation","PASS","Quarto=0; QMD execution=0; model/science=0; canonical HTML change=0"
