"path","sha256","bytes","phase","exclusion_basis"
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/execution_record.csv","3ca014fd5a7fbc4d34c86ac7abe3758cda6f9020dd865a7eb2ba91b5b14519f8",554,"created_after_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/fail_closed_checks.csv","69e736c6e65cc5102988418dbdb06f0386ebfd0b9719510e91b4fb7ba1614897",673,"created_after_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/fixed_identity_at_stop.csv","0dde326bf2743ccf48729bc6d282d4021d52a9becce72a06690d2d9309b1f621",1243,"created_after_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/helper_mismatch_diagnosis.csv","3cf3007cd066f144c4f5805d827415bf35d9b284f156982c167ef9fe620879b0",965,"created_after_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/helper_transition.diff","438955918e3447331a05f1fb3febf1b064d0b4682b17d92298c180d31cfa0dae",1185,"created_before_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/independent_build_delta.csv","b589ae4f462de0b53653abfed918fc77c348c466428b1d996aa09086e9d25d5c",931,"created_before_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/independent_preflight_checks.csv","0b0dcfefc484036498cda1def0d0a78b8835dcfcbc51e2bdd38a9423f2124c66",1487,"created_before_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/independent_protected_delta.csv","ccec7616da170fefaa8ce053914e7802f995811bd5224c5e48e5db37dfd7fe74",170,"created_before_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/order59_fail_closed_non_circular_evidence_manifest.csv","841fd913ca48bee3c56461b9815dcf89664f72563c3d8bacfff81d151d594ea5",5734,"created_after_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/order59_fail_closed_stop_record.md","71091cdfbf73cdf837062da4eb9491f1f7858fd118c27f9e74bd4e10e0e189ab",1491,"created_after_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/preparation_test_transition.diff","3930297527d5cdb102fc2b14d301b8553bc80300f880a4248e56bb842541918b",7221,"created_before_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/seal_order59_fail_closed.R","095687b3623a3f5c678af742871e785229b70b5fd15d0b8938d90eb90eac771b",9934,"created_after_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
"audit/hypotheses/H10/report018_order59_companion_no_rerender_completion/transition_checks.csv","29b7248ade85051abd7920045b18f04f57572cd7cb232ab0aa9d798e31bedf8a",644,"created_before_consumed_helper_execution","Historical Order 59 execution evidence is sealed separately and must not enter the chronological live preparation inventory."
