metric_id,instrument_id,participants_glasses,participants_chest,participant_days_glasses,participant_days_chest,row_key_hash_glasses,row_key_hash_chest,exact_counts_match,exact_row_keys_match
first_timing_above_250,MCTQ,111,111,558,558,4d7f5884323df82a23446d8a2c2445f2a022e69aa1b5542b16e0baf0d45aa537,4d7f5884323df82a23446d8a2c2445f2a022e69aa1b5542b16e0baf0d45aa537,TRUE,TRUE
first_timing_above_250,MEQ,112,112,563,563,345c252f0c9601f8b26fc09d3317cb330481d6203fbabab6ed04551cc66ef3f7,345c252f0c9601f8b26fc09d3317cb330481d6203fbabab6ed04551cc66ef3f7,TRUE,TRUE
l10_midpoint,MCTQ,111,111,637,637,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,TRUE,TRUE
l10_midpoint,MEQ,112,112,643,643,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,TRUE,TRUE
last_timing_above_250,MCTQ,111,111,520,520,26c5d1aab74d2fe26c0a446cbf05b476ada858146b4d4741178794aa2c0a78e7,26c5d1aab74d2fe26c0a446cbf05b476ada858146b4d4741178794aa2c0a78e7,TRUE,TRUE
last_timing_above_250,MEQ,112,112,524,524,00493dd1095273812da93f4bdb1fc3343ae41e2dbd9310853fedacee804af87e,00493dd1095273812da93f4bdb1fc3343ae41e2dbd9310853fedacee804af87e,TRUE,TRUE
longest_period_midpoint,MCTQ,104,104,355,355,f3746d1ac910b04692d48fe478c73006c509f1faebacdcfbb4f5c3060c3b7d8f,f3746d1ac910b04692d48fe478c73006c509f1faebacdcfbb4f5c3060c3b7d8f,TRUE,TRUE
longest_period_midpoint,MEQ,105,105,357,357,45eb634ca54fba7c5d2dba612b55b612958581b678553cadd1650c31d474f12c,45eb634ca54fba7c5d2dba612b55b612958581b678553cadd1650c31d474f12c,TRUE,TRUE
m10_midpoint,MCTQ,111,111,637,637,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,f4eb99bba1f6bbea64cd929474b079b966341939a601088025f4550048eb1e9b,TRUE,TRUE
m10_midpoint,MEQ,112,112,643,643,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,TRUE,TRUE
mean_timing_above_250,MCTQ,111,111,567,567,d48caa80ffef6b0c8cca423378b9c7b7fe1f6598069b6a0c33f75efabe0cfbe7,d48caa80ffef6b0c8cca423378b9c7b7fe1f6598069b6a0c33f75efabe0cfbe7,TRUE,TRUE
mean_timing_above_250,MEQ,112,112,573,573,e9335af9515f3a9b0a0a7a11144e0d569bdf6bd21304a07f49b1bda5f968965a,e9335af9515f3a9b0a0a7a11144e0d569bdf6bd21304a07f49b1bda5f968965a,TRUE,TRUE
