frame_id,run_id,metric_id,instrument_id,site,participants,participant_days,observations,derivation_hours
primary__glasses__all_available__m10_midpoint__MCTQ,primary__glasses__all_available,m10_midpoint,MCTQ,RISE,13,78,78,1807.1666666666667
primary__glasses__all_available__m10_midpoint__MCTQ,primary__glasses__all_available,m10_midpoint,MCTQ,THUAS,13,78,78,1796.4166666666667
primary__glasses__all_available__m10_midpoint__MCTQ,primary__glasses__all_available,m10_midpoint,MCTQ,BAUA,18,107,107,2476.3333333333335
primary__glasses__all_available__m10_midpoint__MCTQ,primary__glasses__all_available,m10_midpoint,MCTQ,MPI,26,150,150,3445.133333333333
primary__glasses__all_available__m10_midpoint__MCTQ,primary__glasses__all_available,m10_midpoint,MCTQ,TUM,10,60,60,1374.4833333333333
primary__glasses__all_available__m10_midpoint__MCTQ,primary__glasses__all_available,m10_midpoint,MCTQ,FUSPCEU,22,123,123,2885.85
primary__glasses__all_available__m10_midpoint__MCTQ,primary__glasses__all_available,m10_midpoint,MCTQ,IZTECH,17,101,101,2348.0833333333335
primary__glasses__all_available__m10_midpoint__MCTQ,primary__glasses__all_available,m10_midpoint,MCTQ,UCR,6,32,32,732.2166666666667
primary__glasses__all_available__m10_midpoint__MCTQ,primary__glasses__all_available,m10_midpoint,MCTQ,KNUST,15,81,81,1846
primary__glasses__all_available__m10_midpoint__MEQ,primary__glasses__all_available,m10_midpoint,MEQ,RISE,13,78,78,1807.1666666666667
primary__glasses__all_available__m10_midpoint__MEQ,primary__glasses__all_available,m10_midpoint,MEQ,THUAS,13,78,78,1796.4166666666667
primary__glasses__all_available__m10_midpoint__MEQ,primary__glasses__all_available,m10_midpoint,MEQ,BAUA,18,107,107,2476.3333333333335
primary__glasses__all_available__m10_midpoint__MEQ,primary__glasses__all_available,m10_midpoint,MEQ,MPI,26,150,150,3445.133333333333
primary__glasses__all_available__m10_midpoint__MEQ,primary__glasses__all_available,m10_midpoint,MEQ,TUM,10,60,60,1374.4833333333333
primary__glasses__all_available__m10_midpoint__MEQ,primary__glasses__all_available,m10_midpoint,MEQ,FUSPCEU,23,129,129,3025.1666666666665
primary__glasses__all_available__m10_midpoint__MEQ,primary__glasses__all_available,m10_midpoint,MEQ,IZTECH,17,101,101,2348.0833333333335
primary__glasses__all_available__m10_midpoint__MEQ,primary__glasses__all_available,m10_midpoint,MEQ,UCR,6,32,32,732.2166666666667
primary__glasses__all_available__m10_midpoint__MEQ,primary__glasses__all_available,m10_midpoint,MEQ,KNUST,15,81,81,1846
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,RISE,13,78,78,1807.1666666666667
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,THUAS,13,78,78,1796.4166666666667
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,BAUA,18,107,107,2476.3333333333335
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,MPI,26,150,150,3445.133333333333
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,TUM,10,60,60,1374.4833333333333
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,FUSPCEU,22,123,123,2885.85
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,IZTECH,17,101,101,2348.0833333333335
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,UCR,6,32,32,732.2166666666667
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,KNUST,15,81,81,1846
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,RISE,13,78,78,1807.1666666666667
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,THUAS,13,78,78,1796.4166666666667
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,BAUA,18,107,107,2476.3333333333335
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,MPI,26,150,150,3445.133333333333
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,TUM,10,60,60,1374.4833333333333
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,FUSPCEU,23,129,129,3025.1666666666665
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,IZTECH,17,101,101,2348.0833333333335
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,UCR,6,32,32,732.2166666666667
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,KNUST,15,81,81,1846
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,RISE,13,74,74,1717.2666666666667
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,THUAS,13,68,68,1571
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,BAUA,18,93,93,2154.4166666666665
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,MPI,25,133,133,3060.15
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,TUM,10,56,56,1284.9
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,FUSPCEU,22,113,113,2651.7166666666667
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,IZTECH,17,95,95,2209.25
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,UCR,6,29,29,667.35
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,KNUST,15,61,61,1400.2166666666667
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,RISE,13,74,74,1717.2666666666667
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,THUAS,13,68,68,1571
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,BAUA,18,93,93,2154.4166666666665
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,MPI,25,133,133,3060.15
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,TUM,10,56,56,1284.9
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,FUSPCEU,23,118,118,2767.95
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,IZTECH,17,95,95,2209.25
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,UCR,6,29,29,667.35
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,KNUST,15,61,61,1400.2166666666667
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,RISE,13,73,73,1695.6333333333334
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,THUAS,13,62,62,1450.6833333333334
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,BAUA,18,89,89,2073.05
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,MPI,26,121,121,2811.2
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,TUM,10,53,53,1219.3166666666666
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,FUSPCEU,22,102,102,2415.4166666666665
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,IZTECH,17,89,89,2076.7
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,UCR,6,28,28,646.1333333333333
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,KNUST,15,66,66,1512.65
primary__glasses__all_available__last_timing_above_250__MEQ,primary__glasses__all_available,last_timing_above_250,MEQ,RISE,13,73,73,1695.6333333333334
