run_id,data_scenario_id,placement,placement_label,sample_scenario,metric_id,instrument_id,availability,reason
gap__glasses__all_available,gap_timing_unaware,glasses,Near eye,all_available,longest_period_midpoint,MCTQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
gap__glasses__all_available,gap_timing_unaware,glasses,Near eye,all_available,longest_period_midpoint,MEQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
gap__chest__all_available,gap_timing_unaware,chest,Chest,all_available,longest_period_midpoint,MCTQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
gap__chest__all_available,gap_timing_unaware,chest,Chest,all_available,longest_period_midpoint,MEQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
primary__glasses__gap_common,primary,glasses,Near eye,gap_common,longest_period_midpoint,MCTQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
primary__glasses__gap_common,primary,glasses,Near eye,gap_common,longest_period_midpoint,MEQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
gap__glasses__gap_common,gap_timing_unaware,glasses,Near eye,gap_common,longest_period_midpoint,MCTQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
gap__glasses__gap_common,gap_timing_unaware,glasses,Near eye,gap_common,longest_period_midpoint,MEQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
primary__chest__gap_common,primary,chest,Chest,gap_common,longest_period_midpoint,MCTQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
primary__chest__gap_common,primary,chest,Chest,gap_common,longest_period_midpoint,MEQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
gap__chest__gap_common,gap_timing_unaware,chest,Chest,gap_common,longest_period_midpoint,MCTQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
gap__chest__gap_common,gap_timing_unaware,chest,Chest,gap_common,longest_period_midpoint,MEQ,NON_ESTIMABLE,The alternative-preprocessing input contains neither the registered longest-period midpoint nor its selected-period endpoints
