metric_id,instrument_id,placement,participants_primary,participants_gap_timing_unaware,participant_days_primary,participant_days_gap_timing_unaware,row_key_hash_primary,row_key_hash_gap_timing_unaware,exact_counts_match,exact_row_keys_match
first_timing_above_250,MCTQ,glasses,139,139,715,715,9135502ad270e83b23bc76163c818d383d99f6782c576cbcb422e1b365b55b5a,9135502ad270e83b23bc76163c818d383d99f6782c576cbcb422e1b365b55b5a,TRUE,TRUE
first_timing_above_250,MEQ,glasses,140,140,720,720,1789ef2f9df7e87a099e81595e5020588842d78a8513259e230bd4b532fc7848,1789ef2f9df7e87a099e81595e5020588842d78a8513259e230bd4b532fc7848,TRUE,TRUE
l10_midpoint,MCTQ,glasses,140,140,803,803,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,TRUE,TRUE
l10_midpoint,MEQ,glasses,141,141,809,809,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,TRUE
last_timing_above_250,MCTQ,glasses,140,140,680,680,540e33ad24567b04f8d5ce2c752eaa5746cf1a77a193120d5c4b2050c6f5c3c2,540e33ad24567b04f8d5ce2c752eaa5746cf1a77a193120d5c4b2050c6f5c3c2,TRUE,TRUE
last_timing_above_250,MEQ,glasses,141,141,684,684,2c566bd1c6b99aa941be6a3b58cd177055f1222d04f2c5edc2f96c91f5254974,2c566bd1c6b99aa941be6a3b58cd177055f1222d04f2c5edc2f96c91f5254974,TRUE,TRUE
m10_midpoint,MCTQ,glasses,140,140,803,803,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,TRUE,TRUE
m10_midpoint,MEQ,glasses,141,141,809,809,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,TRUE
mean_timing_above_250,MCTQ,glasses,140,140,731,731,a5b9fb18fa9a429e4ff1b158c61861a886fc029e41a81c4bf468ea425c49381e,a5b9fb18fa9a429e4ff1b158c61861a886fc029e41a81c4bf468ea425c49381e,TRUE,TRUE
mean_timing_above_250,MEQ,glasses,141,141,737,737,eadfb1cdd333fadee16969bc3c69d391dccecb3bf78271737400695e8684a28f,eadfb1cdd333fadee16969bc3c69d391dccecb3bf78271737400695e8684a28f,TRUE,TRUE
first_timing_above_250,MCTQ,chest,153,153,790,790,bd878ca16ec6a996c45cda4fa037513d022acd937d57938831664c30968eff4e,bd878ca16ec6a996c45cda4fa037513d022acd937d57938831664c30968eff4e,TRUE,TRUE
first_timing_above_250,MEQ,chest,154,154,795,795,ff11d1b1b98f7a613f83b2b9e0f0e9accfa35b083a70d3be1a4ff3e1abe08836,ff11d1b1b98f7a613f83b2b9e0f0e9accfa35b083a70d3be1a4ff3e1abe08836,TRUE,TRUE
l10_midpoint,MCTQ,chest,153,153,888,888,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,TRUE,TRUE
l10_midpoint,MEQ,chest,154,154,894,894,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,TRUE
last_timing_above_250,MCTQ,chest,153,153,780,780,94460b120e4ee73233c7f11d5cc4c0f5018c01333bd132b9c79c0068f8c88ce5,94460b120e4ee73233c7f11d5cc4c0f5018c01333bd132b9c79c0068f8c88ce5,TRUE,TRUE
last_timing_above_250,MEQ,chest,154,154,784,784,eda77b9db4bb5622a0ec2c345250f37a5a0e61559609c9596d47c7bd66045281,eda77b9db4bb5622a0ec2c345250f37a5a0e61559609c9596d47c7bd66045281,TRUE,TRUE
m10_midpoint,MCTQ,chest,153,153,888,888,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,TRUE,TRUE
m10_midpoint,MEQ,chest,154,154,894,894,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,TRUE
mean_timing_above_250,MCTQ,chest,153,153,820,820,1f30ceb6bc2a922a21221726223558028b26e3e4f2cf40a328fb72abd978d14d,1f30ceb6bc2a922a21221726223558028b26e3e4f2cf40a328fb72abd978d14d,TRUE,TRUE
mean_timing_above_250,MEQ,chest,154,154,826,826,87ef17555413757cf826458620604588bedab24644f07355046790662734023e,87ef17555413757cf826458620604588bedab24644f07355046790662734023e,TRUE,TRUE
