run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,family_enabled
1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE
2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,TRUE
3,primary__glasses__paired_common,primary,Primary dataset,glasses,Near eye,paired_common,paired_placement_sensitivity,TRUE
4,primary__chest__paired_common,primary,Primary dataset,chest,Chest,paired_common,paired_placement_sensitivity,TRUE
5,gap__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,data_preparation_sensitivity,TRUE
6,gap__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,complementary_data_preparation_sensitivity,TRUE
7,primary__glasses__gap_common,primary,Primary dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,TRUE
8,gap__glasses__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,gap_common,exact_common_data_sensitivity,TRUE
9,primary__chest__gap_common,primary,Primary dataset,chest,Chest,gap_common,exact_common_data_sensitivity,TRUE
10,gap__chest__gap_common,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,gap_common,exact_common_data_sensitivity,TRUE
