reader_placement,metric_order,metric_id,manuscript_name,metric_display,factor_order,factor_id,factor_label,factor_display,model_adequacy,reader_inference_status,specified_limitations,reader_model_assessment
Near eye,1,interdaily_stability,Interdaily stability,Interdaily stability,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable,retained_for_inference,,acceptable
Near eye,1,interdaily_stability,Interdaily stability,Interdaily stability,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable,retained_for_inference,,acceptable
Near eye,1,interdaily_stability,Interdaily stability,Interdaily stability,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable,retained_for_inference,,acceptable
Near eye,1,interdaily_stability,Interdaily stability,Interdaily stability,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable,retained_for_inference,,acceptable
Near eye,2,intradaily_variability,Intradaily variability,Intradaily variability,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable,retained_for_inference,,acceptable
Near eye,2,intradaily_variability,Intradaily variability,Intradaily variability,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable,retained_for_inference,,acceptable
Near eye,2,intradaily_variability,Intradaily variability,Intradaily variability,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable,retained_for_inference,,acceptable
Near eye,2,intradaily_variability,Intradaily variability,Intradaily variability,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable,retained_for_inference,,acceptable
Near eye,3,daily_geometric_mean_medi,Mean melEDI,Mean melEDI,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,3,daily_geometric_mean_medi,Mean melEDI,Mean melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,3,daily_geometric_mean_medi,Mean melEDI,Mean melEDI,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,3,daily_geometric_mean_medi,Mean melEDI,Mean melEDI,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,4,m10_mean_medi,Brightest 10 h mean,Brightest 10 h mean,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,4,m10_mean_medi,Brightest 10 h mean,Brightest 10 h mean,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,4,m10_mean_medi,Brightest 10 h mean,Brightest 10 h mean,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,4,m10_mean_medi,Brightest 10 h mean,Brightest 10 h mean,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,5,l10_mean_medi,Darkest 10 h mean,Darkest 10 h mean,1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,5,l10_mean_medi,Darkest 10 h mean,Darkest 10 h mean,2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,5,l10_mean_medi,Darkest 10 h mean,Darkest 10 h mean,3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,5,l10_mean_medi,Darkest 10 h mean,Darkest 10 h mean,4,leba_f5,Using light in the morning and during daytime,F5: Using light in the morning and during daytime,acceptable_with_specified_limitations,retained_for_inference,WARN_GAUSSIAN_DIAGNOSTIC,acceptable_with_specified_limitations
Near eye,6,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",1,leba_f2,Spending time outdoors,F2: Spending time outdoors,acceptable,retained_for_inference,,acceptable
Near eye,6,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",2,leba_f3,Using phones and smartwatches in bed before sleep,F3: Using phones and smartwatches in bed before sleep,acceptable,retained_for_inference,,acceptable
Near eye,6,duration_above_1000,"Time above 1,000 lx melEDI","Time above 1,000 lx melEDI",3,leba_f4,Controlling and using ambient light before bedtime,F4: Controlling and using ambient light before bedtime,acceptable,retained_for_inference,,acceptable
