site,modality,predecessor_commit,predecessor_sha256,predecessor_bytes,current_commit,current_sha256,current_bytes,column,analytic_disposition,excluded_from_analytic_rds,content_exported,predecessor_column_sha256,current_column_sha256,expected_value_differences,expected_missingness_differences,expected_changed_rows
TUM,exercisediary,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,9f0685798399fa41548cbf99e942447e9734fccf446003d918a030b1b7bfcc80,2667,618fda8521f3cf581661ceb2c026e3de7cd9ba82,0db56324e9826d427c42984fdfc43eb1e7487211365f222a1c0b2ecff618f1ef,2662,Id,retained_analytic_key,FALSE,FALSE,53386cd619445e80f32ca85fc4c0e53f2fad26d03f1d317a3067e448d053ca13,cf5edf157d98aeb9fbdc1a763fddb3fae32a450afc68ba6576f3291a05718f49,4,0,4|5|6|7
TUM,exercisediary,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,9f0685798399fa41548cbf99e942447e9734fccf446003d918a030b1b7bfcc80,2667,618fda8521f3cf581661ceb2c026e3de7cd9ba82,0db56324e9826d427c42984fdfc43eb1e7487211365f222a1c0b2ecff618f1ef,2662,Date,retained_analytic_or_provenance,FALSE,FALSE,1b983a6629ff40ca51735c706194855ac32780790d9aabf5a53c98f520dd2f71,1b983a6629ff40ca51735c706194855ac32780790d9aabf5a53c98f520dd2f71,0,0,
TUM,exercisediary,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,9f0685798399fa41548cbf99e942447e9734fccf446003d918a030b1b7bfcc80,2667,618fda8521f3cf581661ceb2c026e3de7cd9ba82,0db56324e9826d427c42984fdfc43eb1e7487211365f222a1c0b2ecff618f1ef,2662,instructions,retained_analytic_or_provenance,FALSE,FALSE,08d5ca249fa7a46a39f0f9c752a017bef9df587e9483a6207137ea09ebb0c3ed,08d5ca249fa7a46a39f0f9c752a017bef9df587e9483a6207137ea09ebb0c3ed,0,0,
TUM,exercisediary,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,9f0685798399fa41548cbf99e942447e9734fccf446003d918a030b1b7bfcc80,2667,618fda8521f3cf581661ceb2c026e3de7cd9ba82,0db56324e9826d427c42984fdfc43eb1e7487211365f222a1c0b2ecff618f1ef,2662,intensity,retained_analytic_or_provenance,FALSE,FALSE,8ec387f39c840b27696f2176bf49958508e14857120bc928305124ad0fbf0b41,8ec387f39c840b27696f2176bf49958508e14857120bc928305124ad0fbf0b41,0,0,
TUM,exercisediary,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,9f0685798399fa41548cbf99e942447e9734fccf446003d918a030b1b7bfcc80,2667,618fda8521f3cf581661ceb2c026e3de7cd9ba82,0db56324e9826d427c42984fdfc43eb1e7487211365f222a1c0b2ecff618f1ef,2662,location,retained_analytic_or_provenance,FALSE,FALSE,9567f7c63a3b5ecdb2370e7ca32981c8c3fbfe7653e3ce4846f45c5960748bf4,9567f7c63a3b5ecdb2370e7ca32981c8c3fbfe7653e3ce4846f45c5960748bf4,0,0,
TUM,exercisediary,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,9f0685798399fa41548cbf99e942447e9734fccf446003d918a030b1b7bfcc80,2667,618fda8521f3cf581661ceb2c026e3de7cd9ba82,0db56324e9826d427c42984fdfc43eb1e7487211365f222a1c0b2ecff618f1ef,2662,type,excluded_free_text,TRUE,FALSE,d7f9bc3542afdb063d4f1148f4840624ef2dc2be792f192bde8188948814a656,d7f9bc3542afdb063d4f1148f4840624ef2dc2be792f192bde8188948814a656,0,0,
TUM,exercisediary,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,9f0685798399fa41548cbf99e942447e9734fccf446003d918a030b1b7bfcc80,2667,618fda8521f3cf581661ceb2c026e3de7cd9ba82,0db56324e9826d427c42984fdfc43eb1e7487211365f222a1c0b2ecff618f1ef,2662,commute,retained_analytic_or_provenance,FALSE,FALSE,fc31eb999b3b8658d25f4b57a81525e48caa27703d6acc2dbcd44e56260683ef,fc31eb999b3b8658d25f4b57a81525e48caa27703d6acc2dbcd44e56260683ef,0,0,
TUM,exercisediary,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,9f0685798399fa41548cbf99e942447e9734fccf446003d918a030b1b7bfcc80,2667,618fda8521f3cf581661ceb2c026e3de7cd9ba82,0db56324e9826d427c42984fdfc43eb1e7487211365f222a1c0b2ecff618f1ef,2662,sedentary,retained_analytic_or_provenance,FALSE,FALSE,08a59a492cd148582cae481feea925c738538acbbd9e18847c92bce004e53ed5,08a59a492cd148582cae481feea925c738538acbbd9e18847c92bce004e53ed5,0,0,
TUM,exercisediary,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,9f0685798399fa41548cbf99e942447e9734fccf446003d918a030b1b7bfcc80,2667,618fda8521f3cf581661ceb2c026e3de7cd9ba82,0db56324e9826d427c42984fdfc43eb1e7487211365f222a1c0b2ecff618f1ef,2662,light_glasses,retained_analytic_or_provenance,FALSE,FALSE,531476b151aec9e2e658145faaad31fe19c68367947512df2e9006419fbfc501,531476b151aec9e2e658145faaad31fe19c68367947512df2e9006419fbfc501,0,0,
TUM,exercisediary,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,9f0685798399fa41548cbf99e942447e9734fccf446003d918a030b1b7bfcc80,2667,618fda8521f3cf581661ceb2c026e3de7cd9ba82,0db56324e9826d427c42984fdfc43eb1e7487211365f222a1c0b2ecff618f1ef,2662,startdate_3,retained_provenance_timestamp,FALSE,FALSE,6d9730ebc4cdc24c7fd062d2d81feba5f9bf18d4eff51933a805c41696658d48,6d9730ebc4cdc24c7fd062d2d81feba5f9bf18d4eff51933a805c41696658d48,0,0,
