endpoint,viewport,verdict,screenshots,observation
supp-table-s4,1440x1000,PASS,desktop_s4_top.png | desktop_s4_heading_complete.png,Four retained outcomes/four columns; complete family note and caption; contained horizontal scrolling at narrow widths.
supp-table-s4,390x844,PASS,phone_s4_top_left.png | phone_s4_middle_columns.png | phone_s4_right_edge.png | phone_s4_caption_complete.png,Four retained outcomes/four columns; complete family note and caption; contained horizontal scrolling at narrow widths.
supp-table-s4,708x1000,PASS,medium_s4_heading_left.png | medium_s4_right_edge.png,Four retained outcomes/four columns; complete family note and caption; contained horizontal scrolling at narrow widths.
supp-table-s7,1440x1000,PASS,desktop_s7_top_left.png | desktop_s7_heading_top.png | desktop_s7_bottom_notes.png,"One continuous eight-column/17-metric table; all groups and exact two-line samples; complete notes/caption; left, middle and right edge coverage where needed."
supp-table-s7,390x844,PASS,phone_s7_top_left.png | phone_s7_top_middle.png | phone_s7_top_right_samples.png | phone_s7_bottom_right.png | phone_s7_bottom_middle.png | phone_s7_bottom_left.png,"One continuous eight-column/17-metric table; all groups and exact two-line samples; complete notes/caption; left, middle and right edge coverage where needed."
supp-table-s7,708x1000,PASS,medium_s7_top_left.png | medium_s7_top_right.png | medium_s7_bottom_right_notes.png | medium_s7_bottom_left_notes.png,"One continuous eight-column/17-metric table; all groups and exact two-line samples; complete notes/caption; left, middle and right edge coverage where needed."
fig-s15,1440x1000,PASS,desktop_s15_heading_figure_caption.png,"Own heading, complete unchanged adjusted-chronotype figure and own caption; no external A/B grouping."
fig-s15,390x844,PASS,phone_s15_complete.png,"Own heading, complete unchanged adjusted-chronotype figure and own caption; no external A/B grouping."
fig-s16,1440x1000,PASS,desktop_s16_heading_figure_caption.png,"Own heading, complete observed-timing figure including its internal subpanels and own descriptive caption."
fig-s16,390x844,PASS,phone_s16_complete.png,"Own heading, complete observed-timing figure including its internal subpanels and own descriptive caption."
fig-s17,1440x1000,PASS,desktop_s17_top.png | desktop_s17_bottom_caption.png,Correctly renumbered age figure and caption; all three panels retained.
fig-s17,390x844,PASS,phone_s17_complete.png,Correctly renumbered age figure and caption; all three panels retained.
fig-s18,1440x1000,PASS,desktop_s18_top.png | desktop_s18_caption.png,Correctly renumbered biological-sex figure and complete caption; source unchanged.
fig-s18,390x844,PASS,phone_s18_complete.png,Correctly renumbered biological-sex figure and complete caption; source unchanged.
