"check","pass","detail"
"central_stop_seal",TRUE,"353/353 exact literal rows, 350 canonical files; only three identical paired path spellings; non-circular"
"owner_stop_seal",TRUE,"335/335 exact, unique, non-circular"
"harmonizer_stop_seal",TRUE,"7/7 exact, unique, non-circular"
"historical_versions",TRUE,"2309/2309 exact using only already independently verified version-specific preimages"
"runtime",TRUE,"Same installed Node, Playwright and Chrome"
"durable_copy_mapping",TRUE,"33/33 byte-exact copies; TEMP paths retained as historical provenance only"
"proposal_members",TRUE,"19/19 exact at durable destinations"
"independent_static_tests",TRUE,"Fresh installed-Node extracted-function replay 404/404; browser_runs=0"
"exact_postimage",TRUE,"42404 bytes, guard-only postimage"
"independent_reverse",TRUE,"Zero-fuzz reverse exactly reproduces 21562-byte preimage"
"independent_source_contract",TRUE,"17/17 exact records independently reconstructed in R from frozen original source"
"owner_paths_unedited",TRUE,"Helper and both CSS files unchanged by coordinator"
"immutable_served_set",TRUE,"12/12 immutable rendered outputs exact; no restaging or browser"
"new_destinations_absent",TRUE,"Attempt5 and owner recovery directory absent; no allowance consumed here"
