check_id,status,detail
candidate_copy_exact,PASS,892 of 892 files exact before repair and zero symlinks
authorized_css_postimage,PASS,SHA-256 736b7f1309d8ddacda8b70999d37e6ee26920b9927cf1ae7215ec891a94b2dfe and 4611 bytes
candidate_delta_exact,PASS,891 unchanged files and only styles-nathealth.css changed
h06_route_http,PASS,HTTP 200 at 708 by 1000 pixels
h06_mobile_disclosure_open,PASS,details open after activating On this page
h06_cloned_link_count,PASS,10 links cloned
h06_all_links_visible,FAIL,0 of 10 links visible
h06_all_links_keyboard_focusable,FAIL,0 of 10 links effectively focusable because their containing list is display none
h06_first_fragment_follow,NOT_REACHED,visibility prerequisite failed
page_overflow_and_overlap,NOT_REACHED,combined stop invoked at first genuine defect
page_console_warning_error,NOT_REACHED,combined stop invoked at first genuine defect
production_promotion,NOT_RUN,zero promotion executions
production_stability,PASS,892 of 892 live files exact and both production stylesheets remain at the 4548-byte preimage
