route,external_stylesheet_reference_count,embedded_mobile_toc_css,embedded_override_selector_count
notebooks/preregistration_deviations.html,1,false,0
notebooks/hypotheses/H02.html,1,false,0
notebooks/hypotheses/H03.html,1,false,0
notebooks/hypotheses/H04.html,1,false,0
notebooks/hypotheses/H05.html,1,false,0
notebooks/hypotheses/H06.html,0,true,0
notebooks/hypotheses/H06_daily.html,1,false,0
notebooks/hypotheses/H07.html,1,false,0
notebooks/hypotheses/H10.html,1,false,0
notebooks/hypotheses/H11.html,1,false,0
