"page","case","header_index","header_text","width"
"table_2.html","table2_desktop",1,"Valid minutes meeting
recommendation, n/N (%)",230
"table_2.html","table2_desktop",2,"Work-day adherence
% (95% CI)",180
"table_2.html","table2_desktop",3,"Free-day adherence
% (95% CI)",180
"table_2.html","table2_desktop",4,"Free minus Work
percentage points (95% CI)",200
"table_2.html","table2_desktop",5,"FDR-adjusted
p",100.0234375
"table_2.html","table2_narrow_left",1,"Valid minutes meeting
recommendation, n/N (%)",230
"table_2.html","table2_narrow_left",2,"Work-day adherence
% (95% CI)",180
"table_2.html","table2_narrow_left",3,"Free-day adherence
% (95% CI)",180
"table_2.html","table2_narrow_left",4,"Free minus Work
percentage points (95% CI)",200
"table_2.html","table2_narrow_left",5,"FDR-adjusted
p",100.0234375
"table_2.html","table2_narrow_right",1,"Valid minutes meeting
recommendation, n/N (%)",230
"table_2.html","table2_narrow_right",2,"Work-day adherence
% (95% CI)",180
"table_2.html","table2_narrow_right",3,"Free-day adherence
% (95% CI)",180
"table_2.html","table2_narrow_right",4,"Free minus Work
percentage points (95% CI)",200
"table_2.html","table2_narrow_right",5,"FDR-adjusted
p",100.0234375
"table_s2_part_01.html","s2_01_desktop_left",1,"Metric1",210
"table_s2_part_01.html","s2_01_desktop_left",2,"Unit",86
"table_s2_part_01.html","s2_01_desktop_left",3,"Overall",138
"table_s2_part_01.html","s2_01_desktop_left",4,"Borås
(SE)",146
"table_s2_part_01.html","s2_01_desktop_left",5,"Delft
(NL)",146
"table_s2_part_01.html","s2_01_desktop_left",6,"Dortmund
(DE)",154
"table_s2_part_01.html","s2_01_desktop_left",7,"Tübingen
(DE)",138
"table_s2_part_01.html","s2_01_desktop_left",8,"Munich
(DE)",146
"table_s2_part_01.html","s2_01_desktop_left",9,"Madrid
(ES)",138
"table_s2_part_01.html","s2_01_desktop_left",10,"Izmir
(TR)",146
"table_s2_part_01.html","s2_01_desktop_left",11,"San José
(CR)",138
"table_s2_part_01.html","s2_01_desktop_left",12,"Kumasi
(GH)",130
"table_s2_part_01.html","s2_01_desktop_left",13,"Scaling2",120
"table_s2_part_01.html","s2_01_desktop_left",14,"Distribution3",252.0078125
"table_s2_part_01.html","s2_01_desktop_right",1,"Metric1",210
"table_s2_part_01.html","s2_01_desktop_right",2,"Unit",86
"table_s2_part_01.html","s2_01_desktop_right",3,"Overall",138
"table_s2_part_01.html","s2_01_desktop_right",4,"Borås
(SE)",146
"table_s2_part_01.html","s2_01_desktop_right",5,"Delft
(NL)",146
"table_s2_part_01.html","s2_01_desktop_right",6,"Dortmund
(DE)",154
"table_s2_part_01.html","s2_01_desktop_right",7,"Tübingen
(DE)",138
"table_s2_part_01.html","s2_01_desktop_right",8,"Munich
(DE)",146
"table_s2_part_01.html","s2_01_desktop_right",9,"Madrid
(ES)",138
"table_s2_part_01.html","s2_01_desktop_right",10,"Izmir
(TR)",146
"table_s2_part_01.html","s2_01_desktop_right",11,"San José
(CR)",138
"table_s2_part_01.html","s2_01_desktop_right",12,"Kumasi
(GH)",130
"table_s2_part_01.html","s2_01_desktop_right",13,"Scaling2",120
"table_s2_part_01.html","s2_01_desktop_right",14,"Distribution3",252.0078125
"table_s2_part_01.html","s2_01_narrow_left",1,"Metric1",210
"table_s2_part_01.html","s2_01_narrow_left",2,"Unit",86
"table_s2_part_01.html","s2_01_narrow_left",3,"Overall",138
"table_s2_part_01.html","s2_01_narrow_left",4,"Borås
(SE)",146
"table_s2_part_01.html","s2_01_narrow_left",5,"Delft
(NL)",146
"table_s2_part_01.html","s2_01_narrow_left",6,"Dortmund
(DE)",154
"table_s2_part_01.html","s2_01_narrow_left",7,"Tübingen
(DE)",138
"table_s2_part_01.html","s2_01_narrow_left",8,"Munich
(DE)",146
"table_s2_part_01.html","s2_01_narrow_left",9,"Madrid
(ES)",138
"table_s2_part_01.html","s2_01_narrow_left",10,"Izmir
(TR)",146
"table_s2_part_01.html","s2_01_narrow_left",11,"San José
(CR)",138
"table_s2_part_01.html","s2_01_narrow_left",12,"Kumasi
(GH)",130
"table_s2_part_01.html","s2_01_narrow_left",13,"Scaling2",120
"table_s2_part_01.html","s2_01_narrow_left",14,"Distribution3",252.0078125
"table_s2_part_01.html","s2_01_narrow_right",1,"Metric1",210
"table_s2_part_01.html","s2_01_narrow_right",2,"Unit",86
"table_s2_part_01.html","s2_01_narrow_right",3,"Overall",138
"table_s2_part_01.html","s2_01_narrow_right",4,"Borås
(SE)",146
"table_s2_part_01.html","s2_01_narrow_right",5,"Delft
(NL)",146
"table_s2_part_01.html","s2_01_narrow_right",6,"Dortmund
(DE)",154
"table_s2_part_01.html","s2_01_narrow_right",7,"Tübingen
(DE)",138
"table_s2_part_01.html","s2_01_narrow_right",8,"Munich
(DE)",146
"table_s2_part_01.html","s2_01_narrow_right",9,"Madrid
(ES)",138
"table_s2_part_01.html","s2_01_narrow_right",10,"Izmir
(TR)",146
"table_s2_part_01.html","s2_01_narrow_right",11,"San José
(CR)",138
"table_s2_part_01.html","s2_01_narrow_right",12,"Kumasi
(GH)",130
"table_s2_part_01.html","s2_01_narrow_right",13,"Scaling2",120
"table_s2_part_01.html","s2_01_narrow_right",14,"Distribution3",252.0078125
"table_s2_part_02.html","s2_02_desktop_left",1,"Metric1",210
"table_s2_part_02.html","s2_02_desktop_left",2,"Unit",86
"table_s2_part_02.html","s2_02_desktop_left",3,"Overall",138
"table_s2_part_02.html","s2_02_desktop_left",4,"Borås
(SE)",146
"table_s2_part_02.html","s2_02_desktop_left",5,"Delft
(NL)",146
"table_s2_part_02.html","s2_02_desktop_left",6,"Dortmund
(DE)",154
"table_s2_part_02.html","s2_02_desktop_left",7,"Tübingen
(DE)",138
"table_s2_part_02.html","s2_02_desktop_left",8,"Munich
(DE)",146
