surface,status,evidence
desktop 1440 x 1000,PASS,"No page-wide horizontal overflow; top, all tables, figures, and diagram inspected"
narrow 708 x 1000,PASS,No page-wide horizontal overflow; full figures and diagram inspected
200-percent-equivalent 720 x 500,PASS,No page-wide horizontal overflow; every table and all visual endpoints inspected while vertically scrolling
30 native gt tables,PASS,30/30 structurally measured and visually inspected; captions and semantic headers present
three companion figures,PASS,"3/3 complete, unclipped horizontally, captioned, and supplied with alt text"
top-down analysis-path diagram,PASS,Rendered as one flowchart; labels and arrows remain readable at all three viewports
contained narrow scrolling,PASS,Four 708-pixel table scrollers reached both edges and reset; page itself never scrolled horizontally
"headings, callout, captions, and navigation",PASS,"One H1, 28 headings, one scope callout, active companion navigation, and nonempty captions"
dynamic and DEV links,PASS,All static targets and fragments resolve; result and four DEV links resolve; daily target remains held
country-coded site labels,PASS,All nine submitted site/country labels visually confirmed in the site-support figure
browser console,PASS,No warning or error entries
