path,pre_sha256,pre_bytes,post_sha256,post_bytes,status
.quarto/_freeze/audit/hypotheses/H06/H06_analysis_preparation/execute-results/html.json,8e395cc805f552b9589501b748ef1c0164434ea8dc6d41c538db82c3166f4049,469721,8e395cc805f552b9589501b748ef1c0164434ea8dc6d41c538db82c3166f4049,469721,EXACT
.quarto/_freeze/audit/hypotheses/H06/H06_analysis_preparation/figure-html/fig-h06-prep-clock-support-1.png,d138e26e6075273c91265ecd058926bfba97ad31c99d12febfc5896d4528922e,215489,d138e26e6075273c91265ecd058926bfba97ad31c99d12febfc5896d4528922e,215489,EXACT
.quarto/_freeze/audit/hypotheses/H06/H06_analysis_preparation/figure-html/fig-h06-prep-response-distribution-1.png,ab51417026d3b3edd9c0af7a455961b9e018cd0d4396bc6ba2f615ac98e7f7a1,105561,ab51417026d3b3edd9c0af7a455961b9e018cd0d4396bc6ba2f615ac98e7f7a1,105561,EXACT
.quarto/_freeze/audit/hypotheses/H06/H06_analysis_preparation/figure-html/fig-h06-prep-site-day-activity-support-1.png,e184e5b7b172c83ac7a780141216c0f1dff28a39aa3587ae48254c8dc4b7d0dc,256511,e184e5b7b172c83ac7a780141216c0f1dff28a39aa3587ae48254c8dc4b7d0dc,256511,EXACT
.quarto/xref/5b793063,4581d250a68bea9c4f9e3eb9d79eb2a785fad6141448c6ddd367ac35fb43ad0a,6793,4581d250a68bea9c4f9e3eb9d79eb2a785fad6141448c6ddd367ac35fb43ad0a,6793,EXACT
/private/tmp/h06_order47d_semantic.7o8aQn/001__build__nathealth__audit__hypotheses__H06__H06_analysis_preparation.html_gt_semantic_ledger.csv,c2bc57a6606c0dfb118b8405cb153e044a8c96e4008609e0c8b40b12892b6100,216865,c2bc57a6606c0dfb118b8405cb153e044a8c96e4008609e0c8b40b12892b6100,216865,EXACT
/private/tmp/h06_order47d_semantic.7o8aQn/gt_html_semantic_post_render_summary.csv,d520b2660419f896eb3733846e9347e0d254849bc31c2b9bdc5d9bd4032d8ecd,498,d520b2660419f896eb3733846e9347e0d254849bc31c2b9bdc5d9bd4032d8ecd,498,EXACT
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,851041,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,851041,EXACT
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.qmd,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,EXACT
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation_files/figure-html/fig-h06-prep-clock-support-1.png,d138e26e6075273c91265ecd058926bfba97ad31c99d12febfc5896d4528922e,215489,d138e26e6075273c91265ecd058926bfba97ad31c99d12febfc5896d4528922e,215489,EXACT
