path,sha256,bytes,role,live_exists,live_sha256,live_bytes,exact
audit/report_harmonization/report018_h06_order47d_response_png_delta_classification.md,df2ec2b57d36a64c2c11cbc766a25d0841aa913559baec950c9fa046724090ec,4088,central PNG classification,TRUE,df2ec2b57d36a64c2c11cbc766a25d0841aa913559baec950c9fa046724090ec,4088,TRUE
scripts/report_harmonization/check_h06_order47d_response_png_delta.R,bae2fe34025a8ec623fceba6d3cdab0bb821db9bfeddc2cdc2bb88a788ae80d6,7162,independent exact-chunk reproduction checker,TRUE,bae2fe34025a8ec623fceba6d3cdab0bb821db9bfeddc2cdc2bb88a788ae80d6,7162,TRUE
audit/report_harmonization/report018_h06_order47d_test_stop_no_rerender_concurrence.md,b4eef3626e5a6a83209fd4c04e278bc1f390a54a2a6ccd01021eb9ab12882dd1,4208,no-rerender concurrence,TRUE,b4eef3626e5a6a83209fd4c04e278bc1f390a54a2a6ccd01021eb9ab12882dd1,4208,TRUE
audit/report_harmonization/report018_h06_order47d_test_stop_no_rerender_concurrence_manifest.csv,2bf82dd065ecb7af79aa1717836478b3caf701359a00d0ed25d3dedc3f9369ce,3288,no-rerender concurrence manifest,TRUE,2bf82dd065ecb7af79aa1717836478b3caf701359a00d0ed25d3dedc3f9369ce,3288,TRUE
audit/hypotheses/H06/report018_order47d_companion_render/completion_record.md,9dfdec4a9b395d0e82c4f06da6dc2dc16e8fc5c237113b3f00ea0bdde7b4eec5,10007,owner stopped record,TRUE,9dfdec4a9b395d0e82c4f06da6dc2dc16e8fc5c237113b3f00ea0bdde7b4eec5,10007,TRUE
audit/hypotheses/H06/report018_order47d_companion_render/owner_manifest.csv,a56efab06af1378b7c5ca6d88186b30453818ce4ea8b3b64771c3e5d18d31f4d,9564,owner stopped-state manifest,TRUE,a56efab06af1378b7c5ca6d88186b30453818ce4ea8b3b64771c3e5d18d31f4d,9564,TRUE
audit/hypotheses/H06/report018_order47d_companion_render/figure_png_identity.csv,94f3fbcd2fb50e5e2b3a9336a6ca44e912c840fb32a6e5a01c96ab1e849e59a9,1100,sealed figure transition table,TRUE,94f3fbcd2fb50e5e2b3a9336a6ca44e912c840fb32a6e5a01c96ab1e849e59a9,1100,TRUE
audit/hypotheses/H06/H06_analysis_preparation.qmd,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,accepted companion source,TRUE,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,TRUE
artifacts/11_source_data/H06/H06_preparation_response_distribution.csv,d8ef3376d9bf72cbdd3a1d6519c4f567e23911c803dd738b528376413005afd4,827,frozen two-row source CSV,TRUE,d8ef3376d9bf72cbdd3a1d6519c4f567e23911c803dd738b528376413005afd4,827,TRUE
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation_files/figure-html/fig-h06-prep-response-distribution-1.png,ab51417026d3b3edd9c0af7a455961b9e018cd0d4396bc6ba2f615ac98e7f7a1,105561,current build PNG,TRUE,ab51417026d3b3edd9c0af7a455961b9e018cd0d4396bc6ba2f615ac98e7f7a1,105561,TRUE
.quarto/_freeze/audit/hypotheses/H06/H06_analysis_preparation/figure-html/fig-h06-prep-response-distribution-1.png,ab51417026d3b3edd9c0af7a455961b9e018cd0d4396bc6ba2f615ac98e7f7a1,105561,current Quarto freeze PNG,TRUE,ab51417026d3b3edd9c0af7a455961b9e018cd0d4396bc6ba2f615ac98e7f7a1,105561,TRUE
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation_files/figure-html/fig-h06-prep-site-day-activity-support-1.png,e184e5b7b172c83ac7a780141216c0f1dff28a39aa3587ae48254c8dc4b7d0dc,256511,unchanged neighboring PNG,TRUE,e184e5b7b172c83ac7a780141216c0f1dff28a39aa3587ae48254c8dc4b7d0dc,256511,TRUE
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation_files/figure-html/fig-h06-prep-clock-support-1.png,d138e26e6075273c91265ecd058926bfba97ad31c99d12febfc5896d4528922e,215489,unchanged neighboring PNG,TRUE,d138e26e6075273c91265ecd058926bfba97ad31c99d12febfc5896d4528922e,215489,TRUE
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,851041,fresh companion HTML,TRUE,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,851041,TRUE
artifacts/12_manifests/H06/H06_preparation_report_manifest.csv,a3bd413daf9e154d78f32e49caea0697303c8d86ce387892ab081b06ae8b6bbc,103739,live preparation manifest,TRUE,a3bd413daf9e154d78f32e49caea0697303c8d86ce387892ab081b06ae8b6bbc,103739,TRUE
tests/hypotheses/H06/test_h06_preparation_report.R,2b9f02f7caa448a3c7fdb88b0febc5ce306239002ebe220b6f5f7a7c4285a4fc,12918,unchanged stale test,TRUE,2b9f02f7caa448a3c7fdb88b0febc5ce306239002ebe220b6f5f7a7c4285a4fc,12918,TRUE
scripts/hypotheses/H06/build_h06_preparation_report_manifest.R,bc53e754478a3fa17de0aaf498aea8720d58b958949050f7447d25c5ec23e2fb,9615,unchanged integration helper,TRUE,bc53e754478a3fa17de0aaf498aea8720d58b958949050f7447d25c5ec23e2fb,9615,TRUE
notebooks/hypotheses/H06.qmd,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,60791,accepted result source,TRUE,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,60791,TRUE
