href,class,target,target_exists,fragment,fragment_count,forbidden
../../../notebooks/hypotheses/H01.html,internal,_build/nathealth/notebooks/hypotheses/H01.html,TRUE,"",,FALSE
../../../audit/hypotheses/H06/H06_analysis_preparation.html,internal,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,TRUE,"",,FALSE
../../../,internal,_build/nathealth,TRUE,"",,FALSE
../../../index.html,internal,_build/nathealth/index.html,TRUE,"",,FALSE
../../../supplementary_information.html,internal,_build/nathealth/supplementary_information.html,TRUE,"",,FALSE
../../../notebooks/preparation/01_import_state_alignment.html,internal,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,TRUE,"",,FALSE
../../../notebooks/preparation/02_coverage_sample_flow.html,internal,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,TRUE,"",,FALSE
../../../notebooks/preparation/03_reference_profiles.html,internal,_build/nathealth/notebooks/preparation/03_reference_profiles.html,TRUE,"",,FALSE
../../../notebooks/preparation/04_metric_derivation.html,internal,_build/nathealth/notebooks/preparation/04_metric_derivation.html,TRUE,"",,FALSE
../../../notebooks/preparation/05_model_input_acquisition.html,internal,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,TRUE,"",,FALSE
../../../notebooks/preparation/06_model_ready_datasets.html,internal,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,TRUE,"",,FALSE
../../../notebooks/preparation/07_example_days.html,internal,_build/nathealth/notebooks/preparation/07_example_days.html,TRUE,"",,FALSE
../../../notebooks/placement_decision.html,internal,_build/nathealth/notebooks/placement_decision.html,TRUE,"",,FALSE
../../../notebooks/descriptives.html,internal,_build/nathealth/notebooks/descriptives.html,TRUE,"",,FALSE
../../../notebooks/preregistration_deviations.html,internal,_build/nathealth/notebooks/preregistration_deviations.html,TRUE,"",,FALSE
../../../audit/hypotheses/H01/H01_analysis_preparation.html,internal,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,TRUE,"",,FALSE
../../../notebooks/hypotheses/H02.html,internal,_build/nathealth/notebooks/hypotheses/H02.html,TRUE,"",,FALSE
../../../audit/hypotheses/H02/H02_analysis_preparation.html,internal,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,TRUE,"",,FALSE
../../../notebooks/hypotheses/H03.html,internal,_build/nathealth/notebooks/hypotheses/H03.html,TRUE,"",,FALSE
../../../audit/hypotheses/H03/H03_analysis_preparation.html,internal,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html,TRUE,"",,FALSE
../../../notebooks/hypotheses/H04.html,internal,_build/nathealth/notebooks/hypotheses/H04.html,TRUE,"",,FALSE
../../../audit/hypotheses/H04/H04_analysis_preparation.html,internal,_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html,TRUE,"",,FALSE
../../../notebooks/hypotheses/H05.html,internal,_build/nathealth/notebooks/hypotheses/H05.html,TRUE,"",,FALSE
../../../audit/hypotheses/H05/H05_analysis_preparation.html,internal,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html,TRUE,"",,FALSE
