role,path,expected_sha256,live_exists,live_sha256,live_bytes,exact
hourly result source,notebooks/hypotheses/H06.qmd,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,TRUE,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,60791,TRUE
hourly result HTML,_build/nathealth/notebooks/hypotheses/H06.html,8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa,TRUE,8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa,4874263,TRUE
companion authoring source,audit/hypotheses/H06/H06_analysis_preparation.qmd,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,TRUE,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,TRUE
companion website source,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.qmd,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,TRUE,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,59613,TRUE
companion HTML,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,TRUE,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,851041,TRUE
hourly contract,scripts/hypotheses/H06/h06_contract.R,b11447a49a52a6a1a66618f9f471c0cda5284cbb8a251f7dffb2512d9ede231f,TRUE,b11447a49a52a6a1a66618f9f471c0cda5284cbb8a251f7dffb2512d9ede231f,13468,TRUE
Nature Health profile,_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,TRUE,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,TRUE
411-row preparation manifest,artifacts/12_manifests/H06/H06_preparation_report_manifest.csv,a3bd413daf9e154d78f32e49caea0697303c8d86ce387892ab081b06ae8b6bbc,TRUE,a3bd413daf9e154d78f32e49caea0697303c8d86ce387892ab081b06ae8b6bbc,103739,TRUE
985-row reversible semantic ledger,audit/hypotheses/H06/report018_order47d_companion_render/001__build__nathealth__audit__hypotheses__H06__H06_analysis_preparation.html_gt_semantic_ledger.csv,c2bc57a6606c0dfb118b8405cb153e044a8c96e4008609e0c8b40b12892b6100,TRUE,c2bc57a6606c0dfb118b8405cb153e044a8c96e4008609e0c8b40b12892b6100,216865,TRUE
semantic repair summary,audit/hypotheses/H06/report018_order47d_companion_render/gt_html_semantic_post_render_summary.csv,d520b2660419f896eb3733846e9347e0d254849bc31c2b9bdc5d9bd4032d8ecd,TRUE,d520b2660419f896eb3733846e9347e0d254849bc31c2b9bdc5d9bd4032d8ecd,498,TRUE
unchanged preparation test,tests/hypotheses/H06/test_h06_preparation_report.R,2b9f02f7caa448a3c7fdb88b0febc5ce306239002ebe220b6f5f7a7c4285a4fc,TRUE,2b9f02f7caa448a3c7fdb88b0febc5ce306239002ebe220b6f5f7a7c4285a4fc,12918,TRUE
held daily result source,notebooks/hypotheses/H06_daily.qmd,01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08,TRUE,01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08,65344,TRUE
held daily companion source,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709,TRUE,ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709,35409,TRUE
held daily result HTML,_build/nathealth/notebooks/hypotheses/H06_daily.html,5a20c0680011be17111f72bb6b15aed6a4f4700c8866a13ea6dcf49a589fcce3,TRUE,5a20c0680011be17111f72bb6b15aed6a4f4700c8866a13ea6dcf49a589fcce3,3617976,TRUE
held daily companion HTML,_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,TRUE,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,4613650,TRUE
