order,endpoint,caption,rows,columns,headers_tokens,unresolved_headers,ambiguous_headers,has_overflow_container
1,tbl-h06-prep-render-boundary,Table 1: What this page reads and what it deliberately does not execute,6,3,18,0,0,TRUE
2,tbl-h06-prep-shared-provenance,Table 2: Current shared provenance identities and exact hourly-frame check,3,4,12,0,0,TRUE
3,tbl-h06-prep-input-provenance,Table 3: Verified scientific and reporting inputs,10,3,30,0,0,TRUE
4,tbl-h06-prep-diary-pin,Table 4: Pinned TUM exercise-diary source and normalized identity assertion,1,7,7,0,0,TRUE
5,tbl-h06-prep-candidate-flow,Table 5: Candidate one-hour flow into complete three-predictor frames,24,3,120,0,0,TRUE
6,tbl-h06-prep-missingness,Table 6: Predictor availability among hours with an admissible outcome,6,6,48,0,0,TRUE
7,tbl-h06-prep-previous-night,Table 7: Previous-night temporal linkage audit,3,4,12,0,0,TRUE
8,tbl-h06-prep-exact-samples,Table 8: Exact fitted samples for the six core H06 analyses,6,7,42,0,0,TRUE
9,tbl-h06-prep-frame-integrity,"Table 9: Analysis-frame key, completeness, and provenance checks",6,7,42,0,0,TRUE
10,tbl-h06-prep-response-distribution,Table 10: Observed one-hour melEDI distribution in the primary frames,2,8,16,0,0,TRUE
11,tbl-h06-prep-site-cell-summary,Table 11: Range of site-specific support for each day-type and activity combination,10,7,112,0,0,TRUE
12,tbl-h06-prep-category-cell-minima,Table 12: Smallest observed site-by-category cells in the primary near-eye frame,0,5,0,0,0,TRUE
13,tbl-h06-prep-participant-day-support,Table 13: Participant-day support in the primary frames,2,7,14,0,0,TRUE
14,tbl-h06-prep-true-time-sequences,Table 14: True-time sequence construction in the six fitted frames,6,7,42,0,0,TRUE
15,tbl-h06-prep-primary-formulas,Table 15: Exact Wilkinson formulas used for the common-effect and predictor-by-site interaction models,2,3,6,0,0,TRUE
16,tbl-h06-prep-model-settings,"Table 16: Primary model, covariance, and contrast settings",6,3,18,0,0,TRUE
17,tbl-h06-prep-multiplicity,Table 17: Declared false-discovery-rate adjustment families,5,3,15,0,0,TRUE
18,tbl-h06-prep-fit-diagnostics,Table 18: Stored numerical and distributional model checks for the primary working models,9,10,120,0,0,TRUE
19,tbl-h06-prep-residual-correlation,Table 19: Stored within-sequence residual correlation at the first two hourly lags,18,3,72,0,0,TRUE
20,tbl-h06-prep-influence,Table 20: Stored targeted deletion checks for the primary near-eye model,8,5,60,0,0,TRUE
21,tbl-h06-prep-sensitivity-map,Table 21: Stored sensitivity analyses and the question each addresses,9,3,27,0,0,TRUE
22,tbl-h06-prep-sensitivity-stability,Table 22: Classification of stored primary sensitivity contrasts,11,3,33,0,0,TRUE
23,tbl-h06-prep-temporal-formulas,Table 23: Exact formulas for the exploratory two-part clock-time model,2,8,16,0,0,TRUE
24,tbl-h06-prep-temporal-diagnostics,Table 24: Stored model checks for the selected exploratory clock-time components,2,9,18,0,0,TRUE
25,tbl-h06-prep-temporal-basis,Table 25: Stored basis-dimension model checks for the selected exploratory clock-time model,14,5,120,0,0,TRUE
26,tbl-h06-prep-exploratory-samples,Table 26: Exact samples for additional exploratory diary predictors,5,6,30,0,0,TRUE
27,tbl-h06-prep-code-map,Table 27: H06 code map,9,2,18,0,0,TRUE
28,tbl-h06-prep-output-inventory,Table 28: Selected stored outputs and their current identities,10,3,30,0,0,TRUE
29,tbl-h06-prep-environment,Table 29: Recorded software versions for the hourly H06 analysis,14,2,28,0,0,TRUE
30,tbl-h06-prep-source-data,Table 30: Preparation source-data files created from the hourly H06 frames,8,2,16,0,0,TRUE
