check,status,detail
hard_pins,PASS,7/7 exact including coordination-only matrix classification
authority_manifests,PASS,20/20 + 20/20 + 64/64 + 411/411 live-exact and non-circular
dynamic_link_classification,PASS,"3 QMD targets, 0 source HTML targets, 1 deferred stale test literal"
html_semantics,PASS,"30 tables, 3 figures, 1 TD Mermaid, unique IDs, 1142 resolved headers"
links_navigation_sites,PASS,2505 internal links; all targets/fragments resolve; active nav; 9/9 sites
embedded_problem_markers,PASS,"No error, stderr, unresolved cross-reference, or raw local/build path"
current_png_classification,PASS,Accepted response PNG delta plus two unchanged neighboring PNGs exact
historical_qa_preservation,PASS,Historical readability CSV and A4 proof unchanged
build_inventory,PASS,821 files and 0 symlinks
protected_inventory,PASS,469 protected paths exact
