placement,lag,correlation,eligible_pairs,boundary_definition,source_model
Near-eye,1,0.47835876508642894,16757,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
Near-eye,2,0.253589668541155,15619,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
Near-eye,3,0.12964922313469052,14523,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
Near-eye,4,0.06873887682158684,13473,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
Near-eye,5,0.03844248665664647,12457,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
Near-eye,6,0.023710768985795737,11481,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
Chest,1,0.6147497354131352,18243,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
Chest,2,0.2791873386794746,17023,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
Chest,3,0.05237180769933044,15836,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
Chest,4,0.021572578783812347,14695,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
Chest,5,0.006942955579543038,13596,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
Chest,6,-0.006133772796163553,12537,pairs remain within the same participant-day contiguous hourly sequence,geo_medi_1h ~ site + light_source
