run_id,placement,scenario_id,working_power,formula,observations,participants,participant_days,sites,iterations,converged,design_columns,design_rank,full_rank,aliased_coefficients,finite_coefficients,covariance_finite,covariance_positive_definite,covariance_minimum_eigenvalue,covariance_condition_number,dispersion,exact_zero_hours,exact_zero_fraction,fitted_minimum,fitted_median,fitted_maximum,pearson_mean,pearson_sd,pearson_q01,pearson_q99,deviance_mean,residual_fitted_spearman,absolute_residual_fitted_spearman,residual_lag1_correlation,residual_lag1_pairs,maximum_cluster_score_share,maximum_cluster_leverage_share,fit_warnings,covariance_warnings
main__near_eye,Near-eye,primary_dataset,1.539919,geo_medi_1h ~ site + light_source,17935,140,801,9,8,TRUE,15,15,TRUE,0,TRUE,TRUE,TRUE,0.0017451864325063629,161.96783856686596,109.69436558928138,4977,0.2775020908837469,1.3204256557281537,78.20516345023391,1774.1535071365502,-0.0032228865465203796,10.469400629559264,-5.142002036489428,30.983508479019356,-2.061704101497759,-0.3591651023199829,0.5536448708515705,0.47835876508642894,16757,0.3341299016682974,0.015984098194116295,,
main__chest,Chest,primary_dataset,1.539919,geo_medi_1h ~ site + light_source,19512,151,880,8,11,TRUE,14,14,TRUE,0,TRUE,TRUE,TRUE,0.001257749568919007,191.3464557559121,347.705854221572,5409,0.2772140221402214,2.406158549671368,75.08704201230749,2301.7949550818516,0.012822556898290486,18.6406170341688,-5.222646618260517,31.7363254487363,-2.249073198991769,-0.3747615594370154,0.5645550899757694,0.6147497354131352,18243,0.39290765570439756,0.016030933799063802,,
paired__near_eye,Near-eye,paired_common_sample,1.539919,geo_medi_1h ~ site + light_source,14103,111,631,8,9,TRUE,14,14,TRUE,0,TRUE,TRUE,TRUE,0.001955865057732617,100.62445826024742,120.07036907022062,4006,0.2840530383606325,1.4109040319582826,93.63045190317985,1789.0287869987108,-9.650763340937804e-4,10.95260747865436,-5.241352368755792,30.78655693602517,-2.107453299462244,-0.3618683670769471,0.5487157917174096,0.47465244522128763,13181,0.4042632033143404,0.018311697754367747,,
paired__chest,Chest,paired_common_sample,1.539919,geo_medi_1h ~ site + light_source,14103,111,631,8,11,TRUE,14,14,TRUE,0,TRUE,TRUE,TRUE,0.0021578355652024516,128.6900873203649,363.3093247065232,4088,0.28986740409841877,2.9635156149890856,73.36375559952772,2655.754389011306,0.020099940802915602,19.05185243465419,-5.360966853211784,31.98999792644776,-2.351068096568753,-0.38816044155120233,0.5696495426086841,0.6097590333002826,13181,0.3975376853697028,0.01815993435123117,,
gap__near_eye,Near-eye,gap_timing_unaware_dataset,1.539919,geo_medi_1h ~ site + light_source,17616,140,785,9,9,TRUE,15,15,TRUE,0,TRUE,TRUE,TRUE,0.001822940829267973,154.26107216122548,112.88631006991348,4888,0.2774750227066303,1.307148355218623,79.79446665028605,1769.0102224543377,-0.0028616855984702444,10.620570880913613,-5.118396780693506,30.58530292974074,-2.0671239307920146,-0.360252852765023,0.5538509808411911,0.4787706929813102,3511,0.3013902933747506,0.01661571654046902,,
gap__chest,Chest,gap_timing_unaware_dataset,1.539919,geo_medi_1h ~ site + light_source,19220,151,865,8,12,TRUE,14,14,TRUE,0,TRUE,TRUE,TRUE,0.0012709148151959823,196.12819477019144,354.54285592935,5332,0.27741935483870966,2.410108921659018,75.40461495362878,2318.963453676312,0.013512032304224675,18.82292636112578,-5.198765919556408,31.65443863712256,-2.2584647611896713,-0.3777289456052125,0.5664538155560244,0.3332707429624569,5026,0.391928282704447,0.016080543822487144,,
boundary_excluded__near_eye,Near-eye,boundary_hours_excluded,1.539919,geo_medi_1h ~ site + light_source,15539,140,801,9,9,TRUE,15,15,TRUE,0,TRUE,TRUE,TRUE,0.0017425785448829828,164.72881304753463,115.64326243248368,4683,0.30137074457815816,1.2760151122274088,94.60263426060759,1951.7640609912448,-0.003629977366368893,10.748898248659462,-5.184898915199137,30.454002286393994,-2.04181577995448,-0.3462650685546505,0.554598684637563,0.5271240951865312,12971,0.35565549093497506,0.01650471936307669,,
boundary_excluded__chest,Chest,boundary_hours_excluded,1.539919,geo_medi_1h ~ site + light_source,16942,151,880,8,12,TRUE,14,14,TRUE,0,TRUE,TRUE,TRUE,0.0013031026195673835,209.758584944255,364.2374042661227,5045,0.29778066343997167,2.3759314498609916,84.74264052106959,2500.1918443401146,0.013655767967455773,19.077638217959777,-5.170287020429411,30.87827989265641,-2.214493721913485,-0.3529110922782005,0.5583703492736675,0.63238013606776,14162,0.4394855581710989,0.01622557427626385,,
supported_cells__near_eye,Near-eye,unsupported_cells_excluded,1.539919,geo_medi_1h ~ site + light_source,17818,140,801,9,8,TRUE,15,15,TRUE,0,TRUE,TRUE,TRUE,0.0017642344877269026,175.15409775395872,109.02737044848722,4935,0.2769671119093052,1.3123493265671462,87.51797290158532,1778.3891906498413,-0.003484969996455088,10.437496182197357,-5.150773489228233,31.118749453966476,-2.0570912474740775,-0.3591971251377251,0.5534554278446695,0.4769087276038286,16609,0.3352698079308857,0.015560480044986082,,
supported_cells__chest,Chest,unsupported_cells_excluded,1.539919,geo_medi_1h ~ site + light_source,19416,151,880,8,11,TRUE,14,14,TRUE,0,TRUE,TRUE,TRUE,0.0012420276137415803,191.54388229523005,344.17807939017376,5375,0.2768335393489905,2.403268296125948,75.00905345900709,2305.521749541132,0.012527314584812136,18.54578368458201,-5.210959138344369,31.32259917093559,-2.241699626139446,-0.3753946446794268,0.5648149710551096,0.6143789411677391,18118,0.3923529845296543,0.015667068321549415,,
