run_id,placement,lag,correlation,pairs
reader_temporal_raw_mean__near_eye,Near-eye,1,0.14581631770939343,16757
reader_temporal_raw_mean__near_eye,Near-eye,2,0.00726220615570745,15619
reader_temporal_raw_mean__near_eye,Near-eye,3,-0.03239977065726146,14523
reader_temporal_raw_mean__near_eye,Near-eye,4,-0.050939871997841404,13473
reader_temporal_raw_mean__near_eye,Near-eye,5,-0.06548115946438184,12457
reader_temporal_raw_mean__near_eye,Near-eye,6,-0.05490236026074199,11481
reader_temporal_raw_mean__chest,Chest,1,0.1438087100714548,18243
reader_temporal_raw_mean__chest,Chest,2,0.007012465921975985,17023
reader_temporal_raw_mean__chest,Chest,3,-0.030998275455153327,15836
reader_temporal_raw_mean__chest,Chest,4,-0.05239615824251537,14695
reader_temporal_raw_mean__chest,Chest,5,-0.061111696625379436,13596
reader_temporal_raw_mean__chest,Chest,6,-0.062257607121451376,12537
