check_id,status,expected,observed,detail
result_r_chunk_parse,PASS,all R chunks parse without execution,all parsed,
result_chunk_labels,PASS,37 unchanged chunk labels,37 current chunk labels,
companion_r_chunk_parse,PASS,all R chunks parse without execution,all parsed,
companion_chunk_labels,PASS,25 unchanged chunk labels,25 current chunk labels,
result_support_orientation_boundary,PASS,"one non-mutating exact_samples filter and summary with no external read, join, or model call",<- | summarise | filter | %in% | $ | c | min | [ | == | max,
result_table_endpoints,PASS,36 unchanged unique table endpoints,36 table endpoints,
result_figure_endpoints,PASS,10 unchanged unique figure endpoints,10 figure endpoints,
companion_table_endpoints,PASS,20 unchanged unique table endpoints,20 table endpoints,
companion_figure_endpoints,PASS,2 unchanged unique figure endpoints,2 figure endpoints,
result_first_table,PASS,tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary,
result_first_figure,PASS,fig-h01-model-support,fig-h01-model-support,
result_formula_chunk_tbl-h01-participant-formulas,PASS,formula chunk byte-identical,identical,
result_formula_chunk_tbl-h01-participant-day-formulas,PASS,formula chunk byte-identical,identical,
result_formula_chunk_tbl-h01-preregistered-scope-formulas,PASS,formula chunk byte-identical,identical,
result_formula_chunk_tbl-h01-formula-manifest,PASS,formula chunk byte-identical,identical,
companion_formula_chunk_tbl-h01-prep-formulas,PASS,formula chunk byte-identical,identical,
result_inline_r_allow_list,PASS,h01_support_orientation$chest_day_max | h01_support_orientation$chest_day_min | h01_support_orientation$chest_participant_max | h01_support_orientation$chest_participant_min | h01_support_orientation$chest_sites | h01_support_orientation$primary_day_max | h01_support_orientation$primary_day_min | h01_support_orientation$primary_participant_max | h01_support_orientation$primary_participant_min | h01_support_orientation$primary_sites | no removals,added:h01_support_orientation$chest_day_max | added:h01_support_orientation$chest_day_min | added:h01_support_orientation$chest_participant_max | added:h01_support_orientation$chest_participant_min | added:h01_support_orientation$chest_sites | added:h01_support_orientation$primary_day_max | added:h01_support_orientation$primary_day_min | added:h01_support_orientation$primary_participant_max | added:h01_support_orientation$primary_participant_min | added:h01_support_orientation$primary_sites | removed:,
companion_inline_r_allow_list,FAIL,no removals,added: | removed:,
result_top_level_assignment_allow_list,FAIL,added=h01_support_orientation; removed=,added=h01_support_orientation; removed=,
companion_top_level_assignment_allow_list,FAIL,added=; removed=source_dir,added=; removed=source_dir,
result_scientific_numeric_tokens,PASS,230 unchanged prose numeric tokens,230 current prose numeric tokens,
result_file_reference_tokens,PASS,83 unchanged file-reference tokens,83 current file-reference tokens,
result_source_data_links,PASS,19 unchanged source-data links,19 current source-data links,
companion_scientific_numeric_tokens,FAIL,41 unchanged prose numeric tokens,42 current prose numeric tokens,
companion_file_reference_tokens,PASS,49 unchanged file-reference tokens,49 current file-reference tokens,
companion_source_data_links,PASS,0 unchanged source-data links,0 current source-data links,
result_figure_caption_alt_and_path_contract,PASS,all figure Markdown unchanged except explicit FDR display wording,matched,
registration_link_contract,PASS,"40 exact targets, 36 unique lower-case anchors, each central anchor once",40 targets and 36 anchors,
reciprocal_dynamic_qmd_links,PASS,reciprocal relative QMD links and registration anchor,source links inspected,
no_hard_coded_internal_page_links,PASS,"no .html, _build, file://, root-absolute, or local absolute Markdown page targets",,
result_lightbox,PASS,lightbox true,TRUE,
result_prose_em_dash,PASS,no prose em dash,absent,
result_no_project_write_calls,PASS,no project-side write calls,,
companion_lightbox,PASS,lightbox true,TRUE,
companion_prose_em_dash,PASS,no prose em dash,absent,
companion_no_project_write_calls,PASS,no project-side write calls,,
result_reader_fdr_language,PASS,FDR reader language with no BH-adjusted display text,result source inspected,
companion_rh_sci_h01_003,PASS,exact RH-SCI-H01-003 wording,companion source inspected,
result_reader_hierarchy,PASS,approved result heading order,heading positions inspected,
result_disclosures,PASS,three balanced approved disclosures,3 opening disclosures,
country_coded_site_display,PASS,nine country-coded registered site display names,Borås (SE) | Delft (NL) | Dortmund (DE) | Tübingen (DE) | Munich (DE) | Madrid (ES) | Izmir (TR) | San José (CR) | Kumasi (GH),
protected__build_nathealth_notebooks_hypotheses_H01_html,PASS,6e0bb1b3bc3b09ee92fd4650655521c6b8fdc01c125ff10c3df2fe733d3c62aa,6e0bb1b3bc3b09ee92fd4650655521c6b8fdc01c125ff10c3df2fe733d3c62aa,
protected__build_nathealth_audit_hypotheses_H01_H01_analysis_preparation_html,PASS,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,
protected__quarto_nathealth_yml,PASS,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,
