"key","value"
"R_VERSION","4.6.1"
"R_PROFILE_USER","/dev/null"
"R_LIBS_USER","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23"
"NATHEALTH_PROJECT_ROOT","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026"
"BASELINE_PATH","/private/tmp/H01-order32a-baseline.A5iuk8"
"BASELINE_INITIAL_MODE","0700"
"BASELINE_INITIAL_OWNER","zauner:wheel"
"BASELINE_INITIAL_EMPTY","TRUE"
"VERIFIER_EXIT_STATUS","1"
"VERIFIER_ELAPSED_SECONDS","7.13"
"FOCUSED_TESTS_PASSED","4/4"
"SOURCE_CONTRACTS_PASSED","62/66"
