path,sha256,bytes,role,producer,r_version,integration_status
artifacts/09_tables/H01/reporting/H01_reporting_exact_samples.csv,2c8976c66d19445270d0847a930f8b144e824619dad065ebc620b843b2828501,7172,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/reporting/H01_reporting_model_overview.csv,cdfebbc6e149b41af5c667b7e49581c43888b1780cdcfbe602447bb831edc648,13920,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/reporting/H01_reporting_r2_preview_long.csv,ca8806e04e2ddfe3d1d2dfcffea78e35011e0a5da98d9c5964dfdb519fd80164,55299,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/reporting/H01_reporting_r2_preview_wide.csv,8127cb24f621fa864261ce1784e742ab2a2343a45a20d3ab653301358cfd2a8b,11079,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/reporting/H01_reporting_site_followups.csv,ba370777caa971f0142c4eb7aabcb4b9898b2c96beee9afd552c270b89f4ce0e,18019,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/reporting/H01_reporting_v0_new_r2.csv,15fa3fd0612d0e6bf99ac9b918f5cd1226c198c0157614c579c63620b4375650,36926,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/reporting/H01_reporting_v0_new_tests.csv,b442b1d61c8288812590c29072aefd0b8abc9a7ffb65b52fd9ab6be6a8a1b42f,8479,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/stage3/H01_stage3_diagnostic_details.csv,98a24e259e1e7bf827b5c02b73beed75c4f01c9bde1d4981b143f9ee38e02ff9,12729,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/stage3/H01_stage3_exact_samples_by_site.csv,2362046894f8e5f123d0a4120d87d6f06f7867eb106d153499913571a03f2011,551171,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/stage3/H01_stage3_exact_samples.csv,8c5b5430f7250693693201dd23925c76877a15bcf17c696bfd8f62f499948982,75990,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/stage3/H01_stage3_influence_summary.csv,3957dc56381b0de1d770811109984e12822f52ae0bf28dc7015b79416326ca85,13312,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/stage3/H01_stage3_latitude_loo_summary.csv,7727a11e8a6c7fe6a60f57e807013af6c16a739e1345ea0a7df896d9079aa11d,13813,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/stage3/H01_stage3_marginalization.csv,b40e0dc339847e733c98191916f0164285d11860366a8f78efd8aaab60829ec5,22737,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/09_tables/H01/stage3/H01_stage3_model_results.csv,979c6b00540724b457a55d0b238a0a8b768ac11eaab8c9ba1bad4b56dbf37dc4,37522,H01 METRIC-011 verified reporting input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
