run_id,metric_id,comparison_id,old_p_raw,old_p_adjusted,old_family_rank,old_family_status,metric_order,family_id,new_p_raw,new_p_adjusted,new_family_rank,new_family_status,raw_p_delta,adjusted_p_delta,old_supported,new_supported,support_changed,raw_p_unchanged_for_non_l10
main__chest__all_available,interdaily_stability,site_full_vs_no_site,0.920370620707043,0.920370620707043,17,COMPLETE,1,H01-F1-site,0.920370620707043,0.920370620707043,17,COMPLETE,0,0,FALSE,FALSE,FALSE,TRUE
main__chest__all_available,interdaily_stability,site_full_vs_no_photoperiod,0.5086682107978651,0.5086682107978651,17,COMPLETE,1,H01-F2-photoperiod,0.5086682107978651,0.5086682107978651,17,COMPLETE,0,0,FALSE,FALSE,FALSE,TRUE
main__chest__all_available,interdaily_stability,latitude_full_vs_no_latitude,0.6299208363442141,0.6692908886157275,16,COMPLETE,1,H01-F3-latitude,0.6299208363442141,0.6692908886157275,16,COMPLETE,0,0,FALSE,FALSE,FALSE,TRUE
main__chest__all_available,interdaily_stability,site_full_vs_latitude_full,0.8843011392141539,0.8843011392141539,17,COMPLETE,1,H01-F4-site-latitude-adequacy,0.8843011392141539,0.8843011392141539,17,COMPLETE,0,0,FALSE,FALSE,FALSE,TRUE
main__chest__all_available,intradaily_variability,site_full_vs_no_site,0.1621892939303914,0.17922015264964822,15,COMPLETE,2,H01-F1-site,0.1621892939303914,0.17922015264964822,15,COMPLETE,0,0,FALSE,FALSE,FALSE,TRUE
main__chest__all_available,intradaily_variability,site_full_vs_no_photoperiod,0.06329493442771594,0.08277029886701316,13,COMPLETE,2,H01-F2-photoperiod,0.06329493442771594,0.08277029886701316,13,COMPLETE,0,0,FALSE,FALSE,FALSE,TRUE
main__chest__all_available,intradaily_variability,latitude_full_vs_no_latitude,0.2466851857820944,0.3494706798579671,12,COMPLETE,2,H01-F3-latitude,0.2466851857820944,0.3494706798579671,12,COMPLETE,0,0,FALSE,FALSE,FALSE,TRUE
main__chest__all_available,intradaily_variability,site_full_vs_latitude_full,0.16512681965104997,0.1754472458792406,16,COMPLETE,2,H01-F4-site-latitude-adequacy,0.16512681965104997,0.1754472458792406,16,COMPLETE,0,0,FALSE,FALSE,FALSE,TRUE
main__chest__all_available,daily_geometric_mean_medi,site_full_vs_no_site,6.714083588936603e-4,0.00142469485927951,8,COMPLETE,3,H01-F1-site,6.714083588936603e-4,0.0014246948592795145,8,COMPLETE,0,4.553649124439119e-18,TRUE,TRUE,FALSE,TRUE
main__chest__all_available,daily_geometric_mean_medi,site_full_vs_no_photoperiod,3.276750222763545e-5,1.1140950757396053e-4,5,COMPLETE,3,H01-F2-photoperiod,3.276750222763545e-5,1.1140950757396053e-4,5,COMPLETE,0,0,TRUE,TRUE,FALSE,TRUE
main__chest__all_available,daily_geometric_mean_medi,latitude_full_vs_no_latitude,0.414524939331311,0.5033517120451634,14,COMPLETE,3,H01-F3-latitude,0.414524939331311,0.5033517120451634,14,COMPLETE,0,0,FALSE,FALSE,FALSE,TRUE
main__chest__all_available,daily_geometric_mean_medi,site_full_vs_latitude_full,3.991080566654012e-4,0.00102216097662019,6,COMPLETE,3,H01-F4-site-latitude-adequacy,3.991080566654012e-4,0.0010221609766201917,6,COMPLETE,0,1.734723475976807e-18,TRUE,TRUE,FALSE,TRUE
main__chest__all_available,m10_mean_medi,site_full_vs_no_site,0.00260034681112962,0.0036838246491003,12,COMPLETE,4,H01-F1-site,0.00260034681112962,0.0036838246491002953,12,COMPLETE,0,-4.7704895589362195e-18,TRUE,TRUE,FALSE,TRUE
main__chest__all_available,m10_mean_medi,site_full_vs_no_photoperiod,3.128135434515495e-4,6.647287798345427e-4,8,COMPLETE,4,H01-F2-photoperiod,3.128135434515495e-4,6.647287798345427e-4,8,COMPLETE,0,0,TRUE,TRUE,FALSE,TRUE
main__chest__all_available,m10_mean_medi,latitude_full_vs_no_latitude,0.3223062452026196,0.4214773975726564,13,COMPLETE,4,H01-F3-latitude,0.3223062452026196,0.4214773975726564,13,COMPLETE,0,0,FALSE,FALSE,FALSE,TRUE
main__chest__all_available,m10_mean_medi,site_full_vs_latitude_full,0.00186393120614234,0.00396085381305248,8,COMPLETE,4,H01-F4-site-latitude-adequacy,0.00186393120614234,0.003960853813052473,8,COMPLETE,0,-6.938893903907228e-18,TRUE,TRUE,FALSE,TRUE
main__chest__all_available,l10_mean_medi,site_full_vs_no_site,5.039922399961976e-6,1.2239811542764795e-5,7,COMPLETE,5,H01-F1-site,5.039922399957354e-6,1.2239811542753574e-5,7,COMPLETE,-4.621411760219463e-18,-1.1221492485224971e-17,TRUE,TRUE,FALSE,
main__chest__all_available,l10_mean_medi,site_full_vs_no_photoperiod,0.00553862734188367,0.01046185164578027,9,COMPLETE,5,H01-F2-photoperiod,0.00553862734188392,0.010461851645780737,9,COMPLETE,2.498001805406602e-16,4.666406150377611e-16,TRUE,TRUE,FALSE,
main__chest__all_available,l10_mean_medi,latitude_full_vs_no_latitude,8.223381766456205e-4,0.00199710700042507,7,COMPLETE,5,H01-F3-latitude,8.223381766445124e-4,0.001997107000422387,7,COMPLETE,-1.1080546202801855e-15,-2.682749855598132e-15,TRUE,TRUE,FALSE,
main__chest__all_available,l10_mean_medi,site_full_vs_latitude_full,2.5920217341359283e-4,8.812873896062156e-4,5,COMPLETE,5,H01-F4-site-latitude-adequacy,2.5920217341363706e-4,8.81287389606366e-4,5,COMPLETE,4.423544863740858e-17,1.5037884132373946e-16,TRUE,TRUE,FALSE,
main__chest__all_available,duration_above_1000,site_full_vs_no_site,0.0019397616029931,0.00299781338644388,11,COMPLETE,6,H01-F1-site,0.0019397616029931,0.002997813386443882,11,COMPLETE,0,1.734723475976807e-18,TRUE,TRUE,FALSE,TRUE
main__chest__all_available,duration_above_1000,site_full_vs_no_photoperiod,3.0396808139186784e-6,2.5837286918308767e-5,2,COMPLETE,6,H01-F2-photoperiod,3.0396808139186784e-6,2.5837286918308767e-5,2,COMPLETE,0,0,TRUE,TRUE,FALSE,TRUE
main__chest__all_available,duration_above_1000,latitude_full_vs_no_latitude,0.01603707188574703,0.03029224689529994,9,COMPLETE,6,H01-F3-latitude,0.01603707188574703,0.030292246895299947,9,COMPLETE,0,6.938893903907228e-18,TRUE,TRUE,FALSE,TRUE
