path,sha256,bytes,protection_reason
artifacts/07_models/H01/bootstrap_checkpoints/response_family_change/main/chest/all_available/duration_below_10_pre_sleep_checkpoint.rds,942bfc06354be931253e387ede2993089ff087861b288a768052e6cf110c4259,832,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_checkpoints/response_family_change/main/chest/paired_common_sample/duration_below_10_pre_sleep_checkpoint.rds,70d1b68ed14451b8a841e5388e6a05aa9f5cd43a12fe2fc2096d9001f9b9ac56,828,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_checkpoints/response_family_change/main/glasses/all_available/duration_below_10_pre_sleep_checkpoint.rds,2b75b018c147a4fba659d84f3ff66ef8a9ca80c3cb9a5ebb87ce53c969c99524,828,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_checkpoints/response_family_change/main/glasses/paired_common_sample/duration_below_10_pre_sleep_checkpoint.rds,043de4f25ac0e695518f11077f5b6445c49f533761cfdfda541e81159ca3c904,828,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_checkpoints/response_family_change/manuscript_prepared_data/chest/all_available/duration_below_10_pre_sleep_checkpoint.rds,8cca1e692eaed2fe91d9ae1d9d26d294f1fd07c35bf0a6031c785d3fa998ed57,668,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_checkpoints/response_family_change/manuscript_prepared_data/chest/paired_common_sample/duration_below_10_pre_sleep_checkpoint.rds,956bf8978f9319dcd64f38620f159f55e2e64d77468048f295285b9faaa552e5,664,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_checkpoints/response_family_change/manuscript_prepared_data/glasses/all_available/duration_below_10_pre_sleep_checkpoint.rds,f57db7b08687e21a62ab115368a6445be07ce30e97f3872b98bc2c11503dbf77,660,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_checkpoints/response_family_change/manuscript_prepared_data/glasses/paired_common_sample/duration_below_10_pre_sleep_checkpoint.rds,3232e770f4fb69718b535989c1f609e85398826364821ff5a2d9ee5dfc189406,664,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/main/chest/all_available/duration_below_10_pre_sleep_checkpoint.rds,19164113fac405139038b174fe0ebc8f36eac8d6ad122e3410f04fbf827f652c,3884,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/main/chest/all_available/duration_below_10_pre_sleep_draws.rds,ea723fa88fa438dbc98d609fb2b6699dd51b59e6ca4e2ec09cbe563e4b4bf666,3372,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/main/chest/paired_common_sample/duration_below_10_pre_sleep_checkpoint.rds,1cf97b6454de2f29afa4537519b02b9c7f326cb05991319ec74b315343b368cd,3868,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/main/chest/paired_common_sample/duration_below_10_pre_sleep_draws.rds,0e228e62a5328c5f6835ef6301e2f97570c7c721273a4d4b9925268d18fb111b,3360,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/main/glasses/all_available/duration_below_10_pre_sleep_checkpoint.rds,fbe5f4338dd07e90fab0449e3902f798fa9bdb7274bb92bfb7c9af7f5b9c5c85,3860,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/main/glasses/all_available/duration_below_10_pre_sleep_draws.rds,6cedcf027ce473d92a2122f1a980e5900c175f0662b49f9f7b5cb6628304f686,3352,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/main/glasses/paired_common_sample/duration_below_10_pre_sleep_checkpoint.rds,469e54a4114417b9bffe3e86eee9ba1bcdedf90b0ce6025ff27a4dcf8a8bab4c,3872,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/main/glasses/paired_common_sample/duration_below_10_pre_sleep_draws.rds,cd76a4179a2af3eeab23b3122503640e0c389ae56cd0ce8560cd31ed87ee47bc,3360,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/manuscript_prepared_data/chest/all_available/duration_below_10_pre_sleep_checkpoint.rds,0afbc3689b5bc6f5c3b30f1ccd44663080d9d90e221ec215b3dba263f8bae9a2,3888,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/manuscript_prepared_data/chest/all_available/duration_below_10_pre_sleep_draws.rds,a2541d07db5f41c26fbd5efb015ddafef0ac074ef1023409cbd9ff9791699169,3508,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/manuscript_prepared_data/chest/paired_common_sample/duration_below_10_pre_sleep_checkpoint.rds,43b8b2c71c42eb4d664951d4edac7de6e188ce32865c404e48d3af8abb31542a,3884,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/manuscript_prepared_data/chest/paired_common_sample/duration_below_10_pre_sleep_draws.rds,d5df9b21b6760fcf0cdfeb79ecebe976cdd15cea65445062deb13e5d102dbb78,3380,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/manuscript_prepared_data/glasses/all_available/duration_below_10_pre_sleep_checkpoint.rds,c724c251a7077ccde0b325553261f15b5ed031e6fae20d0f45cef37a0ddeb1dc,3888,NON_L10_ACCEPTED_ARTIFACT
artifacts/07_models/H01/bootstrap_pilot/response_family_change/manuscript_prepared_data/glasses/all_available/duration_below_10_pre_sleep_draws.rds,381ca600f83a6c93b5b15321c1babf4539e27e3efdfe61e27ba1530a7e1d1a03,3352,NON_L10_ACCEPTED_ARTIFACT
