run_id,placement,sample_scenario,model_row_id,site,participant_key,local_date,accepted_value,current_value,accepted_response_value,current_response_value
main__chest__all_available,chest,all_available,FUSPCEU::FUSPCEU_S019::2024-12-12,FUSPCEU,FUSPCEU::FUSPCEU_S019,2024-12-12,4.163336342344337e-17,0,-0.9999999999999998,-1
main__chest__all_available,chest,all_available,KNUST::KNUST_S001::2024-10-13,KNUST,KNUST::KNUST_S001,2024-10-13,4.163336342344337e-17,0,-0.9999999999999998,-1
main__chest__all_available,chest,all_available,KNUST::KNUST_S002::2024-10-19,KNUST,KNUST::KNUST_S002,2024-10-19,4.163336342344337e-17,0,-0.9999999999999998,-1
main__chest__all_available,chest,all_available,KNUST::KNUST_S009::2024-12-07,KNUST,KNUST::KNUST_S009,2024-12-07,4.163336342344337e-17,0,-0.9999999999999998,-1
main__chest__all_available,chest,all_available,KNUST::KNUST_S011::2024-12-22,KNUST,KNUST::KNUST_S011,2024-12-22,4.163336342344337e-17,0,-0.9999999999999998,-1
main__chest__paired_common_sample,chest,paired_common_sample,FUSPCEU::FUSPCEU_S019::2024-12-12,FUSPCEU,FUSPCEU::FUSPCEU_S019,2024-12-12,4.163336342344337e-17,0,-0.9999999999999998,-1
main__chest__paired_common_sample,chest,paired_common_sample,KNUST::KNUST_S001::2024-10-13,KNUST,KNUST::KNUST_S001,2024-10-13,4.163336342344337e-17,0,-0.9999999999999998,-1
main__chest__paired_common_sample,chest,paired_common_sample,KNUST::KNUST_S002::2024-10-19,KNUST,KNUST::KNUST_S002,2024-10-19,4.163336342344337e-17,0,-0.9999999999999998,-1
main__chest__paired_common_sample,chest,paired_common_sample,KNUST::KNUST_S009::2024-12-07,KNUST,KNUST::KNUST_S009,2024-12-07,4.163336342344337e-17,0,-0.9999999999999998,-1
main__chest__paired_common_sample,chest,paired_common_sample,KNUST::KNUST_S011::2024-12-22,KNUST,KNUST::KNUST_S011,2024-12-22,4.163336342344337e-17,0,-0.9999999999999998,-1
main__glasses__all_available,glasses,all_available,KNUST::KNUST_S001::2024-10-13,KNUST,KNUST::KNUST_S001,2024-10-13,4.163336342344337e-17,0,-0.9999999999999998,-1
main__glasses__all_available,glasses,all_available,KNUST::KNUST_S005::2024-11-08,KNUST,KNUST::KNUST_S005,2024-11-08,4.163336342344337e-17,0,-0.9999999999999998,-1
main__glasses__all_available,glasses,all_available,KNUST::KNUST_S010::2024-12-14,KNUST,KNUST::KNUST_S010,2024-12-14,4.163336342344337e-17,0,-0.9999999999999998,-1
main__glasses__paired_common_sample,glasses,paired_common_sample,KNUST::KNUST_S001::2024-10-13,KNUST,KNUST::KNUST_S001,2024-10-13,4.163336342344337e-17,0,-0.9999999999999998,-1
main__glasses__paired_common_sample,glasses,paired_common_sample,KNUST::KNUST_S005::2024-11-08,KNUST,KNUST::KNUST_S005,2024-11-08,4.163336342344337e-17,0,-0.9999999999999998,-1
main__glasses__paired_common_sample,glasses,paired_common_sample,KNUST::KNUST_S010::2024-12-14,KNUST,KNUST::KNUST_S010,2024-12-14,4.163336342344337e-17,0,-0.9999999999999998,-1
