"participant_id","behavioral_day_id","participant_state_id","behavior_date","analysis_state","site","day_type","support_band","expected_minutes","valid_minutes","support_fraction","brown_yes","brown_no","brown_fraction","exact_zero","exact_one","denominator_band","sample_id","state_display","conditional_mu","conditional_phi","extra_all_zero_probability","extra_all_one_probability","beta_binomial_component_probability","exact_zero_probability","exact_one_probability","mixed_probability","conditional_mean","conditional_variance","pearson_residual","lower_cdf","upper_cdf","scaled_residual","quantile_residual","fixed_linear_predictor_variance"
"BAUA::BAUA_S001","BAUA::BAUA_S001::3","BAUA::BAUA_S001::sleep",2025-06-12,"Sleep environment","BAUA","Work day","5_ge80pct",520,520,1,427,93,0.821153846153846,FALSE,FALSE,"more than 480 valid minutes","temporal_80","Sleep",0.822528568638159,4.74940732751103,0,0,1,3.57118778476635e-10,0.0158384418149911,0.98416155782789,0.822528568638159,0.0256215251539327,-0.00858840560685904,0.391168496887799,0.395090106707176,0.394743688179337,-0.26697634220034,0.109674501102791
"BAUA::BAUA_S001","BAUA::BAUA_S001::4","BAUA::BAUA_S001::sleep",2025-06-13,"Sleep environment","BAUA","Work day","5_ge80pct",515,515,1,431,84,0.836893203883495,FALSE,FALSE,"more than 480 valid minutes","temporal_80","Sleep",0.823208790778682,4.74940732751103,0,0,1,3.62363847101396e-10,0.016228117482275,0.983771882155361,0.823208790778682,0.0255466737275983,0.085616800751437,0.422432831672074,0.426670261095141,0.42466876888954,-0.189963748445744,0.109674501102791
"BAUA::BAUA_S002","BAUA::BAUA_S002::9","BAUA::BAUA_S002::sleep",2025-06-12,"Sleep environment","BAUA","Work day","5_ge80pct",450,450,1,395,55,0.877777777777778,FALSE,FALSE,"181 to 480 valid minutes","temporal_80","Sleep",0.804138510043255,4.74940732751103,0,0,1,1.14389174476479e-09,0.0116504651562955,0.988349533699813,0.804138510043255,0.0276832111110812,0.442589624758778,0.571397630778991,0.577238453899789,0.572502113932997,0.182747973512175,0.109674501102791
"BAUA::BAUA_S002","BAUA::BAUA_S002::10","BAUA::BAUA_S002::sleep",2025-06-13,"Sleep environment","BAUA","Work day","5_ge80pct",554,554,1,432,122,0.779783393501805,FALSE,FALSE,"more than 480 valid minutes","temporal_80","Sleep",0.793573889380069,4.74940732751103,0,0,1,7.36290523039513e-10,0.00743451482087723,0.992565484442832,0.793573889380069,0.0287366562180927,-0.0813507884701048,0.382192014566068,0.385559481171031,0.384329852544432,-0.29412851131757,0.109674501102791
"BAUA::BAUA_S002","BAUA::BAUA_S002::11","BAUA::BAUA_S002::sleep",2025-06-14,"Sleep environment","BAUA","Free day","5_ge80pct",719,719,1,553,166,0.769123783031989,FALSE,FALSE,"more than 480 valid minutes","temporal_80","Sleep",0.727976563811821,4.74940732751103,0,0,1,2.41810246493531e-09,0.00105801860108191,0.998941978980816,0.727976563811821,0.034670489465091,0.220983833874175,0.513095626807838,0.515850663740086,0.513176220268007,0.0330338932671056,0.1255514522466
"BAUA::BAUA_S002","BAUA::BAUA_S002::12","BAUA::BAUA_S002::sleep",2025-06-15,"Sleep environment","BAUA","Free day","5_ge80pct",625,625,1,406,219,0.6496,FALSE,FALSE,"more than 480 valid minutes","temporal_80","Sleep",0.725680425455271,4.74940732751103,0,0,1,4.2109490576279e-09,0.00119487677743044,0.998805119011621,0.725680425455271,0.0348872613810326,-0.407323524568823,0.310300674712314,0.312682556939677,0.3109482233306,-0.493164376345388,0.1255514522466
"BAUA::BAUA_S002","BAUA::BAUA_S002::13","BAUA::BAUA_S002::sleep",2025-06-16,"Sleep environment","BAUA","Work day","5_ge80pct",515,515,1,447,68,0.867961165048544,FALSE,FALSE,"more than 480 valid minutes","temporal_80","Sleep",0.799590758032549,4.74940732751103,0,0,1,7.95481996317882e-10,0.00922333619286339,0.990776663011655,0.799590758032549,0.0281286705608284,0.407655740163385,0.558591822150906,0.56351406747916,0.559612043452231,0.149985680081305,0.109674501102791
"BAUA::BAUA_S003","BAUA::BAUA_S003::16","BAUA::BAUA_S003::sleep",2025-06-11,"Sleep environment","BAUA","Work day","5_ge80pct",555,465,0.837837837837838,430,35,0.924731182795699,FALSE,FALSE,"181 to 480 valid minutes","temporal_80","Sleep",0.916021799527724,4.74940732751103,0,0,1,1.81458722081407e-11,0.150397382493518,0.849602617488336,0.916021799527724,0.0135164481594937,0.0749128140122509,0.342505991436849,0.348628588058409,0.343771386469434,-0.402191940787324,0.109674501102791
"BAUA::BAUA_S003","BAUA::BAUA_S003::17","BAUA::BAUA_S003::sleep",2025-06-12,"Sleep environment","BAUA","Work day","5_ge80pct",548,548,1,482,66,0.87956204379562,FALSE,FALSE,"more than 480 valid minutes","temporal_80","Sleep",0.919759423454621,4.74940732751103,0,0,1,7.59960039190986e-12,0.153906427135262,0.846093572857138,0.919759423454621,0.0129477091651409,-0.353265540441208,0.229512220908011,0.23271715343842,0.230900344782124,-0.735884995095837,0.109674501102791
"BAUA::BAUA_S003","BAUA::BAUA_S003::18","BAUA::BAUA_S003::sleep",2025-06-13,"Sleep environment","BAUA","Free day","5_ge80pct",570,570,1,570,0,1,FALSE,TRUE,"more than 480 valid minutes","temporal_80","Sleep",0.921164725187568,4.74940732751103,0,0,1,6.02671761994222e-12,0.156772788437638,0.843227211556336,0.921164725187568,0.0127361593169096,0.698556188408802,0.843227211562364,1,0.862654357591162,1.09232270305165,0.1255514522466
"BAUA::BAUA_S003","BAUA::BAUA_S003::19","BAUA::BAUA_S003::sleep",2025-06-14,"Sleep environment","BAUA","Free day","5_ge80pct",710,710,1,563,147,0.792957746478873,FALSE,FALSE,"more than 480 valid minutes","temporal_80","Sleep",0.91470620580564,4.74940732751103,0,0,1,3.0672007403307e-12,0.123106421196677,0.876893578800256,0.91470620580564,0.0136606522687032,-1.04166424149675,0.131252259583103,0.132584022639654,0.131516504701871,-1.11925115040481,0.1255514522466
"BAUA::BAUA_S003","BAUA::BAUA_S003::20","BAUA::BAUA_S003::sleep",2025-06-15,"Sleep environment","BAUA","Work day","5_ge80pct",585,585,1,583,2,0.996581196581197,FALSE,FALSE,"more than 480 valid minutes","temporal_80","Sleep",0.926730635339577,4.74940732751103,0,0,1,4.21489588929467e-12,0.17728842951607,0.822711570479715,0.926730635339577,0.0119059626136253,0.640158686206956,0.720272810200615,0.761374307966895,0.739917566731485,0.643091288960991,0.109674501102791
"BAUA::BAUA_S003","BAUA::BAUA_S003::21","BAUA::BAUA_S003::sleep",2025-06-16,"Sleep environment","BAUA","Work day","5_ge80pct",540,540,1,525,15,0.972222222222222,FALSE,FALSE,"more than 480 valid minutes","temporal_80","Sleep",0.925219429912136,4.74940732751103,0,0,1,6.39824792958415e-12,0.175915978524798,0.824084021468803,0.925219429912136,0.0121398534664785,0.426596154912001,0.487681036383825,0.498720876264543,0.496215232208523,-0.00948714827379157,0.109674501102791
"BAUA::BAUA_S004","BAUA::BAUA_S004::23","BAUA::BAUA_S004::sleep",2025-06-11,"Sleep environment","BAUA","Work day","5_ge80pct",390,367,0.941025641025641,367,0,1,FALSE,TRUE,"181 to 480 valid minutes","temporal_80","Sleep",0.989257035984301,4.74940732751103,0,0,1,7.56324843823843e-13,0.795915400869836,0.204084599129407,0.989257035984301,0.00187238180104421,0.248271527009109,0.204084599130163,1,0.640377207598427,0.359467234891298,0.109674501102791
"BAUA::BAUA_S004","BAUA::BAUA_S004::24","BAUA::BAUA_S004::sleep",2025-06-12,"Sleep environment","BAUA","Work day","5_ge80pct",495,495,1,495,0,1,FALSE,TRUE,"more than 480 valid minutes","temporal_80","Sleep",0.989883275756919,4.74940732751103,0,0,1,1.72256898485946e-13,0.795190267566168,0.204809732433659,0.989883275756919,0.00175852242085106,0.241249241973971,0.204809732433832,1,0.898130386799169,1.27097026728271,0.109674501102791
"BAUA::BAUA_S004","BAUA::BAUA_S004::25","BAUA::BAUA_S004::sleep",2025-06-13,"Sleep environment","BAUA","Work day","5_ge80pct",377,377,1,377,0,1,FALSE,TRUE,"181 to 480 valid minutes","temporal_80","Sleep",0.990247308861518,4.74940732751103,0,0,1,5.87484184877562e-13,0.811860091175985,0.188139908823427,0.990247308861518,0.00170091293774999,0.236474016729141,0.188139908824014,1,0.478299117564215,-0.0544228989945915,0.109674501102791
"BAUA::BAUA_S004","BAUA::BAUA_S004::26","BAUA::BAUA_S004::sleep",2025-06-14,"Sleep environment","BAUA","Free day","5_ge80pct",363,363,1,363,0,1,FALSE,TRUE,"181 to 480 valid minutes","temporal_80","Sleep",0.983760186728024,4.74940732751103,0,0,1,1.42112321788136e-12,0.708604865342915,0.291395134655664,0.983760186728024,0.00281509173759953,0.306079860881322,0.291395134657084,1,0.935492993842544,1.51800153256541,0.1255514522466
"BAUA::BAUA_S004","BAUA::BAUA_S004::27","BAUA::BAUA_S004::sleep",2025-06-15,"Sleep environment","BAUA","Free day","5_ge80pct",404,404,1,404,0,1,FALSE,TRUE,"181 to 480 valid minutes","temporal_80","Sleep",0.983401979471951,4.74940732751103,0,0,1,8.92918237094922e-13,0.697386978894947,0.30261302110416,0.983401979471951,0.00287236792364309,0.309696475763002,0.302613021105053,1,0.431154997411359,-0.173434390691068,0.1255514522466
"BAUA::BAUA_S004","BAUA::BAUA_S004::28","BAUA::BAUA_S004::sleep",2025-06-16,"Sleep environment","BAUA","Work day","5_ge80pct",421,421,1,421,0,1,FALSE,TRUE,"181 to 480 valid minutes","temporal_80","Sleep",0.989560414600978,4.74940732751103,0,0,1,3.83196981749686e-13,0.79569312677485,0.204306873224766,0.989560414600978,0.00181708165267058,0.244904085252619,0.204306873225148,1,0.889191057580088,1.22223734597795,0.109674501102791
"BAUA::BAUA_S005","BAUA::BAUA_S005::30","BAUA::BAUA_S005::sleep",2025-06-11,"Sleep environment","BAUA","Work day","5_ge80pct",450,450,1,281,169,0.624444444444444,FALSE,FALSE,"181 to 480 valid minutes","temporal_80","Sleep",0.715786356066649,4.74940732751103,0,0,1,1.74308647748184e-08,0.00144250912277076,0.998557473446365,0.715786356066649,0.0357573140173042,-0.483045067916668,0.291718475190912,0.294886674332743,0.293859510492905,-0.542144418934232,0.109674501102791
"BAUA::BAUA_S005","BAUA::BAUA_S005::31","BAUA::BAUA_S005::sleep",2025-06-12,"Sleep environment","BAUA","Work day","5_ge80pct",468,468,1,360,108,0.769230769230769,FALSE,FALSE,"181 to 480 valid minutes","temporal_80","Sleep",0.715700561895544,4.74940732751103,0,0,1,1.53052806908263e-08,0.00136585305519389,0.998634131639525,0.715700561895544,0.0357494546696676,0.28311587032581,0.539513616906517,0.543744101159936,0.541364154510799,0.103871038130776,0.109674501102791
