"analysis_state","state_rows","participants","behavioral_days","valid_minutes","observed_adherence","predicted_adherence","observed_all_zero","predicted_all_zero","observed_all_one","predicted_all_one","observed_mixed","predicted_mixed","mean_pearson_residual","mean_scaled_residual","sd_scaled_residual","grouping","adherence_observed_minus_predicted","all_zero_observed_minus_predicted","all_one_observed_minus_predicted","mixed_observed_minus_predicted","site","day_type","denominator_band","support_band","sample_id"
"Sleep environment",734,140,734,355909,0.873504182248833,0.86823388827039,0.00817438692098093,4.38418223882058e-05,0.384196185286104,0.343020288655748,0.607629427792916,0.656935869521863,0.109737462421768,0.516188424643091,0.248635267144849,"state",0.00527029397844325,0.00813054509859272,0.0411758966303553,-0.0493064417289479,,,,,"temporal_80"
"Wake outside the three hours before sleep",718,140,718,531695,0.244785074149653,0.247213878854795,0.0348189415041783,0.0179765958936828,0.00139275766016713,8.19854813930193e-06,0.963788300835655,0.982015205558178,-0.0564629973373749,0.487602978452761,0.254480138637676,"state",-0.00242880470514159,0.0168423456104954,0.00138455911202783,-0.0182269047225233,,,,,"temporal_80"
"Pre-sleep",617,138,617,109264,0.627498535656758,0.631179528574929,0.0145867098865478,0.00397490159555755,0.0972447325769854,0.0660124545730685,0.888168557536467,0.930012643831374,0.0150101736997895,0.503022149676895,0.256928883642158,"state",-0.00368099291817126,0.0106118082909903,0.031232278003917,-0.0418440862949072,,,,,"temporal_80"
,246,18,90,117941,0.552411799119899,0.553011568703954,0.024390243902439,0.0122846981508137,0.113821138211382,0.0886873177895151,0.861788617886179,0.899027984059671,0.0261791867389365,0.49818920104171,0.242008477940187,"site",-0.000599769584055387,0.0121055457516253,0.025133820421867,-0.0372393661734923,"BAUA",,,,"temporal_80"
,317,23,112,152409,0.557099646346344,0.558816505882659,0.0126182965299685,0.00345706151144047,0.28391167192429,0.259903585778676,0.703470031545741,0.736639352709883,-0.00682323747503358,0.508430746629693,0.261564556596286,"site",-0.00171685953631451,0.00916123501852798,0.0240080861456142,-0.0331693211641421,"FUSPCEU",,,,"temporal_80"
,270,17,102,131843,0.446022921201732,0.449886067106908,0.0259259259259259,0.00840644347435909,0.0925925925925926,0.0587775339255301,0.881481481481482,0.932816022600111,-0.0127568401125321,0.499349356133871,0.246039709049102,"site",-0.003863145905176,0.0175194824515668,0.0338150586670625,-0.0513345411186292,"IZTECH",,,,"temporal_80"
,206,15,81,102067,0.472346595863501,0.473015335779397,0.0485436893203884,0.0165520758920387,0.359223300970874,0.324710206870744,0.592233009708738,0.658737717237218,0.00606786107672024,0.49736820598711,0.275293856455395,"site",-0.000668739915895722,0.0319916134283497,0.0345130941001303,-0.0665047075284797,"KNUST",,,,"temporal_80"
,412,26,149,195328,0.497737139580603,0.495628652704391,0.0145631067961165,0.0102229374332591,0.106796116504854,0.0942643630298202,0.878640776699029,0.895512699536921,0.0437972305940223,0.503311692431437,0.235696722421271,"site",0.00210848687621162,0.00434016936285745,0.0125317534750341,-0.0168719228378916,"MPI",,,,"temporal_80"
,207,13,75,99173,0.577959726941809,0.576105689855481,0.00483091787439614,0.000849789577922655,0.198067632850242,0.17985824159291,0.797101449275362,0.819291968829168,0.0910025915279487,0.504503441712026,0.249979295360394,"site",0.00185403708632748,0.00398112829647348,0.0182093912573317,-0.0221905195538052,"RISE",,,,"temporal_80"
,171,12,64,83391,0.551930064395438,0.545041750165082,0.0116959064327485,0.00210729860652095,0.116959064327485,0.0892808938416632,0.871345029239766,0.908611807551816,0.0435452778322722,0.498031643442483,0.272495649463515,"site",0.00688831423035674,0.00958860782622759,0.0276781704858222,-0.0372667783120497,"THUAS",,,,"temporal_80"
,160,10,60,76811,0.460181484422804,0.464979591160673,0.0125,0.00409340240902567,0.1,0.0576794727474441,0.8875,0.93822712484353,-0.0296158356926413,0.496895372030887,0.271083318276702,"site",-0.00479810673786857,0.00840659759097433,0.0423205272525559,-0.0507271248435303,"TUM",,,,"temporal_80"
,80,6,29,37905,0.438306292045904,0.430640916925016,0.025,0.00239311631750729,0.0625,0.0622798399325683,0.9125,0.935327043749924,0.0949461505372557,0.523416769633045,0.247454938346741,"site",0.00766537512088861,0.0226068836824927,0.000220160067431661,-0.0228270437499244,"UCR",,,,"temporal_80"
,1253,137,458,599505,0.523218321782137,0.522620401372211,0.0151636073423783,0.0049167469245137,0.165203511572227,0.151646996221941,0.819632881085395,0.843436256853545,0.0272129410866815,0.501080399366779,0.247972443117153,"day_type",0.000597920409925457,0.0102468604178646,0.0135565153502855,-0.02380337576815,,"Work day",,,"temporal_80"
,816,128,304,397363,0.493075600898926,0.493519262094582,0.0257352941176471,0.0113127526192899,0.166666666666667,0.12561124587791,0.807598039215686,0.863076001502801,0.0185910874025741,0.504279617844585,0.261464528706398,"day_type",-0.000443661195656253,0.0144225414983572,0.0410554207887571,-0.0554779622871146,,"Free day",,,"temporal_80"
"Sleep environment",434,137,434,202462,0.906273769892622,0.897911227472425,0.00691244239631337,7.80049971084534e-06,0.407834101382489,0.390497052318677,0.585253456221198,0.609495147181613,0.123856286025599,0.511245399973646,0.252108155194342,"state_day_type",0.00836254242019685,0.00690464189660252,0.0173370490638118,-0.0242416909604143,,"Work day",,,"temporal_80"
"Sleep environment",300,128,300,153447,0.830267128063762,0.829076827855247,0.01,9.59816025281205e-05,0.35,0.274337237223379,0.64,0.725566781174093,0.0893122309415589,0.523339333664888,0.243764414496777,"state_day_type",0.00119030020851407,0.00990401839747188,0.0756627627766213,-0.0855667811740932,,"Free day",,,"temporal_80"
"Wake outside the three hours before sleep",431,136,431,328232,0.269781739745058,0.273738154759992,0.0208816705336427,0.00955844937864581,0,1.94042442554667e-08,0.979118329466357,0.99044153121711,-0.0649970035213322,0.488321584150741,0.242760627873248,"state_day_type",-0.00395641501493332,0.0113232211549969,-1.94042442554667e-08,-0.0113232017507526,,"Work day",,,"temporal_80"
"Wake outside the three hours before sleep",287,128,287,203463,0.204459778927864,0.20442420147407,0.0557491289198606,0.0306184814267175,0.00348432055749129,2.04815133614797e-05,0.940766550522648,0.969361037059921,-0.0436471204548467,0.486523817979487,0.271562389740082,"state_day_type",3.55774537937059e-05,0.0251306474931431,0.00346383904412981,-0.0285944865372729,,"Free day",,,"temporal_80"
"Pre-sleep",388,132,388,68811,0.605063143974074,0.605586588989328,0.0180412371134021,0.00525156391068251,0.077319587628866,0.0529328793725711,0.904639175257732,0.941815556716746,0.0215409679489595,0.503883077445984,0.249059899547209,"state_day_type",-0.000523445015253699,0.0127896732027196,0.0243867082562948,-0.0371763814590144,,"Work day",,,"temporal_80"
"Pre-sleep",229,117,229,40453,0.665661384816948,0.674713401608446,0.00873362445414847,0.0018118230878349,0.131004366812227,0.0881734815503303,0.860262008733625,0.910014695361835,0.00394489785403426,0.501563459832325,0.270290312864515,"state_day_type",-0.00905201679149792,0.00692180136631357,0.0428308852618967,-0.0497526866282103,,"Free day",,,"temporal_80"
,1061,140,741,725548,0.409967362600407,0.411818141188817,0.0235626767200754,0.0119985771252247,0.107445805843544,0.103461982105218,0.868991517436381,0.884539440769558,-0.0155423132690886,0.490644582217851,0.252544461915122,"denominator_band",-0.00185077858841004,0.0115640995948507,0.00398382373832606,-0.0155479233331771,,,"more than 480 valid minutes",,"temporal_80"
,389,123,388,161769,0.886560465849452,0.874416198218702,0.012853470437018,0.000530706648152533,0.431876606683805,0.36338817828048,0.555269922879177,0.636081115071368,0.148758737386644,0.533613092988366,0.246388107857482,"denominator_band",0.0121442676307505,0.0123227637888655,0.068488428403325,-0.0808111921921905,,,"181 to 480 valid minutes",,"temporal_80"
,619,138,617,109551,0.627406413451269,0.631418933605651,0.0161550888529887,0.00396600132110097,0.098546042003231,0.0668518554728986,0.88529886914378,0.929182143206,0.0127486074914553,0.502740732895218,0.257640265287027,"denominator_band",-0.00401252015438214,0.0121890875318877,0.0316941865303324,-0.0438832740622201,,,"31 to 180 valid minutes",,"temporal_80"
,2069,140,762,996868,0.511203088071841,0.511020354017117,0.0193330111164814,0.00743928952815671,0.165780570323828,0.141378667425068,0.814886418559691,0.851182043046775,0.0238125386670432,0.502342150105246,0.253321617983618,"support_band",0.000182734054723688,0.0118937215883247,0.0244019028987603,-0.0362956244870841,,,,"5_ge80pct","temporal_80"
"Sleep environment",51,18,51,23727,0.896109916972226,0.881010327813812,0,1.07173818122448e-08,0.274509803921569,0.258638984780341,0.725490196078431,0.741361004502277,0.181853374796008,0.516180968083271,0.212550490347168,"state_site_day_type",0.0150995891584136,-1.07173818122448e-08,0.0158708191412277,-0.0158708084238459,"BAUA","Work day",,,"temporal_80"
"Sleep environment",33,15,33,18107,0.820677086209753,0.826466976854295,0,7.03752757146143e-08,0.272727272727273,0.206681760035855,0.727272727272727,0.793318169588869,0.0958030764444739,0.527537693941788,0.248838062460504,"state_site_day_type",-0.0057898906445415,-7.03752757146143e-08,0.0660455126914173,-0.0660454423161416,"BAUA","Free day",,,"temporal_80"
