"sample_id","analysis_state","predictor","pairs","pearson_residual_correlation","quantile_residual_correlation"
"temporal_80","Sleep environment","conditional_mean",734,0.174447222892301,0.214976419735264
"temporal_80","Wake outside the three hours before sleep","conditional_mean",718,0.240695255106662,0.253575584055368
"temporal_80","Pre-sleep","conditional_mean",617,0.340316683825832,0.337715648522718
"temporal_80","Sleep environment","exact_zero_probability",734,-0.121543266608987,-0.172801065019413
"temporal_80","Wake outside the three hours before sleep","exact_zero_probability",718,-0.134707797656394,-0.23233981928332
"temporal_80","Pre-sleep","exact_zero_probability",617,-0.168912110183192,-0.199422016694181
"temporal_80","Sleep environment","exact_one_probability",734,0.115465620228449,0.179113889081578
"temporal_80","Wake outside the three hours before sleep","exact_one_probability",718,0.0607794741764144,0.118018733875402
"temporal_80","Pre-sleep","exact_one_probability",617,0.207063262582033,0.246598946468681
"temporal_80","Sleep environment","valid_minutes",734,-0.043972331682599,-0.047348792789978
"temporal_80","Wake outside the three hours before sleep","valid_minutes",718,-0.0439717119082335,-0.029697118647701
"temporal_80","Pre-sleep","valid_minutes",617,-0.028775877066936,-0.0478109604803452
"temporal_80","Sleep environment","expected_minutes",734,-0.0395746507392132,-0.0410064987782775
"temporal_80","Wake outside the three hours before sleep","expected_minutes",718,-0.0353834475057742,-0.0177488431527626
"temporal_80","Pre-sleep","expected_minutes",617,,
"temporal_80","Sleep environment","support_fraction",734,-0.0254086984572306,-0.0366601180600869
"temporal_80","Wake outside the three hours before sleep","support_fraction",718,-0.0249760498165502,-0.0304055836923908
"temporal_80","Pre-sleep","support_fraction",617,-0.028775877066936,-0.0478109604803453
