"analysis_state","rows","mean_scaled_residual","sd_scaled_residual","q05_scaled_residual","q50_scaled_residual","q95_scaled_residual","mean_quantile_residual","sd_quantile_residual","grouping","site","day_type","sample_id"
"Sleep environment",734,0.516188424643091,0.248635267144849,0.125864843848854,0.504847683965599,0.928105072244069,0.0615833462606557,0.852845912971712,"state",,,"temporal_80"
"Wake outside the three hours before sleep",718,0.487602978452761,0.254480138637676,0.0739648897533328,0.493778117492831,0.906098513671752,-0.0460887634160257,0.843842737131643,"state",,,"temporal_80"
"Pre-sleep",617,0.503022149676895,0.256928883642158,0.0756551392006889,0.496921699499334,0.928732572074528,0.0108125801597216,0.868699406202193,"state",,,"temporal_80"
,246,0.49818920104171,0.242008477940187,0.123902085950591,0.484718348795029,0.907326793577238,0.0101534027194489,0.811904815872819,"site","BAUA",,"temporal_80"
,317,0.508430746629693,0.261564556596286,0.100676403993479,0.514140924016957,0.912234814517003,0.0176715169920337,0.854418499833643,"site","FUSPCEU",,"temporal_80"
,270,0.499349356133871,0.246039709049102,0.0769613305893622,0.496678038926223,0.91926737492128,-0.00269747237847994,0.830729426491019,"site","IZTECH",,"temporal_80"
,206,0.49736820598711,0.275293856455395,0.0702020167629282,0.500238967597653,0.955832345014547,-0.00329223394621831,1.04771495728764,"site","KNUST",,"temporal_80"
,412,0.503311692431437,0.235696722421271,0.129339848943082,0.499955147314845,0.907714679181371,0.0169803246251667,0.733021503592828,"site","MPI",,"temporal_80"
,207,0.504503441712026,0.249979295360394,0.0924630780118274,0.492138010743508,0.915571520347324,0.00952343676263123,0.799322095715648,"site","RISE",,"temporal_80"
,171,0.498031643442483,0.272495649463515,0.0599297097523141,0.482799909056987,0.96560105672817,0.00488054547703433,0.991164024861897,"site","THUAS",,"temporal_80"
,160,0.496895372030887,0.271083318276702,0.0713187225629946,0.477675407295983,0.927466833137963,-0.00365603576238115,0.916815780669917,"site","TUM",,"temporal_80"
,80,0.523416769633045,0.247454938346741,0.11869316609761,0.558677049877846,0.913254219284195,0.035898288134865,0.846356419551301,"site","UCR",,"temporal_80"
,1253,0.501080399366779,0.247972443117153,0.101513725545472,0.496843141972464,0.911746973904194,0.00359691020483958,0.828239751927476,"day_type",,"Work day","temporal_80"
,816,0.504279617844585,0.261464528706398,0.0804936998931292,0.498041152165767,0.933380849916318,0.0174937224197292,0.895677060399768,"day_type",,"Free day","temporal_80"
