"check","expected","actual","status"
"single_trial_per_svg","1+1","1+1","PASS"
"renderer_corrections","0","0","PASS"
"export_process_disposition","NONZERO_AFTER_BOTH_DEVICE_OUTPUTS_VALIDATION_ONLY","NONZERO_AFTER_BOTH_DEVICE_OUTPUTS_VALIDATION_ONLY","PASS"
"two_candidates_together","2","2","PASS"
"trial_candidate_byte_identity","2/2","2/2","PASS"
"svg_structure","30/30","30/30","PASS"
"layer_geometry","8/8","8/8","PASS"
"release_manifest_post_exact","123/123","123/123","PASS"
"H09_execution_inputs_post_exact","37/37","37/37","PASS"
"H09_preservation_post_exact","566/566","566/566","PASS"
"visual_lease","NOT_ISSUED","NOT_ISSUED","PASS"
