"component","check","expected","actual","status"
"primary_effects","parseable_xml","PASS","PASS","PASS"
"primary_effects","no_image_elements","0","0","PASS"
"primary_effects","no_script_elements","0","0","PASS"
"primary_effects","no_foreign_object","0","0","PASS"
"primary_effects","no_raster_payload","0","0","PASS"
"primary_effects","no_external_href","0","0","PASS"
"primary_effects","no_external_css_resource","0","0","PASS"
"primary_effects","unique_ids","TRUE","TRUE","PASS"
"primary_effects","local_references_resolve","TRUE","TRUE","PASS"
"primary_effects","expected_width_pt","1134.00","1134.00","PASS"
"primary_effects","expected_height_pt","702.00","702.00","PASS"
"primary_effects","expected_viewbox","0,0,width,height","0,0,width,height","PASS"
"primary_effects","required_visible_labels","11/11","11/11","PASS"
"primary_effects","no_identifier_metadata","0","0","PASS"
"primary_effects","no_visible_sha256","0","0","PASS"
"observed_timing_patterns","parseable_xml","PASS","PASS","PASS"
"observed_timing_patterns","no_image_elements","0","0","PASS"
"observed_timing_patterns","no_script_elements","0","0","PASS"
"observed_timing_patterns","no_foreign_object","0","0","PASS"
"observed_timing_patterns","no_raster_payload","0","0","PASS"
"observed_timing_patterns","no_external_href","0","0","PASS"
"observed_timing_patterns","no_external_css_resource","0","0","PASS"
"observed_timing_patterns","unique_ids","TRUE","TRUE","PASS"
"observed_timing_patterns","local_references_resolve","TRUE","TRUE","PASS"
"observed_timing_patterns","expected_width_pt","1134.00","1134.00","PASS"
"observed_timing_patterns","expected_height_pt","918.00","918.00","PASS"
"observed_timing_patterns","expected_viewbox","0,0,width,height","0,0,width,height","PASS"
"observed_timing_patterns","required_visible_labels","19/19","19/19","PASS"
"observed_timing_patterns","no_identifier_metadata","0","0","PASS"
"observed_timing_patterns","no_visible_sha256","0","0","PASS"
