"check","expected","actual","status"
"R_version","4.6.1","4.6.1","PASS"
"implementation_parses","PASS","PASS","PASS"
"checker_parses","PASS","PASS","PASS"
"release_manifest_exact","123/123","123/123","PASS"
"H09_execution_inputs_exact","37/37","37/37","PASS"
"H09_preservation_exact","566/566","566/566","PASS"
"copied_functions_exact","4/4","4/4","PASS"
"plot_layer_geometry_exact","8/8","8/8","PASS"
"candidate_and_trial_absent","TRUE","TRUE","PASS"
"forbidden_calls_absent","0","0","PASS"
"forbidden_input_paths_absent","0","0","PASS"
"two_allowed_inputs_present","2/2","2/2","PASS"
"two_native_svg_device_calls","2","2","PASS"
"single_trial_directory_literal","trial_01","trial_01","PASS"
"no_candidate_copy_in_generator","0","0","PASS"
"sole_owner_root_literal","exact","exact","PASS"
