frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,model_frame_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant,primary_family_member,participants_checked,failed_deletions,dfbeta_flags,sign_reversals,material_changes,max_abs_dfbeta,max_abs_estimate_change,influence_assessment
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,f9f41f679b11797848de50b187e7af7f6d7b7ecbf867ad50e3fd7cf3b72cabe7,139,722,722,9,16716.266666666666,1,6,7,TRUE,139,0,13,0,0,0.49193947829151885,0.06051623412845247,acceptable
primary__glasses__all_available__first_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MEQ,ESTIMABLE,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,3a94099ccc2aa3c3f565239084f063f474240bf4015703c2b3dcc3f0e3b2aa10,140,727,727,9,16832.5,1,6,7,TRUE,140,0,12,0,0,0.3887884767429714,0.0498953311155097,acceptable
primary__glasses__all_available__l10_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,l10_midpoint,MCTQ,ESTIMABLE,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,3f0218c47fb2a0d55b48450f54de99ce0796d2c2fa597d053e0ffb1bf9ab6758,140,810,810,9,18711.683333333334,3,6,8,TRUE,140,0,11,0,0,0.705838778593072,0.058074436395851026,acceptable
primary__glasses__all_available__l10_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,l10_midpoint,MEQ,ESTIMABLE,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,26bbe8baf5a83427cd4c284701374f294b013a62015dc7bf3107c5a8a1cb4e81,141,816,816,9,18851,3,6,8,TRUE,141,0,7,0,0,0.3084011660732621,0.027131441814975343,acceptable
primary__glasses__all_available__last_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,last_timing_above_250,MCTQ,ESTIMABLE,1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1,94ebc1c3c747f35781ab070b0f3d7aa40f6b950b7e62e3640ec8d8ccf1941ba8,140,683,683,9,15900.783333333333,1,5,7,TRUE,140,0,13,3,0,0.4129175297215362,0.0507585778746289,not acceptable
primary__glasses__all_available__last_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,last_timing_above_250,MEQ,ESTIMABLE,19d69ac7ca5c0e39ec329b92242fe35f48e5f068139bfeb96592ff51579a2290,2628488b0ed33231e7c5e2cc709ec74e79c3382e55a900023d66f1f658b13964,141,687,687,9,15995.05,1,5,7,TRUE,141,0,9,2,0,0.3217267424159883,0.04332332566534669,not acceptable
primary__glasses__all_available__longest_period_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,longest_period_midpoint,MCTQ,ESTIMABLE,4a84638249c0cb5e0be8b0e5add1eff77115390fcdb24560ff63791921dd35bc,6e431d49582d11640b62b9a4c764c73ad50528abefd77cc01d8333f8ec1df106,131,478,478,9,11325.55,1,4,7,TRUE,131,0,10,0,0,0.5656018475898715,0.0815686461028167,acceptable
primary__glasses__all_available__longest_period_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,longest_period_midpoint,MEQ,ESTIMABLE,25847f9665b9a73dec8045d1f8a79ca480b67e410a1acb06784e078260661ce3,f013e75d8946284c82f947104f8877d325ed5debe67d37c9632a84701e957d4d,132,482,482,9,11419.816666666668,1,4,7,TRUE,132,0,14,0,0,0.2646969056865152,0.039533156666569425,acceptable
primary__glasses__all_available__m10_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,m10_midpoint,MCTQ,ESTIMABLE,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,c72f849c18a5815f467c25039b85961dade43bdc9bd5714b0ac295ceae00514d,140,810,810,9,18711.683333333334,3,6,8,TRUE,140,0,12,0,0,0.5499646293160726,0.04676153336975447,acceptable
primary__glasses__all_available__m10_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,m10_midpoint,MEQ,ESTIMABLE,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,cc0f13d5a227045c81e5bb07ca6768208cdc0557971798a4d50b845d0e22ee4e,141,816,816,9,18851,3,6,8,TRUE,141,0,10,0,0,0.3733821746737249,0.0334450135091528,acceptable
