"check_id","passed","detail"
"frozen_authority_inputs",TRUE,"14/14"
"current_owner_preservation",TRUE,"27/27"
"durable_historical_copies",TRUE,"25/25"
"ledger_exact_append",TRUE,"2/2 byte prefixes and old rows"
"unique_decision_change",TRUE,"BA-017 and CHG-156 exactly once"
"stage1_root_absent",TRUE,"new owner root only"
"completed_audit_not_repeated",TRUE,"hash verification and copied evidence only"
"ba_m6_sample_specific_family",TRUE,"one primary family; support-80 stability without second FDR family"
"mandatory_coordinator_gate",TRUE,"BA-LB-G1-REVIEW"
"mandatory_future_author_gate",TRUE,"BA-LB-G2-REVIEW"
"hypothesis_matrix_unchanged",TRUE,"exact coordination preservation pin"
"website_manifest_unchanged",TRUE,"exact coordination preservation pin"
