"sample_id","quadrature_nodes","decomposition","subset","subset_size","value"
"primary_any_valid",30,"global","Empty set",0,0
"primary_any_valid",30,"global","analysis_state",1,0.0684072497842568
"primary_any_valid",30,"global","site",1,0.00208639570427042
"primary_any_valid",30,"global","analysis_state + site",2,0.0728354939688769
"primary_any_valid",30,"global","day_type",1,8.89777869954286e-05
"primary_any_valid",30,"global","analysis_state + day_type",2,0.0692658300770083
"primary_any_valid",30,"global","site + day_type",2,0.00247895304691431
"primary_any_valid",30,"global","analysis_state + site + day_type",3,0.0743849107760142
"primary_any_valid",30,"Wake outside the three hours before sleep","Empty set",0,0
"primary_any_valid",30,"Wake outside the three hours before sleep","site",1,0.00396478109327585
"primary_any_valid",30,"Wake outside the three hours before sleep","day_type",1,0.000646863399645604
"primary_any_valid",30,"Wake outside the three hours before sleep","site + day_type",2,0.00578436120249038
"primary_any_valid",30,"Pre-sleep","Empty set",0,0
"primary_any_valid",30,"Pre-sleep","site",1,0.00367450180333607
"primary_any_valid",30,"Pre-sleep","day_type",1,0.000875562720104571
"primary_any_valid",30,"Pre-sleep","site + day_type",2,0.00519978980631967
"primary_any_valid",30,"Sleep environment","Empty set",0,0
"primary_any_valid",30,"Sleep environment","site",1,0.00564544965724839
"primary_any_valid",30,"Sleep environment","day_type",1,0.00105331475850423
"primary_any_valid",30,"Sleep environment","site + day_type",2,0.00694883196646221
"support_80",30,"global","Empty set",0,0
"support_80",30,"global","analysis_state",1,0.0676782649345094
"support_80",30,"global","site",1,0.00217308972591208
"support_80",30,"global","analysis_state + site",2,0.0724271451892638
"support_80",30,"global","day_type",1,0.000170005176434674
"support_80",30,"global","analysis_state + day_type",2,0.0684149561928509
"support_80",30,"global","site + day_type",2,0.00264216885065855
"support_80",30,"global","analysis_state + site + day_type",3,0.0738560677457295
"support_80",30,"Wake outside the three hours before sleep","Empty set",0,0
"support_80",30,"Wake outside the three hours before sleep","site",1,0.0040956534550402
"support_80",30,"Wake outside the three hours before sleep","day_type",1,0.000804319102670462
"support_80",30,"Wake outside the three hours before sleep","site + day_type",2,0.00599116758208627
"support_80",30,"Pre-sleep","Empty set",0,0
"support_80",30,"Pre-sleep","site",1,0.00412495316305072
"support_80",30,"Pre-sleep","day_type",1,0.000423662416345661
"support_80",30,"Pre-sleep","site + day_type",2,0.00525379481998879
"support_80",30,"Sleep environment","Empty set",0,0
"support_80",30,"Sleep environment","site",1,0.00602603414617242
"support_80",30,"Sleep environment","day_type",1,0.000982092256008458
"support_80",30,"Sleep environment","site + day_type",2,0.00728844603158531
